"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/APIJSON/APIJSONORM/src/main/java/apijson/orm/AbstractVerifier.java","call function: 140:27-140:51","call in function: <clinit>@72-72","callee=javax.script.ScriptEngineManager.<init>","basic block: 140:27-140:51"
"Path: /home/sixsquare/codeQL/projects/APIJSON/APIJSONORM/src/main/java/apijson/orm/AbstractVerifier.java","call function: 141:19-141:61","call in function: <clinit>@72-72","callee=javax.script.ScriptEngineManager.getEngineByName","basic block: 141:19-141:61"
"Path: /home/sixsquare/codeQL/projects/APIJSON/APIJSONORM/src/main/java/apijson/orm/AbstractVerifier.java","call function: 1257:5-1257:77","call in function: parse@919-1305","callee=javax.script.ScriptEngine.eval","basic block: 1257:5-1257:77"
"Path: /home/sixsquare/codeQL/projects/APIJSON/APIJSONORM/src/main/java/apijson/orm/AbstractVerifier.java","call function: 1282:7-1282:23","call in function: parse@919-1305","callee=javax.script.ScriptEngine.eval","basic block: 1282:7-1282:23"
"Path: /home/sixsquare/codeQL/projects/APIJSON/APIJSONORM/src/main/java/apijson/orm/AbstractVerifier.java","call function: 1309:51-1309:93","call in function: getScriptEngine@1307-1316","callee=javax.script.ScriptEngineManager.getEngineByName","basic block: 1309:51-1309:93"
"Path: /home/sixsquare/codeQL/projects/APIJSON/APIJSONORM/src/main/java/apijson/orm/script/JSR223ScriptExecutor.java","call function: 27:45-27:69","call in function: init@26-30","callee=javax.script.ScriptEngineManager.<init>","basic block: 27:45-27:69"
"Path: /home/sixsquare/codeQL/projects/APIJSON/APIJSONORM/src/main/java/apijson/orm/script/JSR223ScriptExecutor.java","call function: 28:18-28:72","call in function: init@26-30","callee=javax.script.ScriptEngineManager.getEngineByName","basic block: 28:18-28:72"
"Path: /home/sixsquare/codeQL/projects/APIJSON/APIJSONORM/src/main/java/apijson/orm/script/JSR223ScriptExecutor.java","call function: 45:36-45:93","call in function: load@43-51","callee=javax.script.Compilable.compile","basic block: 45:36-45:93"
"Path: /home/sixsquare/codeQL/projects/APIJSON/APIJSONORM/src/main/java/apijson/orm/script/JSR223ScriptExecutor.java","call function: 64:4-64:44","call in function: execute@54-73","callee=javax.script.Bindings.put","basic block: 64:4-64:44"
"Path: /home/sixsquare/codeQL/projects/APIJSON/APIJSONORM/src/main/java/apijson/orm/script/JSR223ScriptExecutor.java","call function: 71:3-71:32","call in function: execute@54-73","callee=javax.script.Bindings.put","basic block: 71:3-71:32"
"Path: /home/sixsquare/codeQL/projects/APIJSON/APIJSONORM/src/main/java/apijson/orm/script/JSR223ScriptExecutor.java","call function: 72:10-72:38","call in function: execute@54-73","callee=javax.script.CompiledScript.eval","basic block: 72:10-72:38"
