"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/dp/examples/magicalcows/MagicalCows.java","call function: 28:21-28:44","call in function: main@27-67","callee=java.lang.String.split","basic block: 28:21-28:44"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/dp/examples/scenes/Scenes.java","call function: 20:19-20:42","call in function: main@19-26","callee=java.lang.String.split","basic block: 20:19-20:42"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/dp/examples/tilingdominoes/TilingDominoes.java","call function: 13:23-13:44","call in function: <clinit>@12-12","callee=java.util.Scanner.<init>","basic block: 13:23-13:44"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/dp/examples/narrowartgallery/NarrowArtGalleryRecursive.java","call function: 68:18-68:39","call in function: mainProgram@67-91","callee=java.util.Scanner.<init>","basic block: 68:18-68:39"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/graphtheory/networkflow/NetworkFlowSolverBase.java","call function: 47:14-49:45","call in function: toString@44-50","callee=java.lang.String.format","basic block: 47:14-49:45"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/graphtheory/networkflow/examples/MiceAndOwls.java","call function: 119:14-121:45","call in function: toString@116-122","callee=java.lang.String.format","basic block: 119:14-121:45"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/graphtheory/networkflow/examples/EdmondsKarpExample.java","call function: 55:14-57:45","call in function: toString@52-58","callee=java.lang.String.format","basic block: 55:14-57:45"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/graphtheory/networkflow/examples/CapacityScalingExample.java","call function: 56:14-58:45","call in function: toString@53-59","callee=java.lang.String.format","basic block: 56:14-58:45"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/graphtheory/networkflow/examples/FordFulkersonExample.java","call function: 54:14-56:45","call in function: toString@51-57","callee=java.lang.String.format","basic block: 54:14-56:45"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/graphtheory/networkflow/examples/DinicsExample.java","call function: 53:14-55:45","call in function: toString@50-56","callee=java.lang.String.format","basic block: 53:14-55:45"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/graphtheory/analysis/PrimsGraphRepresentationAnaylsis.java","call function: 384:15-384:81","call in function: densityTest@339-387","callee=java.lang.String.format","basic block: 384:15-384:81"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/graphtheory/LazyPrimsAdjacencyList.java","call function: 162:28-162:92","call in function: example1@131-177","callee=java.lang.String.format","basic block: 162:28-162:92"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/graphtheory/LazyPrimsAdjacencyList.java","call function: 204:28-204:92","call in function: firstGraphFromSlides@179-207","callee=java.lang.String.format","basic block: 204:28-204:92"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/graphtheory/LazyPrimsAdjacencyList.java","call function: 234:28-234:92","call in function: squareGraphFromSlides@209-237","callee=java.lang.String.format","basic block: 234:28-234:92"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/graphtheory/LazyPrimsAdjacencyList.java","call function: 287:28-287:92","call in function: lazyPrimsDemoFromSlides@239-290","callee=java.lang.String.format","basic block: 287:28-287:92"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/graphtheory/EagerPrimsAdjacencyList.java","call function: 179:28-179:92","call in function: example1@148-194","callee=java.lang.String.format","basic block: 179:28-179:92"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/graphtheory/EagerPrimsAdjacencyList.java","call function: 221:28-221:92","call in function: firstGraphFromSlides@196-224","callee=java.lang.String.format","basic block: 221:28-221:92"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/graphtheory/EagerPrimsAdjacencyList.java","call function: 251:28-251:92","call in function: squareGraphFromSlides@226-254","callee=java.lang.String.format","basic block: 251:28-251:92"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/graphtheory/EagerPrimsAdjacencyList.java","call function: 273:28-273:92","call in function: disjointOnFirstNode@256-276","callee=java.lang.String.format","basic block: 273:28-273:92"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/graphtheory/EagerPrimsAdjacencyList.java","call function: 300:28-300:92","call in function: disjointGraph@278-303","callee=java.lang.String.format","basic block: 300:28-300:92"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/graphtheory/EagerPrimsAdjacencyList.java","call function: 348:28-348:92","call in function: eagerPrimsExampleFromSlides@305-351","callee=java.lang.String.format","basic block: 348:28-348:92"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/graphtheory/Boruvkas.java","call function: 18:14-18:57","call in function: toString@17-19","callee=java.lang.String.format","basic block: 18:14-18:57"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/graphtheory/examples/EagerPrimsExample.java","call function: 54:28-54:80","call in function: main@29-65","callee=java.lang.String.format","basic block: 54:28-54:80"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/graphtheory/FloydWarshallSolver.java","call function: 174:17-174:85","call in function: main@127-206","callee=java.lang.String.format","basic block: 174:17-174:85"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/graphtheory/KruskalsEdgeListPartialSortSolver.java","call function: 179:28-179:94","call in function: main@147-195","callee=java.lang.String.format","basic block: 179:28-179:94"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/datastructures/segmenttree/GenericSegmentTree2.java","call function: 81:14-81:82","call in function: toString@80-82","callee=java.lang.String.format","basic block: 81:14-81:82"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/datastructures/binarysearchtree/SplayTree.java","call function: 288:18-288:39","call in function: main@285-325","callee=java.util.Scanner.<init>","basic block: 288:18-288:39"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/datastructures/suffixarray/SuffixArray.java","call function: 100:29-100:90","call in function: toString@90-104","callee=java.lang.String.format","basic block: 100:29-100:90"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/strings/LongestCommonSubstring.java","call function: 140:31-140:92","call in function: toString@131-144","callee=java.lang.String.format","basic block: 140:31-140:92"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/strings/LongestCommonSubstring.java","call function: 179:31-179:90","call in function: toString@169-182","callee=java.lang.String.format","basic block: 179:31-179:90"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/strings/LongestCommonSubstring.java","call function: 387:17-391:74","call in function: buildText@375-402","callee=java.lang.String.format","basic block: 387:17-391:74"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/strings/LongestCommonSubstring.java","call function: 397:15-399:47","call in function: buildText@375-402","callee=java.lang.String.format","basic block: 397:15-399:47"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/strings/LongestCommonSubstring.java","call function: 432:13-434:34","call in function: addLcs@429-454","callee=java.lang.String.format","basic block: 432:13-434:34"
"Path: /home/sixsquare/codeQL/projects/Algorithms/src/main/java/com/williamfiset/algorithms/strings/LongestCommonSubstring.java","call function: 443:13-444:93","call in function: addLcs@429-454","callee=java.lang.String.format","basic block: 443:13-444:93"
