"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/cache/disc/impl/ext/DiskLruCache.java","call function: 361:4-361:22","call in function: rebuildJournal@353-390","callee=java.io.Writer.write","basic block: 361:4-361:22"
"Path: /home/sixsquare/codeQL/projects/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/cache/disc/impl/ext/DiskLruCache.java","call function: 362:4-362:21","call in function: rebuildJournal@353-390","callee=java.io.Writer.write","basic block: 362:4-362:21"
"Path: /home/sixsquare/codeQL/projects/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/cache/disc/impl/ext/DiskLruCache.java","call function: 363:4-363:26","call in function: rebuildJournal@353-390","callee=java.io.Writer.write","basic block: 363:4-363:26"
"Path: /home/sixsquare/codeQL/projects/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/cache/disc/impl/ext/DiskLruCache.java","call function: 364:4-364:21","call in function: rebuildJournal@353-390","callee=java.io.Writer.write","basic block: 364:4-364:21"
"Path: /home/sixsquare/codeQL/projects/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/cache/disc/impl/ext/DiskLruCache.java","call function: 365:4-365:45","call in function: rebuildJournal@353-390","callee=java.io.Writer.write","basic block: 365:4-365:45"
"Path: /home/sixsquare/codeQL/projects/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/cache/disc/impl/ext/DiskLruCache.java","call function: 366:4-366:21","call in function: rebuildJournal@353-390","callee=java.io.Writer.write","basic block: 366:4-366:21"
"Path: /home/sixsquare/codeQL/projects/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/cache/disc/impl/ext/DiskLruCache.java","call function: 367:4-367:45","call in function: rebuildJournal@353-390","callee=java.io.Writer.write","basic block: 367:4-367:45"
"Path: /home/sixsquare/codeQL/projects/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/cache/disc/impl/ext/DiskLruCache.java","call function: 368:4-368:21","call in function: rebuildJournal@353-390","callee=java.io.Writer.write","basic block: 368:4-368:21"
"Path: /home/sixsquare/codeQL/projects/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/cache/disc/impl/ext/DiskLruCache.java","call function: 369:4-369:21","call in function: rebuildJournal@353-390","callee=java.io.Writer.write","basic block: 369:4-369:21"
"Path: /home/sixsquare/codeQL/projects/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/cache/disc/impl/ext/DiskLruCache.java","call function: 373:6-373:49","call in function: rebuildJournal@353-390","callee=java.io.Writer.write","basic block: 373:6-373:49"
"Path: /home/sixsquare/codeQL/projects/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/cache/disc/impl/ext/DiskLruCache.java","call function: 375:6-375:70","call in function: rebuildJournal@353-390","callee=java.io.Writer.write","basic block: 375:6-375:70"
"Path: /home/sixsquare/codeQL/projects/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/cache/disc/impl/ext/DiskLruCache.java","call function: 484:3-484:47","call in function: edit@465-487","callee=java.io.Writer.write","basic block: 484:3-484:47"
"Path: /home/sixsquare/codeQL/projects/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/cache/disc/impl/ext/DiskLruCache.java","call function: 575:4-575:75","call in function: completeEdit@534-588","callee=java.io.Writer.write","basic block: 575:4-575:75"
"Path: /home/sixsquare/codeQL/projects/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/cache/disc/impl/ext/DiskLruCache.java","call function: 581:4-581:55","call in function: completeEdit@534-588","callee=java.io.Writer.write","basic block: 581:4-581:55"
"Path: /home/sixsquare/codeQL/projects/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/cache/disc/impl/ext/DiskLruCache.java","call function: 843:5-843:23","call in function: set@839-847","callee=java.io.Writer.write","basic block: 843:5-843:23"
"Path: /home/sixsquare/codeQL/projects/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/cache/disc/impl/ext/DiskLruCache.java","call function: 887:6-887:23","call in function: write@885-891","callee=java.io.OutputStream.write","basic block: 887:6-887:23"
"Path: /home/sixsquare/codeQL/projects/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/cache/disc/impl/ext/DiskLruCache.java","call function: 895:6-895:38","call in function: write@893-899","callee=java.io.OutputStream.write","basic block: 895:6-895:38"
"Path: /home/sixsquare/codeQL/projects/Android-Universal-Image-Loader/library/src/main/java/com/nostra13/universalimageloader/utils/IoUtils.java","call function: 78:4-78:28","call in function: copyStream@66-84","callee=java.io.OutputStream.write","basic block: 78:4-78:28"
