"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/AndroidUtilCode/lib/subutil/src/main/java/com/blankj/subutil/util/HttpsUtil.java","call function: 107:28-107:42","call in function: doHttpAction@70-130","callee=java.util.Scanner.<init>","basic block: 107:28-107:42"
"Path: /home/sixsquare/codeQL/projects/AndroidUtilCode/lib/subutil/src/main/java/com/blankj/subutil/util/HttpsUtil.java","call function: 108:13-108:36","call in function: doHttpAction@70-130","callee=java.util.Scanner.useDelimiter","basic block: 108:13-108:36"
"Path: /home/sixsquare/codeQL/projects/AndroidUtilCode/lib/subutil/src/main/java/com/blankj/subutil/util/HttpsUtil.java","call function: 109:17-109:30","call in function: doHttpAction@70-130","callee=java.util.Scanner.hasNext","basic block: 109:17-109:30"
"Path: /home/sixsquare/codeQL/projects/AndroidUtilCode/lib/subutil/src/main/java/com/blankj/subutil/util/HttpsUtil.java","call function: 109:40-109:50","call in function: doHttpAction@70-130","callee=java.util.Scanner.next","basic block: 109:40-109:50"
"Path: /home/sixsquare/codeQL/projects/AndroidUtilCode/lib/utilcode/src/main/java/com/blankj/utilcode/util/AppUtils.java","call function: 767:27-768:69","call in function: getAppSignaturesHash@761-772","callee=java.lang.String.replaceAll","basic block: 767:27-768:69"
"Path: /home/sixsquare/codeQL/projects/AndroidUtilCode/lib/utilcode/src/main/java/com/blankj/utilcode/util/CacheDiskUtils.java","call function: 828:20-831:13","call in function: createDueTime@827-832","callee=java.lang.String.format","basic block: 828:20-831:13"
"Path: /home/sixsquare/codeQL/projects/AndroidUtilCode/lib/utilcode/src/main/java/com/blankj/utilcode/util/ConvertUtils.java","call function: 475:20-475:76","call in function: byte2FitMemorySize@468-483","callee=java.lang.String.format","basic block: 475:20-475:76"
"Path: /home/sixsquare/codeQL/projects/AndroidUtilCode/lib/utilcode/src/main/java/com/blankj/utilcode/util/ConvertUtils.java","call function: 477:20-477:98","call in function: byte2FitMemorySize@468-483","callee=java.lang.String.format","basic block: 477:20-477:98"
"Path: /home/sixsquare/codeQL/projects/AndroidUtilCode/lib/utilcode/src/main/java/com/blankj/utilcode/util/ConvertUtils.java","call function: 479:20-479:98","call in function: byte2FitMemorySize@468-483","callee=java.lang.String.format","basic block: 479:20-479:98"
"Path: /home/sixsquare/codeQL/projects/AndroidUtilCode/lib/utilcode/src/main/java/com/blankj/utilcode/util/ConvertUtils.java","call function: 481:20-481:98","call in function: byte2FitMemorySize@468-483","callee=java.lang.String.format","basic block: 481:20-481:98"
