"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/Apktool/brut.j.util/src/main/java/brut/util/BinaryDataInputStream.java","call function: 86:35-87:71","call in function: jumpTo@80-95","callee=java.lang.String.format","basic block: 86:35-87:71"
"Path: /home/sixsquare/codeQL/projects/Apktool/brut.j.util/src/main/java/brut/util/BinaryDataInputStream.java","call function: 91:35-92:82","call in function: jumpTo@80-95","callee=java.lang.String.format","basic block: 91:35-92:82"
"Path: /home/sixsquare/codeQL/projects/Apktool/brut.j.util/src/main/java/brut/util/OS.java","call function: 236:21-236:53","call in function: run@232-240","callee=java.lang.StringBuilder.append","basic block: 236:21-236:53"
"Path: /home/sixsquare/codeQL/projects/Apktool/brut.j.util/src/main/java/brut/util/OS.java","call function: 236:21-236:40","call in function: run@232-240","callee=java.lang.StringBuilder.append","basic block: 236:21-236:40"
"Path: /home/sixsquare/codeQL/projects/Apktool/brut.j.util/src/main/java/brut/util/ZipUtils.java","call function: 110:28-110:92","call in function: zipFile@77-112","callee=java.lang.String.format","basic block: 110:28-110:92"
"Path: /home/sixsquare/codeQL/projects/Apktool/brut.j.dir/src/main/java/brut/directory/AbstractDirectory.java","call function: 265:28-265:94","call in function: copyToDir@239-269","callee=java.lang.String.format","basic block: 265:28-265:94"
"Path: /home/sixsquare/codeQL/projects/Apktool/brut.apktool/apktool-cli/src/main/java/brut/apktool/Main.java","call function: 704:13-704:44","call in function: formatOption@700-714","callee=java.lang.StringBuilder.append","basic block: 704:13-704:44"
"Path: /home/sixsquare/codeQL/projects/Apktool/brut.apktool/apktool-cli/src/main/java/brut/apktool/Main.java","call function: 704:13-704:26","call in function: formatOption@700-714","callee=java.lang.StringBuilder.append","basic block: 704:13-704:26"
"Path: /home/sixsquare/codeQL/projects/Apktool/brut.apktool/apktool-cli/src/main/java/brut/apktool/Main.java","call function: 709:17-709:30","call in function: formatOption@700-714","callee=java.lang.StringBuilder.append","basic block: 709:17-709:30"
"Path: /home/sixsquare/codeQL/projects/Apktool/brut.apktool/apktool-cli/src/main/java/brut/apktool/Main.java","call function: 711:13-711:44","call in function: formatOption@700-714","callee=java.lang.StringBuilder.append","basic block: 711:13-711:44"
"Path: /home/sixsquare/codeQL/projects/Apktool/brut.apktool/apktool-cli/src/main/java/brut/apktool/Main.java","call function: 711:13-711:27","call in function: formatOption@700-714","callee=java.lang.StringBuilder.append","basic block: 711:13-711:27"
"Path: /home/sixsquare/codeQL/projects/Apktool/brut.j.xml/src/main/java/brut/xmlpull/MXSerializer.java","call function: 1073:9-1073:27","call in function: printable@1067-1079","callee=java.lang.StringBuffer.append","basic block: 1073:9-1073:27"
"Path: /home/sixsquare/codeQL/projects/Apktool/brut.j.xml/src/main/java/brut/xmlpull/MXSerializer.java","call function: 1077:9-1077:27","call in function: printable@1067-1079","callee=java.lang.StringBuffer.append","basic block: 1077:9-1077:27"
"Path: /home/sixsquare/codeQL/projects/Apktool/brut.j.xml/src/main/java/brut/xmlpull/MXSerializer.java","call function: 1090:17-1090:36","call in function: addPrintable@1087-1122","callee=java.lang.StringBuffer.append","basic block: 1090:17-1090:36"
