"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/BigData-Notes/code/Flink/flink-kafka-integration/src/main/java/com/heibaiying/CustomSinkJob.java","call function: 15:30-15:55","call in function: main@12-22","callee=java.lang.System.currentTimeMillis","basic block: 15:30-15:55"
"Path: /home/sixsquare/codeQL/projects/BigData-Notes/code/Hadoop/hdfs-java-api/src/main/java/com/heibaiying/utils/HdfsUtils.java","call function: 165:36-165:52","call in function: inputStreamToString@163-179","callee=java.lang.String.equals","basic block: 165:36-165:52"
"Path: /home/sixsquare/codeQL/projects/BigData-Notes/code/Hadoop/hdfs-java-api/src/test/java/HdfsTest.java","call function: 238:36-238:52","call in function: inputStreamToString@236-252","callee=java.lang.String.equals","basic block: 238:36-238:52"
"Path: /home/sixsquare/codeQL/projects/BigData-Notes/code/Kafka/kafka-basis/src/main/java/com/heibaiying/consumers/ConsumerExit.java","call function: 39:21-39:44","call in function: run@36-50","callee=java.lang.String.equals","basic block: 39:21-39:44"
"Path: /home/sixsquare/codeQL/projects/BigData-Notes/code/Storm/storm-hbase-integration/src/main/java/com/heibaiying/WordCountToHBaseApp.java","call function: 68:32-68:56","call in function: main@30-79","callee=java.lang.String.equals","basic block: 68:32-68:56"
"Path: /home/sixsquare/codeQL/projects/BigData-Notes/code/Storm/storm-hdfs-integration/src/main/java/com.heibaiying/DataToHdfsApp.java","call function: 66:32-66:56","call in function: main@30-77","callee=java.lang.String.equals","basic block: 66:32-66:56"
"Path: /home/sixsquare/codeQL/projects/BigData-Notes/code/Storm/storm-kafka-integration/src/main/java/com/heibaiying/kafka/read/ReadingFromKafkaApp.java","call function: 32:32-32:56","call in function: main@25-43","callee=java.lang.String.equals","basic block: 32:32-32:56"
"Path: /home/sixsquare/codeQL/projects/BigData-Notes/code/Storm/storm-kafka-integration/src/main/java/com/heibaiying/kafka/write/WritingToKafkaApp.java","call function: 55:32-55:56","call in function: main@24-66","callee=java.lang.String.equals","basic block: 55:32-55:56"
"Path: /home/sixsquare/codeQL/projects/BigData-Notes/code/Storm/storm-redis-integration/src/main/java/com/heibaiying/CustomRedisCountApp.java","call function: 41:32-41:56","call in function: main@28-52","callee=java.lang.String.equals","basic block: 41:32-41:56"
"Path: /home/sixsquare/codeQL/projects/BigData-Notes/code/Storm/storm-redis-integration/src/main/java/com/heibaiying/WordCountToRedisApp.java","call function: 47:32-47:56","call in function: main@32-58","callee=java.lang.String.equals","basic block: 47:32-47:56"
