"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/Chat2DB/chat2db-server/chat2db-plugins/chat2db-clickhouse/src/main/java/ai/chat2db/plugin/clickhouse/ClickHouseMetaData.java","call function: 115:22-115:64","call in function: triggers@113-126","callee=java.lang.String.format","basic block: 115:22-115:64"
"Path: /home/sixsquare/codeQL/projects/Chat2DB/chat2db-server/chat2db-plugins/chat2db-clickhouse/src/main/java/ai/chat2db/plugin/clickhouse/ClickHouseMetaData.java","call function: 132:22-132:74","call in function: trigger@129-143","callee=java.lang.String.format","basic block: 132:22-132:74"
"Path: /home/sixsquare/codeQL/projects/Chat2DB/chat2db-server/chat2db-plugins/chat2db-clickhouse/src/main/java/ai/chat2db/plugin/clickhouse/ClickHouseMetaData.java","call function: 148:22-148:88","call in function: procedure@146-161","callee=java.lang.String.format","basic block: 148:22-148:88"
"Path: /home/sixsquare/codeQL/projects/Chat2DB/chat2db-server/chat2db-plugins/chat2db-clickhouse/src/main/java/ai/chat2db/plugin/clickhouse/ClickHouseMetaData.java","call function: 165:22-165:81","call in function: columns@164-193","callee=java.lang.String.format","basic block: 165:22-165:81"
"Path: /home/sixsquare/codeQL/projects/Chat2DB/chat2db-server/chat2db-plugins/chat2db-clickhouse/src/main/java/ai/chat2db/plugin/clickhouse/ClickHouseMetaData.java","call function: 221:22-221:68","call in function: view@220-232","callee=java.lang.String.format","basic block: 221:22-221:68"
"Path: /home/sixsquare/codeQL/projects/Chat2DB/chat2db-server/chat2db-plugins/chat2db-clickhouse/src/main/java/ai/chat2db/plugin/clickhouse/ClickHouseMetaData.java","call function: 238:9-238:59","call in function: indexes@236-265","callee=java.lang.StringBuilder.append","basic block: 238:9-238:59"
"Path: /home/sixsquare/codeQL/projects/Chat2DB/chat2db-server/chat2db-plugins/chat2db-clickhouse/src/main/java/ai/chat2db/plugin/clickhouse/ClickHouseMetaData.java","call function: 238:9-238:47","call in function: indexes@236-265","callee=java.lang.StringBuilder.append","basic block: 238:9-238:47"
"Path: /home/sixsquare/codeQL/projects/Chat2DB/chat2db-server/chat2db-plugins/chat2db-clickhouse/src/main/java/ai/chat2db/plugin/clickhouse/ClickHouseMetaData.java","call function: 238:9-238:28","call in function: indexes@236-265","callee=java.lang.StringBuilder.append","basic block: 238:9-238:28"
"Path: /home/sixsquare/codeQL/projects/Chat2DB/chat2db-server/chat2db-plugins/chat2db-clickhouse/src/main/java/ai/chat2db/plugin/clickhouse/ClickHouseMetaData.java","call function: 239:9-239:33","call in function: indexes@236-265","callee=java.lang.StringBuilder.append","basic block: 239:9-239:33"
"Path: /home/sixsquare/codeQL/projects/Chat2DB/chat2db-server/chat2db-plugins/chat2db-clickhouse/src/main/java/ai/chat2db/plugin/clickhouse/ClickHouseMetaData.java","call function: 240:9-240:61","call in function: indexes@236-265","callee=java.lang.StringBuilder.append","basic block: 240:9-240:61"
"Path: /home/sixsquare/codeQL/projects/Chat2DB/chat2db-server/chat2db-plugins/chat2db-clickhouse/src/main/java/ai/chat2db/plugin/clickhouse/ClickHouseMetaData.java","call function: 240:9-240:49","call in function: indexes@236-265","callee=java.lang.StringBuilder.append","basic block: 240:9-240:49"
