"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/DSA-Bootcamp-Java/lectures/05-first-java-program/first-idea-program/src/com/kunal/Inputs.java","call function: 7:25-7:46","call in function: main@6-17","callee=java.util.Scanner.<init>","basic block: 7:25-7:46"
"Path: /home/sixsquare/codeQL/projects/DSA-Bootcamp-Java/lectures/05-first-java-program/first-idea-program/src/com/kunal/Main.java","call function: 7:25-7:46","call in function: main@6-9","callee=java.util.Scanner.<init>","basic block: 7:25-7:46"
"Path: /home/sixsquare/codeQL/projects/DSA-Bootcamp-Java/lectures/05-first-java-program/first-idea-program/src/com/kunal/Main.java","call function: 8:28-8:43","call in function: main@6-9","callee=java.util.Scanner.nextLine","basic block: 8:28-8:43"
"Path: /home/sixsquare/codeQL/projects/DSA-Bootcamp-Java/lectures/05-first-java-program/first-idea-program/src/com/kunal/Prime.java","call function: 7:22-7:43","call in function: main@6-27","callee=java.util.Scanner.<init>","basic block: 7:22-7:43"
"Path: /home/sixsquare/codeQL/projects/DSA-Bootcamp-Java/lectures/05-first-java-program/first-idea-program/src/com/kunal/Sum.java","call function: 7:25-7:46","call in function: main@6-14","callee=java.util.Scanner.<init>","basic block: 7:25-7:46"
"Path: /home/sixsquare/codeQL/projects/DSA-Bootcamp-Java/lectures/05-first-java-program/first-idea-program/src/com/kunal/Temperature.java","call function: 7:22-7:43","call in function: main@6-12","callee=java.util.Scanner.<init>","basic block: 7:22-7:43"
"Path: /home/sixsquare/codeQL/projects/DSA-Bootcamp-Java/lectures/05-first-java-program/first-idea-program/src/com/kunal/TypeCasting.java","call function: 7:25-7:46","call in function: main@6-45","callee=java.util.Scanner.<init>","basic block: 7:25-7:46"
"Path: /home/sixsquare/codeQL/projects/DSA-Bootcamp-Java/lectures/06-conditions-loops/code/src/com/kunal/Calculator.java","call function: 7:22-7:43","call in function: main@6-45","callee=java.util.Scanner.<init>","basic block: 7:22-7:43"
"Path: /home/sixsquare/codeQL/projects/DSA-Bootcamp-Java/lectures/06-conditions-loops/code/src/com/kunal/Calculator.java","call function: 13:23-13:31","call in function: main@6-45","callee=java.util.Scanner.next","basic block: 13:23-13:31"
"Path: /home/sixsquare/codeQL/projects/DSA-Bootcamp-Java/lectures/06-conditions-loops/code/src/com/kunal/CaseCheck.java","call function: 7:22-7:43","call in function: main@6-16","callee=java.util.Scanner.<init>","basic block: 7:22-7:43"
"Path: /home/sixsquare/codeQL/projects/DSA-Bootcamp-Java/lectures/06-conditions-loops/code/src/com/kunal/CaseCheck.java","call function: 8:19-8:27","call in function: main@6-16","callee=java.util.Scanner.next","basic block: 8:19-8:27"
"Path: /home/sixsquare/codeQL/projects/DSA-Bootcamp-Java/lectures/06-conditions-loops/code/src/com/kunal/Fibo.java","call function: 7:22-7:43","call in function: main@6-21","callee=java.util.Scanner.<init>","basic block: 7:22-7:43"
"Path: /home/sixsquare/codeQL/projects/DSA-Bootcamp-Java/lectures/06-conditions-loops/code/src/com/kunal/Largest.java","call function: 7:22-7:43","call in function: main@6-36","callee=java.util.Scanner.<init>","basic block: 7:22-7:43"
"Path: /home/sixsquare/codeQL/projects/DSA-Bootcamp-Java/lectures/06-conditions-loops/code/src/com/kunal/Loops.java","call function: 22:22-22:43","call in function: main@6-61","callee=java.util.Scanner.<init>","basic block: 22:22-22:43"
"Path: /home/sixsquare/codeQL/projects/DSA-Bootcamp-Java/lectures/06-conditions-loops/switch/src/com/kunal/NestedSwitch.java","call function: 7:22-7:43","call in function: main@6-49","callee=java.util.Scanner.<init>","basic block: 7:22-7:43"
"Path: /home/sixsquare/codeQL/projects/DSA-Bootcamp-Java/lectures/06-conditions-loops/switch/src/com/kunal/NestedSwitch.java","call function: 9:29-9:37","call in function: main@6-49","callee=java.util.Scanner.next","basic block: 9:29-9:37"
"Path: /home/sixsquare/codeQL/projects/DSA-Bootcamp-Java/lectures/07-methods/code/src/com/kunal/Questions.java","call function: 7:22-7:43","call in function: main@6-17","callee=java.util.Scanner.<init>","basic block: 7:22-7:43"
"Path: /home/sixsquare/codeQL/projects/DSA-Bootcamp-Java/lectures/07-methods/code/src/com/kunal/StringExample.java","call function: 13:23-13:31","call in function: main@7-16","callee=java.util.Scanner.next","basic block: 13:23-13:31"
"Path: /home/sixsquare/codeQL/projects/DSA-Bootcamp-Java/lectures/07-methods/code/src/com/kunal/StringExample.java","call function: 11:23-11:44","call in function: main@7-16","callee=java.util.Scanner.<init>","basic block: 11:23-11:44"
"Path: /home/sixsquare/codeQL/projects/DSA-Bootcamp-Java/lectures/08-arrays/code/src/com/kunal/ArrayListExample.java","call function: 8:22-8:43","call in function: main@7-41","callee=java.util.Scanner.<init>","basic block: 8:22-8:43"
"Path: /home/sixsquare/codeQL/projects/DSA-Bootcamp-Java/lectures/08-arrays/code/src/com/kunal/Input.java","call function: 8:22-8:43","call in function: main@7-49","callee=java.util.Scanner.<init>","basic block: 8:22-8:43"
