"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/DataX/osswriter/src/main/java/com/alibaba/datax/plugin/writer/osswriter/OssWriter.java","call function: 857:25-857:57","call in function: startWriteBinaryFile@789-906","callee=java.io.OutputStream.write","basic block: 857:25-857:57"
"Path: /home/sixsquare/codeQL/projects/DataX/otsstreamreader/src/main/java/com/alibaba/datax/plugin/reader/otsstreamreader/internal/model/StreamJob.java","call function: 125:21-125:62","call in function: deserializeShardIdList@116-144","callee=java.io.OutputStream.write","basic block: 125:21-125:62"
"Path: /home/sixsquare/codeQL/projects/DataX/plugin-unstructured-storage-util/src/main/java/com/alibaba/datax/plugin/unstructuredstorage/writer/DataXCsvWriter.java","call function: 105:13-105:58","call in function: write@98-164","callee=java.io.Writer.write","basic block: 105:13-105:58"
"Path: /home/sixsquare/codeQL/projects/DataX/plugin-unstructured-storage-util/src/main/java/com/alibaba/datax/plugin/unstructuredstorage/writer/DataXCsvWriter.java","call function: 132:13-132:62","call in function: write@98-164","callee=java.io.Writer.write","basic block: 132:13-132:62"
"Path: /home/sixsquare/codeQL/projects/DataX/plugin-unstructured-storage-util/src/main/java/com/alibaba/datax/plugin/unstructuredstorage/writer/DataXCsvWriter.java","call function: 158:9-158:31","call in function: write@98-164","callee=java.io.Writer.write","basic block: 158:9-158:31"
"Path: /home/sixsquare/codeQL/projects/DataX/plugin-unstructured-storage-util/src/main/java/com/alibaba/datax/plugin/unstructuredstorage/writer/DataXCsvWriter.java","call function: 160:13-160:62","call in function: write@98-164","callee=java.io.Writer.write","basic block: 160:13-160:62"
"Path: /home/sixsquare/codeQL/projects/DataX/plugin-unstructured-storage-util/src/main/java/com/alibaba/datax/plugin/unstructuredstorage/writer/DataXCsvWriter.java","call function: 172:9-172:52","call in function: writeComment@170-181","callee=java.io.Writer.write","basic block: 172:9-172:52"
"Path: /home/sixsquare/codeQL/projects/DataX/plugin-unstructured-storage-util/src/main/java/com/alibaba/datax/plugin/unstructuredstorage/writer/DataXCsvWriter.java","call function: 173:9-173:31","call in function: writeComment@170-181","callee=java.io.Writer.write","basic block: 173:9-173:31"
"Path: /home/sixsquare/codeQL/projects/DataX/plugin-unstructured-storage-util/src/main/java/com/alibaba/datax/plugin/unstructuredstorage/writer/DataXCsvWriter.java","call function: 175:13-175:64","call in function: writeComment@170-181","callee=java.io.Writer.write","basic block: 175:13-175:64"
"Path: /home/sixsquare/codeQL/projects/DataX/plugin-unstructured-storage-util/src/main/java/com/alibaba/datax/plugin/unstructuredstorage/writer/DataXCsvWriter.java","call function: 177:13-177:53","call in function: writeComment@170-181","callee=java.io.Writer.write","basic block: 177:13-177:53"
"Path: /home/sixsquare/codeQL/projects/DataX/plugin-unstructured-storage-util/src/main/java/com/alibaba/datax/plugin/unstructuredstorage/writer/DataXCsvWriter.java","call function: 201:13-201:64","call in function: endRecord@198-207","callee=java.io.Writer.write","basic block: 201:13-201:64"
"Path: /home/sixsquare/codeQL/projects/DataX/plugin-unstructured-storage-util/src/main/java/com/alibaba/datax/plugin/unstructuredstorage/writer/DataXCsvWriter.java","call function: 203:13-203:53","call in function: endRecord@198-207","callee=java.io.Writer.write","basic block: 203:13-203:53"
"Path: /home/sixsquare/codeQL/projects/DataX/plugin-unstructured-storage-util/src/main/java/com/alibaba/datax/plugin/unstructuredstorage/writer/SqlWriter.java","call function: 45:9-45:50","call in function: writeOneRecord@31-46","callee=java.io.Writer.write","basic block: 45:9-45:50"
"Path: /home/sixsquare/codeQL/projects/DataX/plugin-unstructured-storage-util/src/main/java/com/alibaba/datax/plugin/unstructuredstorage/writer/SqlWriter.java","call function: 64:9-64:55","call in function: appendCommit@63-65","callee=java.io.Writer.write","basic block: 64:9-64:55"
"Path: /home/sixsquare/codeQL/projects/DataX/plugin-unstructured-storage-util/src/main/java/com/alibaba/datax/plugin/unstructuredstorage/writer/TextCsvWriterManager.java","call function: 111:9-113:36","call in function: writeOneRecord@107-114","callee=java.io.Writer.write","basic block: 111:9-113:36"
"Path: /home/sixsquare/codeQL/projects/DataX/plugin-unstructured-storage-util/src/main/java/com/alibaba/datax/plugin/unstructuredstorage/writer/binaryFileUtil/BinaryFileWriterUtil.java","call function: 46:17-46:52","call in function: writeFileFromRecordReceiver@41-53","callee=java.io.OutputStream.write","basic block: 46:17-46:52"
"Path: /home/sixsquare/codeQL/projects/DataX/streamwriter/src/main/java/com/alibaba/datax/plugin/writer/streamwriter/StreamWriter.java","call function: 161:33-161:68","call in function: startWrite@148-172","callee=java.io.Writer.write","basic block: 161:33-161:68"
"Path: /home/sixsquare/codeQL/projects/DataX/streamwriter/src/main/java/com/alibaba/datax/plugin/writer/streamwriter/StreamWriter.java","call function: 198:20-198:55","call in function: writeToFile@174-207","callee=java.io.Writer.write","basic block: 198:20-198:55"
