"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/DoKit/Android/dokit-util/src/main/java/com/didichuxing/doraemonkit/util/FileUtils.java","call function: 1196:64-1196:97","call in function: getFileLength@1192-1208","callee=java.net.URL.openConnection","basic block: 1196:64-1196:97"
"Path: /home/sixsquare/codeQL/projects/DoKit/Android/dokit-util/src/main/java/com/didichuxing/doraemonkit/util/FileUtils.java","call function: 1196:64-1196:80","call in function: getFileLength@1192-1208","callee=java.net.URL.<init>","basic block: 1196:64-1196:80"
"Path: /home/sixsquare/codeQL/projects/DoKit/Android/dokit-util/src/main/java/com/didichuxing/doraemonkit/util/HttpsUtil.java","call function: 75:24-75:35","call in function: doHttpAction@70-130","callee=java.net.URL.<init>","basic block: 75:24-75:35"
"Path: /home/sixsquare/codeQL/projects/DoKit/Android/dokit-util/src/main/java/com/didichuxing/doraemonkit/util/HttpsUtil.java","call function: 76:46-76:66","call in function: doHttpAction@70-130","callee=java.net.URL.openConnection","basic block: 76:46-76:66"
"Path: /home/sixsquare/codeQL/projects/DoKit/Android/dokit/src/main/java/com/didichuxing/doraemonkit/aop/urlconnection/HttpUrlConnectionProxyUtil.java","call function: 33:27-33:74","call in function: proxy@31-42","callee=okhttp3.HttpUrl.parse","basic block: 33:27-33:74"
"Path: /home/sixsquare/codeQL/projects/DoKit/Android/dokit/src/main/java/com/didichuxing/doraemonkit/aop/urlconnection/HttpUrlConnectionProxyUtil.java","call function: 60:19-60:33","call in function: createOkHttpURLConnection@45-72","callee=java.net.URL.<init>","basic block: 60:19-60:33"
"Path: /home/sixsquare/codeQL/projects/DoKit/Android/dokit/src/main/java/com/didichuxing/doraemonkit/aop/urlconnection/ObsoleteUrlFactory.java","call function: 349:13-349:30","call in function: connect@344-364","callee=okhttp3.Call.enqueue","basic block: 349:13-349:30"
"Path: /home/sixsquare/codeQL/projects/DoKit/Android/dokit/src/main/java/com/didichuxing/doraemonkit/aop/urlconnection/ObsoleteUrlFactory.java","call function: 599:31-600:29","call in function: buildCall@548-620","callee=okhttp3.Request$Builder.url","basic block: 599:31-600:29"
"Path: /home/sixsquare/codeQL/projects/DoKit/Android/dokit/src/main/java/com/didichuxing/doraemonkit/aop/urlconnection/ObsoleteUrlFactory.java","call function: 592:23-592:54","call in function: buildCall@548-620","callee=okhttp3.HttpUrl.get","basic block: 592:23-592:54"
"Path: /home/sixsquare/codeQL/projects/DoKit/Android/dokit/src/main/java/com/didichuxing/doraemonkit/aop/urlconnection/ObsoleteUrlFactory.java","call function: 619:27-619:64","call in function: buildCall@548-620","callee=okhttp3.OkHttpClient.newCall","basic block: 619:27-619:64"
"Path: /home/sixsquare/codeQL/projects/DoKit/Android/dokit/src/main/java/com/didichuxing/doraemonkit/aop/urlconnection/ObsoleteUrlFactory.java","call function: 651:38-651:51","call in function: getResponse@622-663","callee=okhttp3.Call.execute","basic block: 651:38-651:51"
"Path: /home/sixsquare/codeQL/projects/DoKit/Android/dokit/src/main/java/com/didichuxing/doraemonkit/kit/network/okhttp/interceptor/DokitMockInterceptor.java","call function: 272:30-274:28","call in function: matchedInterceptRule@241-293","callee=okhttp3.Request$Builder.url","basic block: 272:30-274:28"
"Path: /home/sixsquare/codeQL/projects/DoKit/Android/dokit/src/main/java/com/didichuxing/doraemonkit/picasso/UrlConnectionDownloader.java","call function: 54:56-54:96","call in function: openConnection@53-58","callee=java.net.URL.openConnection","basic block: 54:56-54:96"
"Path: /home/sixsquare/codeQL/projects/DoKit/Android/dokit/src/main/java/com/didichuxing/doraemonkit/picasso/UrlConnectionDownloader.java","call function: 54:56-54:79","call in function: openConnection@53-58","callee=java.net.URL.<init>","basic block: 54:56-54:79"
"Path: /home/sixsquare/codeQL/projects/DoKit/Android/dokit/src/main/java/com/didichuxing/doraemonkit/util/DoraemonStatisticsUtil.java","call function: 56:27-57:60","call in function: uploadUserInfo@31-72","callee=okhttp3.Request$Builder.url","basic block: 56:27-57:60"
"Path: /home/sixsquare/codeQL/projects/DoKit/Android/dokit/src/main/java/com/didichuxing/doraemonkit/util/DoraemonStatisticsUtil.java","call function: 60:21-60:43","call in function: uploadUserInfo@31-72","callee=okhttp3.OkHttpClient.newCall","basic block: 60:21-60:43"
"Path: /home/sixsquare/codeQL/projects/DoKit/Android/dokit/src/main/java/com/didichuxing/doraemonkit/util/DoraemonStatisticsUtil.java","call function: 61:9-71:10","call in function: uploadUserInfo@31-72","callee=okhttp3.Call.enqueue","basic block: 61:9-71:10"
