"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/cpp/jni/libjpeg-turbo/libjpeg-turbo/java/TJBench.java","call function: 106:12-106:37","call in function: sigFig@98-107","callee=java.lang.String.format","basic block: 106:12-106:37"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/java/com/hippo/beerbelly/DiskLruCache.java","call function: 947:17-947:47","call in function: getLengths@944-950","callee=java.lang.StringBuilder.append","basic block: 947:17-947:47"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/java/com/hippo/beerbelly/DiskLruCache.java","call function: 947:17-947:34","call in function: getLengths@944-950","callee=java.lang.StringBuilder.append","basic block: 947:17-947:34"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/java/com/hippo/beerbelly/SimpleDiskCache.java","call function: 107:17-107:35","call in function: bytesToHexString@102-112","callee=java.lang.StringBuilder.append","basic block: 107:17-107:35"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/java/com/hippo/beerbelly/SimpleDiskCache.java","call function: 109:13-109:31","call in function: bytesToHexString@102-112","callee=java.lang.StringBuilder.append","basic block: 109:13-109:31"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/java/com/hippo/ehviewer/Settings.java","call function: 1029:17-1029:64","call in function: generateUserID@1023-1036","callee=java.lang.StringBuilder.append","basic block: 1029:17-1029:64"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/java/com/hippo/ehviewer/Settings.java","call function: 1031:17-1031:64","call in function: generateUserID@1023-1036","callee=java.lang.StringBuilder.append","basic block: 1031:17-1031:64"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/java/com/hippo/ehviewer/client/data/ListUrlBuilder.java","call function: 614:17-614:38","call in function: build@553-673","callee=java.lang.StringBuilder.append","basic block: 614:17-614:38"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/java/com/hippo/ehviewer/client/data/ListUrlBuilder.java","call function: 616:21-616:67","call in function: build@553-673","callee=java.lang.StringBuilder.append","basic block: 616:21-616:67"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/java/com/hippo/ehviewer/client/data/ListUrlBuilder.java","call function: 621:21-621:53","call in function: build@553-673","callee=java.lang.StringBuilder.append","basic block: 621:21-621:53"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/java/com/hippo/ehviewer/client/data/ListUrlBuilder.java","call function: 621:21-621:34","call in function: build@553-673","callee=java.lang.StringBuilder.append","basic block: 621:21-621:34"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/java/com/hippo/ehviewer/client/data/ListUrlBuilder.java","call function: 627:17-627:33","call in function: build@553-673","callee=java.lang.StringBuilder.append","basic block: 627:17-627:33"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/java/com/hippo/ehviewer/client/data/ListUrlBuilder.java","call function: 629:21-629:67","call in function: build@553-673","callee=java.lang.StringBuilder.append","basic block: 629:21-629:67"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/java/com/hippo/ehviewer/client/data/ListUrlBuilder.java","call function: 634:21-634:53","call in function: build@553-673","callee=java.lang.StringBuilder.append","basic block: 634:21-634:53"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/java/com/hippo/ehviewer/client/data/ListUrlBuilder.java","call function: 634:21-634:34","call in function: build@553-673","callee=java.lang.StringBuilder.append","basic block: 634:21-634:34"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/java/com/hippo/ehviewer/client/data/ListUrlBuilder.java","call function: 640:17-640:30","call in function: build@553-673","callee=java.lang.StringBuilder.append","basic block: 640:17-640:30"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/java/com/hippo/ehviewer/client/data/ListUrlBuilder.java","call function: 643:21-643:69","call in function: build@553-673","callee=java.lang.StringBuilder.append","basic block: 643:21-643:69"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/java/com/hippo/ehviewer/client/data/ListUrlBuilder.java","call function: 643:21-643:57","call in function: build@553-673","callee=java.lang.StringBuilder.append","basic block: 643:21-643:57"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/java/com/hippo/ehviewer/client/data/ListUrlBuilder.java","call function: 643:21-643:38","call in function: build@553-673","callee=java.lang.StringBuilder.append","basic block: 643:21-643:38"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/java/com/hippo/ehviewer/client/data/ListUrlBuilder.java","call function: 645:17-645:38","call in function: build@553-673","callee=java.lang.StringBuilder.append","basic block: 645:17-645:38"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/java/com/hippo/ehviewer/client/data/ListUrlBuilder.java","call function: 647:21-647:67","call in function: build@553-673","callee=java.lang.StringBuilder.append","basic block: 647:21-647:67"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/java/com/hippo/ehviewer/client/data/ListUrlBuilder.java","call function: 660:17-660:30","call in function: build@553-673","callee=java.lang.StringBuilder.append","basic block: 660:17-660:30"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/java/com/hippo/ehviewer/client/data/ListUrlBuilder.java","call function: 661:17-661:34","call in function: build@553-673","callee=java.lang.StringBuilder.append","basic block: 661:17-661:34"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/java/com/hippo/ehviewer/client/data/ListUrlBuilder.java","call function: 666:18-666:33","call in function: build@553-673","callee=java.lang.StringBuilder.append","basic block: 666:18-666:33"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/java/com/hippo/ehviewer/client/data/ListUrlBuilder.java","call function: 667:18-667:38","call in function: build@553-673","callee=java.lang.StringBuilder.append","basic block: 667:18-667:38"
"Path: /home/sixsquare/codeQL/projects/Ehviewer_CN_SXJ/app/src/main/java/com/hippo/ehviewer/client/parser/GalleryListParser.java","call function: 157:41-157:67","call in function: parse@103-240","callee=java.lang.StringBuilder.append","basic block: 157:41-157:67"
