"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 329:17-329:62","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 329:17-329:62"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 331:13-331:87","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 331:13-331:87"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 332:13-332:87","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 332:13-332:87"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 333:13-333:81","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 333:13-333:81"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 334:13-334:88","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 334:13-334:88"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 335:13-335:74","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 335:13-335:74"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 336:13-336:55","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 336:13-336:55"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 337:13-337:53","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 337:13-337:53"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 338:13-338:86","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 338:13-338:86"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 339:13-339:89","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 339:13-339:89"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 340:13-340:104","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 340:13-340:104"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 341:13-341:42","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 341:13-341:42"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 342:13-342:99","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 342:13-342:99"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 344:13-344:37","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 344:13-344:37"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 345:13-345:85","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 345:13-345:85"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 346:13-346:92","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 346:13-346:92"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 347:13-347:37","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 347:13-347:37"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 348:13-348:43","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 348:13-348:43"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 349:13-349:101","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 349:13-349:101"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 350:13-350:98","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 350:13-350:98"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 351:13-351:57","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 351:13-351:57"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 352:13-352:54","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 352:13-352:54"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 353:13-353:46","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 353:13-353:46"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 354:13-354:54","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 354:13-354:54"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 355:13-355:39","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 355:13-355:39"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 356:13-356:35","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 356:13-356:35"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 357:13-357:31","call in function: createInfoIndexFile@320-369","callee=java.io.Writer.write","basic block: 357:13-357:31"
"Path: /home/sixsquare/codeQL/projects/EventBus/EventBusAnnotationProcessor/src/org/greenrobot/eventbus/annotationprocessor/EventBusAnnotationProcessor.java","call function: 384:17-384:48","call in function: writeIndexLines@371-389","callee=java.io.Writer.write","basic block: 384:17-384:48"
