"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/demos/gl/src/main/java/com/google/android/exoplayer2/gldemo/BitmapOverlayVideoProcessor.java","call function: 126:19-126:99","call in function: draw@124-158","callee=java.lang.String.format","basic block: 126:19-126:99"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/demos/transformer/src/main/java/com/google/android/exoplayer2/transformerdemo/TimerOverlay.java","call function: 59:13-59:95","call in function: getText@56-66","callee=java.lang.String.format","basic block: 59:13-59:95"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/extensions/ima/src/main/java/com/google/android/exoplayer2/ext/ima/ImaUtil.java","call function: 839:9-842:47","call in function: getAdGroupAndIndexInLiveMultiPeriodTimeline@815-843","callee=java.lang.String.format","basic block: 839:9-842:47"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/library/common/src/main/java/com/google/android/exoplayer2/util/CodecSpecificDataUtil.java","call function: 181:12-182:88","call in function: buildAvcCodecString@179-183","callee=java.lang.String.format","basic block: 181:12-182:88"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/library/common/src/main/java/com/google/android/exoplayer2/util/CodecSpecificDataUtil.java","call function: 208:22-208:63","call in function: buildHevcCodecString@186-211","callee=java.lang.String.format","basic block: 208:22-208:63"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/library/common/src/main/java/com/google/android/exoplayer2/util/Util.java","call function: 928:12-928:49","call in function: formatInvariant@927-929","callee=java.lang.String.format","basic block: 928:12-928:49"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/util/DebugTextViewHelper.java","call function: 122:12-124:90","call in function: getPlayerStateString@103-125","callee=java.lang.String.format","basic block: 122:12-124:90"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/util/DebugTextViewHelper.java","call function: 197:22-197:72","call in function: getPixelAspectRatioString@194-198","callee=java.lang.String.format","basic block: 197:22-197:72"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/UrlTemplate.java","call function: 94:24-94:87","call in function: buildUri@87-103","callee=java.lang.String.format","basic block: 94:24-94:87"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/UrlTemplate.java","call function: 96:24-96:83","call in function: buildUri@87-103","callee=java.lang.String.format","basic block: 96:24-96:83"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/library/dash/src/main/java/com/google/android/exoplayer2/source/dash/manifest/UrlTemplate.java","call function: 98:24-98:78","call in function: buildUri@87-103","callee=java.lang.String.format","basic block: 98:24-98:78"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/library/datasource/src/main/java/com/google/android/exoplayer2/upstream/FileDataSource.java","call function: 196:13-200:65","call in function: openLocalFile@190-217","callee=java.lang.String.format","basic block: 196:13-200:65"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/library/extractor/src/main/java/com/google/android/exoplayer2/extractor/mkv/MatroskaExtractor.java","call function: 1758:13-1758:88","call in function: formatSubtitleTimecode@1745-1760","callee=java.lang.String.format","basic block: 1758:13-1758:88"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/library/extractor/src/main/java/com/google/android/exoplayer2/metadata/icy/IcyInfo.java","call function: 92:12-93:99","call in function: toString@91-94","callee=java.lang.String.format","basic block: 92:12-93:99"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/library/extractor/src/main/java/com/google/android/exoplayer2/metadata/id3/Id3Decoder.java","call function: 175:73-175:97","call in function: decodeHeader@167-216","callee=java.lang.String.format","basic block: 175:73-175:97"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/library/extractor/src/main/java/com/google/android/exoplayer2/metadata/id3/Id3Decoder.java","call function: 814:11-814:74","call in function: getFrameId@811-816","callee=java.lang.String.format","basic block: 814:11-814:74"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/library/extractor/src/main/java/com/google/android/exoplayer2/metadata/id3/Id3Decoder.java","call function: 815:11-815:86","call in function: getFrameId@811-816","callee=java.lang.String.format","basic block: 815:11-815:86"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/library/hls/src/main/java/com/google/android/exoplayer2/source/hls/HlsSampleStreamWrapper.java","call function: 1854:15-1856:81","call in function: sampleMetadata@1836-1870","callee=java.lang.String.format","basic block: 1854:15-1856:81"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/library/muxer/src/main/java/com/google/android/exoplayer2/muxer/Boxes.java","call function: 354:9-354:86","call in function: udta@347-374","callee=java.lang.String.format","basic block: 354:9-354:86"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/library/muxer/src/main/java/com/google/android/exoplayer2/muxer/Boxes.java","call function: 623:13-623:94","call in function: durationsVuForStts@598-632","callee=java.lang.String.format","basic block: 623:13-623:94"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/library/rtsp/src/main/java/com/google/android/exoplayer2/source/rtsp/SessionDescriptionParser.java","call function: 101:17-101:75","call in function: parse@78-206","callee=java.lang.String.format","basic block: 101:17-101:75"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/library/rtsp/src/main/java/com/google/android/exoplayer2/source/rtsp/reader/RtpH264Reader.java","call function: 118:11-118:93","call in function: consume@98-136","callee=java.lang.String.format","basic block: 118:11-118:93"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/library/rtsp/src/main/java/com/google/android/exoplayer2/source/rtsp/reader/RtpH265Reader.java","call function: 112:11-112:81","call in function: consume@94-130","callee=java.lang.String.format","basic block: 112:11-112:81"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/library/transformer/src/androidTest/java/com/google/android/exoplayer2/transformer/mh/analysis/BitrateAnalysisTest.java","call function: 125:21-125:97","call in function: analyzeBitrate@122-171","callee=java.lang.String.format","basic block: 125:21-125:97"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/library/transformer/src/androidTest/java/com/google/android/exoplayer2/transformer/mh/analysis/SsimMapperTest.java","call function: 145:9-146:96","call in function: findSsimMapping@140-159","callee=java.lang.String.format","basic block: 145:9-146:96"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/library/transformer/src/androidTest/java/com/google/android/exoplayer2/transformer/mh/analysis/SsimMapperTest.java","call function: 282:23-282:80","call in function: exportAndGetSsim@278-323","callee=java.lang.String.format","basic block: 282:23-282:80"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/DataSourceContractTest.java","call function: 640:14-640:45","call in function: getFailureLabel@634-642","callee=java.lang.String.format","basic block: 640:14-640:45"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/DumpFileAsserts.java","call function: 175:7-175:23","call in function: assertOutput@154-178","callee=java.io.PrintWriter.print","basic block: 175:7-175:23"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/Dumper.java","call function: 60:9-65:35","call in function: add@58-67","callee=java.lang.String.format","basic block: 60:9-65:35"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/truth/SpannedSubject.java","call function: 179:13-179:93","call in function: hasBoldItalicSpanBetween@156-185","callee=java.lang.String.format","basic block: 179:13-179:93"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/truth/SpannedSubject.java","call function: 653:15-655:56","call in function: hasNoSpansOfTypeBetween@643-659","callee=java.lang.String.format","basic block: 653:15-655:56"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/truth/SpannedSubject.java","call function: 713:12-715:59","call in function: getSpanAsString@711-716","callee=java.lang.String.format","basic block: 713:12-715:59"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/truth/SpannedSubject.java","call function: 879:36-879:65","call in function: withColor@867-882","callee=java.lang.String.format","basic block: 879:36-879:65"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/truth/SpannedSubject.java","call function: 873:24-873:73","call in function: withColor@867-882","callee=java.lang.String.format","basic block: 873:24-873:73"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/truth/SpannedSubject.java","call function: 918:36-918:65","call in function: withColor@906-921","callee=java.lang.String.format","basic block: 918:36-918:65"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/truth/SpannedSubject.java","call function: 912:24-912:73","call in function: withColor@906-921","callee=java.lang.String.format","basic block: 912:24-912:73"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/truth/SpannedSubject.java","call function: 1159:16-1159:71","call in function: toString@1158-1160","callee=java.lang.String.format","basic block: 1159:16-1159:71"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/truth/SpannedSubject.java","call function: 1264:16-1265:84","call in function: toString@1263-1266","callee=java.lang.String.format","basic block: 1264:16-1265:84"
"Path: /home/sixsquare/codeQL/projects/ExoPlayer/testutils/src/test/java/com/google/android/exoplayer2/testutil/truth/SpannedSubjectTest.java","call function: 186:13-187:93","call in function: boldItalicSpan_onlyItalic@176-189","callee=java.lang.String.format","basic block: 186:13-187:93"
