"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/GSYVideoPlayer/app/src/main/java/com/example/gsyvideoplayer/utils/BiliDanmukuParser.java","call function: 62:33-62:62","call in function: parse@54-73","callee=org.xml.sax.InputSource.<init>","basic block: 62:33-62:62"
"Path: /home/sixsquare/codeQL/projects/GSYVideoPlayer/app/src/main/java/com/example/gsyvideoplayer/video/DanmakuVideoPlayer.java","call function: 285:13-285:29","call in function: getIsStream@278-300","callee=java.lang.StringBuilder.append","basic block: 285:13-285:29"
"Path: /home/sixsquare/codeQL/projects/GSYVideoPlayer/app/src/main/java/com/example/gsyvideoplayer/video/DanmakuVideoPlayer.java","call function: 288:17-288:32","call in function: getIsStream@278-300","callee=java.lang.StringBuilder.append","basic block: 288:17-288:32"
"Path: /home/sixsquare/codeQL/projects/GSYVideoPlayer/app/src/main/java/com/example/gsyvideoplayer/video/DanmakuVideoPlayer.java","call function: 290:13-290:30","call in function: getIsStream@278-300","callee=java.lang.StringBuilder.append","basic block: 290:13-290:30"
"Path: /home/sixsquare/codeQL/projects/GSYVideoPlayer/gsyVideoPlayer-exo_player2/src/main/java/tv/danmaku/ijk/media/exo2/demo/EventLogger.java","call function: 126:44-127:95","call in function: onPlaybackParametersChanged@125-128","callee=java.lang.String.format","basic block: 126:44-127:95"
"Path: /home/sixsquare/codeQL/projects/GSYVideoPlayer/gsyVideoPlayer-exo_player2/src/main/java/tv/danmaku/ijk/media/exo2/demo/EventLogger.java","call function: 294:37-295:51","call in function: printMetadata@289-323","callee=java.lang.String.format","basic block: 294:37-295:51"
"Path: /home/sixsquare/codeQL/projects/GSYVideoPlayer/gsyVideoPlayer-exo_player2/src/main/java/tv/danmaku/ijk/media/exo2/demo/EventLogger.java","call function: 298:37-298:98","call in function: printMetadata@289-323","callee=java.lang.String.format","basic block: 298:37-298:98"
"Path: /home/sixsquare/codeQL/projects/GSYVideoPlayer/gsyVideoPlayer-exo_player2/src/main/java/tv/danmaku/ijk/media/exo2/demo/EventLogger.java","call function: 301:37-301:96","call in function: printMetadata@289-323","callee=java.lang.String.format","basic block: 301:37-301:96"
"Path: /home/sixsquare/codeQL/projects/GSYVideoPlayer/gsyVideoPlayer-exo_player2/src/main/java/tv/danmaku/ijk/media/exo2/demo/EventLogger.java","call function: 304:37-305:100","call in function: printMetadata@289-323","callee=java.lang.String.format","basic block: 304:37-305:100"
"Path: /home/sixsquare/codeQL/projects/GSYVideoPlayer/gsyVideoPlayer-exo_player2/src/main/java/tv/danmaku/ijk/media/exo2/demo/EventLogger.java","call function: 308:37-309:80","call in function: printMetadata@289-323","callee=java.lang.String.format","basic block: 308:37-309:80"
"Path: /home/sixsquare/codeQL/projects/GSYVideoPlayer/gsyVideoPlayer-exo_player2/src/main/java/tv/danmaku/ijk/media/exo2/demo/EventLogger.java","call function: 312:37-313:72","call in function: printMetadata@289-323","callee=java.lang.String.format","basic block: 312:37-313:72"
"Path: /home/sixsquare/codeQL/projects/GSYVideoPlayer/gsyVideoPlayer-exo_player2/src/main/java/tv/danmaku/ijk/media/exo2/demo/EventLogger.java","call function: 316:37-316:68","call in function: printMetadata@289-323","callee=java.lang.String.format","basic block: 316:37-316:68"
"Path: /home/sixsquare/codeQL/projects/GSYVideoPlayer/gsyVideoPlayer-exo_player2/src/main/java/tv/danmaku/ijk/media/exo2/demo/EventLogger.java","call function: 319:37-320:86","call in function: printMetadata@289-323","callee=java.lang.String.format","basic block: 319:37-320:86"
"Path: /home/sixsquare/codeQL/projects/GSYVideoPlayer/gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/utils/FileUtils.java","call function: 23:9-23:94","call in function: getAppPath@21-28","callee=java.lang.StringBuilder.append","basic block: 23:9-23:94"
"Path: /home/sixsquare/codeQL/projects/GSYVideoPlayer/gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/utils/FileUtils.java","call function: 24:9-24:33","call in function: getAppPath@21-28","callee=java.lang.StringBuilder.append","basic block: 24:9-24:33"
"Path: /home/sixsquare/codeQL/projects/GSYVideoPlayer/gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/utils/FileUtils.java","call function: 25:9-25:23","call in function: getAppPath@21-28","callee=java.lang.StringBuilder.append","basic block: 25:9-25:23"
"Path: /home/sixsquare/codeQL/projects/GSYVideoPlayer/gsyVideoPlayer-java/src/main/java/com/shuyu/gsyvideoplayer/utils/FileUtils.java","call function: 26:9-26:33","call in function: getAppPath@21-28","callee=java.lang.StringBuilder.append","basic block: 26:9-26:33"
"Path: /home/sixsquare/codeQL/projects/GSYVideoPlayer/gsyVideoPlayer-java/src/main/java/moe/codeest/enviews/ENDownloadView.java","call function: 208:37-208:71","call in function: onDraw@152-226","callee=java.lang.String.format","basic block: 208:37-208:71"
"Path: /home/sixsquare/codeQL/projects/GSYVideoPlayer/gsyVideoPlayer-proxy_cache/src/main/java/com/danikula/videocache/GetRequest.java","call function: 44:13-44:51","call in function: read@39-47","callee=java.lang.StringBuilder.append","basic block: 44:13-44:51"
"Path: /home/sixsquare/codeQL/projects/GSYVideoPlayer/gsyVideoPlayer-proxy_cache/src/main/java/com/danikula/videocache/GetRequest.java","call function: 44:13-44:38","call in function: read@39-47","callee=java.lang.StringBuilder.append","basic block: 44:13-44:38"
"Path: /home/sixsquare/codeQL/projects/GSYVideoPlayer/gsyVideoPlayer-proxy_cache/src/main/java/com/danikula/videocache/HttpProxyCache.java","call function: 103:16-103:54","call in function: format@102-104","callee=java.lang.String.format","basic block: 103:16-103:54"
"Path: /home/sixsquare/codeQL/projects/GSYVideoPlayer/gsyVideoPlayer-proxy_cache/src/main/java/com/danikula/videocache/HttpProxyCacheServer.java","call function: 188:16-188:105","call in function: appendToProxyUrl@187-189","callee=java.lang.String.format","basic block: 188:16-188:105"
