"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/Grasscutter/src/main/java/emu/grasscutter/auth/DefaultAuthenticators.java","call function: 103:41-103:69","call in function: authenticate@89-194","callee=java.security.KeyFactory.getInstance","basic block: 103:41-103:69"
"Path: /home/sixsquare/codeQL/projects/Grasscutter/src/main/java/emu/grasscutter/auth/DefaultAuthenticators.java","call function: 104:61-104:95","call in function: authenticate@89-194","callee=java.security.KeyFactory.generatePrivate","basic block: 104:61-104:95"
"Path: /home/sixsquare/codeQL/projects/Grasscutter/src/main/java/emu/grasscutter/auth/DefaultAuthenticators.java","call function: 106:33-106:74","call in function: authenticate@89-194","callee=javax.crypto.Cipher.getInstance","basic block: 106:33-106:74"
"Path: /home/sixsquare/codeQL/projects/Grasscutter/src/main/java/emu/grasscutter/auth/DefaultAuthenticators.java","call function: 108:17-108:61","call in function: authenticate@89-194","callee=javax.crypto.Cipher.init","basic block: 108:17-108:61"
"Path: /home/sixsquare/codeQL/projects/Grasscutter/src/main/java/emu/grasscutter/auth/DefaultAuthenticators.java","call function: 112:33-112:105","call in function: authenticate@89-194","callee=javax.crypto.Cipher.doFinal","basic block: 112:33-112:105"
"Path: /home/sixsquare/codeQL/projects/Grasscutter/src/main/java/emu/grasscutter/server/packet/recv/HandlerGetPlayerTokenReq.java","call function: 116:30-116:71","call in function: handle@23-149","callee=javax.crypto.Cipher.getInstance","basic block: 116:30-116:71"
"Path: /home/sixsquare/codeQL/projects/Grasscutter/src/main/java/emu/grasscutter/server/packet/recv/HandlerGetPlayerTokenReq.java","call function: 120:50-120:84","call in function: handle@23-149","callee=javax.crypto.Cipher.doFinal","basic block: 120:50-120:84"
"Path: /home/sixsquare/codeQL/projects/Grasscutter/src/main/java/emu/grasscutter/server/packet/recv/HandlerGetPlayerTokenReq.java","call function: 125:37-125:61","call in function: handle@23-149","callee=javax.crypto.Cipher.doFinal","basic block: 125:37-125:61"
"Path: /home/sixsquare/codeQL/projects/Grasscutter/src/main/java/emu/grasscutter/server/packet/recv/HandlerGetPlayerTokenReq.java","call function: 127:40-127:77","call in function: handle@23-149","callee=java.security.Signature.getInstance","basic block: 127:40-127:77"
"Path: /home/sixsquare/codeQL/projects/Grasscutter/src/main/java/emu/grasscutter/server/packet/recv/HandlerGetPlayerTokenReq.java","call function: 117:17-117:72","call in function: handle@23-149","callee=javax.crypto.Cipher.init","basic block: 117:17-117:72"
"Path: /home/sixsquare/codeQL/projects/Grasscutter/src/main/java/emu/grasscutter/server/packet/recv/HandlerGetPlayerTokenReq.java","call function: 124:17-124:91","call in function: handle@23-149","callee=javax.crypto.Cipher.init","basic block: 124:17-124:91"
"Path: /home/sixsquare/codeQL/projects/Grasscutter/src/main/java/emu/grasscutter/server/packet/recv/HandlerGetPlayerTokenReq.java","call function: 128:17-128:65","call in function: handle@23-149","callee=java.security.Signature.initSign","basic block: 128:17-128:65"
"Path: /home/sixsquare/codeQL/projects/Grasscutter/src/main/java/emu/grasscutter/server/packet/recv/HandlerGetPlayerTokenReq.java","call function: 129:17-129:50","call in function: handle@23-149","callee=java.security.Signature.update","basic block: 129:17-129:50"
"Path: /home/sixsquare/codeQL/projects/Grasscutter/src/main/java/emu/grasscutter/server/packet/recv/HandlerGetPlayerTokenReq.java","call function: 135:52-135:74","call in function: handle@23-149","callee=java.security.Signature.sign","basic block: 135:52-135:74"
"Path: /home/sixsquare/codeQL/projects/Grasscutter/src/main/java/emu/grasscutter/utils/Crypto.java","call function: 38:21-40:108","call in function: loadKeys@29-60","callee=java.security.KeyFactory.generatePrivate","basic block: 38:21-40:108"
"Path: /home/sixsquare/codeQL/projects/Grasscutter/src/main/java/emu/grasscutter/utils/Crypto.java","call function: 38:21-38:49","call in function: loadKeys@29-60","callee=java.security.KeyFactory.getInstance","basic block: 38:21-38:49"
"Path: /home/sixsquare/codeQL/projects/Grasscutter/src/main/java/emu/grasscutter/utils/Crypto.java","call function: 50:33-51:101","call in function: loadKeys@29-60","callee=java.security.KeyFactory.generatePublic","basic block: 50:33-51:101"
"Path: /home/sixsquare/codeQL/projects/Grasscutter/src/main/java/emu/grasscutter/utils/Crypto.java","call function: 50:33-50:61","call in function: loadKeys@29-60","callee=java.security.KeyFactory.getInstance","basic block: 50:33-50:61"
"Path: /home/sixsquare/codeQL/projects/Grasscutter/src/main/java/emu/grasscutter/utils/Crypto.java","call function: 104:25-104:66","call in function: encryptAndSignRegionData@98-132","callee=javax.crypto.Cipher.getInstance","basic block: 104:25-104:66"
"Path: /home/sixsquare/codeQL/projects/Grasscutter/src/main/java/emu/grasscutter/utils/Crypto.java","call function: 123:38-123:75","call in function: encryptAndSignRegionData@98-132","callee=java.security.Signature.getInstance","basic block: 123:38-123:75"
"Path: /home/sixsquare/codeQL/projects/Grasscutter/src/main/java/emu/grasscutter/utils/Crypto.java","call function: 105:9-105:85","call in function: encryptAndSignRegionData@98-132","callee=javax.crypto.Cipher.init","basic block: 105:9-105:85"
"Path: /home/sixsquare/codeQL/projects/Grasscutter/src/main/java/emu/grasscutter/utils/Crypto.java","call function: 119:37-119:57","call in function: encryptAndSignRegionData@98-132","callee=javax.crypto.Cipher.doFinal","basic block: 119:37-119:57"
