"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/HikariCP/src/main/java/com/zaxxer/hikari/hibernate/HikariConnectionProvider.java","call function: 46:41-46:95","call in function: <clinit>@42-42","callee=org.slf4j.LoggerFactory.getLogger","basic block: 46:41-46:95"
"Path: /home/sixsquare/codeQL/projects/HikariCP/src/main/java/com/zaxxer/hikari/hibernate/HikariConnectionProvider.java","call function: 70:10-71:130","call in function: HikariConnectionProvider@65-73","callee=org.slf4j.Logger.warn","basic block: 70:10-71:130"
"Path: /home/sixsquare/codeQL/projects/HikariCP/src/main/java/com/zaxxer/hikari/hibernate/HikariConnectionProvider.java","call function: 84:10-84:45","call in function: configure@81-95","callee=org.slf4j.Logger.debug","basic block: 84:10-84:45"
"Path: /home/sixsquare/codeQL/projects/HikariCP/src/main/java/com/zaxxer/hikari/hibernate/HikariConnectionProvider.java","call function: 94:7-94:41","call in function: configure@81-95","callee=org.slf4j.Logger.debug","basic block: 94:7-94:41"
"Path: /home/sixsquare/codeQL/projects/HikariCP/src/main/java/com/zaxxer/hikari/HikariConfig.java","call function: 47:41-47:83","call in function: <clinit>@45-45","callee=org.slf4j.LoggerFactory.getLogger","basic block: 47:41-47:83"
"Path: /home/sixsquare/codeQL/projects/HikariCP/src/main/java/com/zaxxer/hikari/HikariConfig.java","call function: 1068:13-1068:92","call in function: validate@1045-1099","callee=org.slf4j.Logger.warn","basic block: 1068:13-1068:92"
"Path: /home/sixsquare/codeQL/projects/HikariCP/src/main/java/com/zaxxer/hikari/HikariConfig.java","call function: 1073:13-1073:103","call in function: validate@1045-1099","callee=org.slf4j.Logger.error","basic block: 1073:13-1073:103"
"Path: /home/sixsquare/codeQL/projects/HikariCP/src/main/java/com/zaxxer/hikari/HikariConfig.java","call function: 1079:13-1079:89","call in function: validate@1045-1099","callee=org.slf4j.Logger.warn","basic block: 1079:13-1079:89"
"Path: /home/sixsquare/codeQL/projects/HikariCP/src/main/java/com/zaxxer/hikari/HikariConfig.java","call function: 1086:10-1086:81","call in function: validate@1045-1099","callee=org.slf4j.Logger.error","basic block: 1086:10-1086:81"
"Path: /home/sixsquare/codeQL/projects/HikariCP/src/main/java/com/zaxxer/hikari/HikariConfig.java","call function: 1090:10-1090:97","call in function: validate@1045-1099","callee=org.slf4j.Logger.error","basic block: 1090:10-1090:97"
"Path: /home/sixsquare/codeQL/projects/HikariCP/src/main/java/com/zaxxer/hikari/HikariConfig.java","call function: 1104:10-1104:111","call in function: validateNumerics@1101-1152","callee=org.slf4j.Logger.warn","basic block: 1104:10-1104:111"
"Path: /home/sixsquare/codeQL/projects/HikariCP/src/main/java/com/zaxxer/hikari/HikariConfig.java","call function: 1110:10-1110:88","call in function: validateNumerics@1101-1152","callee=org.slf4j.Logger.warn","basic block: 1110:10-1110:88"
"Path: /home/sixsquare/codeQL/projects/HikariCP/src/main/java/com/zaxxer/hikari/HikariConfig.java","call function: 1116:10-1116:107","call in function: validateNumerics@1101-1152","callee=org.slf4j.Logger.warn","basic block: 1116:10-1116:107"
"Path: /home/sixsquare/codeQL/projects/HikariCP/src/main/java/com/zaxxer/hikari/HikariConfig.java","call function: 1122:13-1122:124","call in function: validateNumerics@1101-1152","callee=org.slf4j.Logger.warn","basic block: 1122:13-1122:124"
"Path: /home/sixsquare/codeQL/projects/HikariCP/src/main/java/com/zaxxer/hikari/HikariConfig.java","call function: 1128:10-1128:132","call in function: validateNumerics@1101-1152","callee=org.slf4j.Logger.warn","basic block: 1128:10-1128:132"
"Path: /home/sixsquare/codeQL/projects/HikariCP/src/main/java/com/zaxxer/hikari/HikariConfig.java","call function: 1133:10-1133:132","call in function: validateNumerics@1101-1152","callee=org.slf4j.Logger.warn","basic block: 1133:10-1133:132"
"Path: /home/sixsquare/codeQL/projects/HikariCP/src/main/java/com/zaxxer/hikari/HikariConfig.java","call function: 1142:10-1142:102","call in function: validateNumerics@1101-1152","callee=org.slf4j.Logger.warn","basic block: 1142:10-1142:102"
"Path: /home/sixsquare/codeQL/projects/HikariCP/src/main/java/com/zaxxer/hikari/HikariConfig.java","call function: 1146:10-1146:111","call in function: validateNumerics@1101-1152","callee=org.slf4j.Logger.warn","basic block: 1146:10-1146:111"
"Path: /home/sixsquare/codeQL/projects/HikariCP/src/main/java/com/zaxxer/hikari/HikariConfig.java","call function: 1150:10-1150:133","call in function: validateNumerics@1101-1152","callee=org.slf4j.Logger.warn","basic block: 1150:10-1150:133"
"Path: /home/sixsquare/codeQL/projects/HikariCP/src/main/java/com/zaxxer/hikari/HikariConfig.java","call function: 1161:7-1161:51","call in function: logConfiguration@1159-1199","callee=org.slf4j.Logger.debug","basic block: 1161:7-1161:51"
"Path: /home/sixsquare/codeQL/projects/HikariCP/src/main/java/com/zaxxer/hikari/HikariConfig.java","call function: 1193:13-1193:117","call in function: logConfiguration@1159-1199","callee=org.slf4j.Logger.debug","basic block: 1193:13-1193:117"
