"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/Hystrix/hystrix-contrib/hystrix-javanica/src/main/java/com/netflix/hystrix/contrib/javanica/aop/aspectj/HystrixCommandAspect.java","call function: 313:49-313:139","call in function: getFirstGenericParameter@307-323","callee=java.lang.String.format","basic block: 313:49-313:139"
"Path: /home/sixsquare/codeQL/projects/Hystrix/hystrix-contrib/hystrix-javanica/src/main/java/com/netflix/hystrix/contrib/javanica/utils/FallbackMethod.java","call function: 176:29-178:92","call in function: validateReturnType@160-184","callee=java.lang.String.format","basic block: 176:29-178:92"
"Path: /home/sixsquare/codeQL/projects/Hystrix/hystrix-contrib/hystrix-javanica/src/main/java/com/netflix/hystrix/contrib/javanica/utils/FallbackMethod.java","call function: 289:25-289:124","call in function: get@286-291","callee=java.lang.String.format","basic block: 289:25-289:124"
"Path: /home/sixsquare/codeQL/projects/Hystrix/hystrix-contrib/hystrix-javanica/src/main/java/com/netflix/hystrix/contrib/javanica/utils/FallbackMethod.java","call function: 317:17-320:51","call in function: boundsError@315-322","callee=java.lang.String.format","basic block: 317:17-320:51"
"Path: /home/sixsquare/codeQL/projects/Hystrix/hystrix-contrib/hystrix-javanica/src/main/java/com/netflix/hystrix/contrib/javanica/utils/FallbackMethod.java","call function: 329:45-330:41","call in function: equals@324-337","callee=java.lang.String.format","basic block: 329:45-330:41"
"Path: /home/sixsquare/codeQL/projects/Hystrix/hystrix-contrib/hystrix-javanica/src/main/java/com/netflix/hystrix/contrib/javanica/utils/MethodProvider.java","call function: 264:25-264:41","call in function: parseParams@263-269","callee=java.lang.String.split","basic block: 264:25-264:41"
"Path: /home/sixsquare/codeQL/projects/Hystrix/hystrix-contrib/hystrix-javanica/src/main/java/com/netflix/hystrix/contrib/javanica/utils/MethodProvider.java","call function: 268:16-268:32","call in function: parseParams@263-269","callee=java.lang.String.split","basic block: 268:16-268:32"
"Path: /home/sixsquare/codeQL/projects/Hystrix/hystrix-contrib/hystrix-metrics-event-stream/src/test/java/com/netflix/hystrix/contrib/sample/stream/HystrixConfigSseServletTest.java","call function: 126:14-126:42","call in function: testConfigDataWithInfiniteOnNextStream@116-175","callee=javax.servlet.ServletRequest.getParameter","basic block: 126:14-126:42"
"Path: /home/sixsquare/codeQL/projects/Hystrix/hystrix-contrib/hystrix-metrics-event-stream/src/test/java/com/netflix/hystrix/contrib/sample/stream/HystrixConfigSseServletTest.java","call function: 188:14-188:42","call in function: testConfigDataWithStreamOnError@178-228","callee=javax.servlet.ServletRequest.getParameter","basic block: 188:14-188:42"
"Path: /home/sixsquare/codeQL/projects/Hystrix/hystrix-contrib/hystrix-metrics-event-stream/src/test/java/com/netflix/hystrix/contrib/sample/stream/HystrixConfigSseServletTest.java","call function: 241:14-241:42","call in function: testConfigDataWithStreamOnCompleted@231-281","callee=javax.servlet.ServletRequest.getParameter","basic block: 241:14-241:42"
"Path: /home/sixsquare/codeQL/projects/Hystrix/hystrix-contrib/hystrix-metrics-event-stream/src/test/java/com/netflix/hystrix/contrib/sample/stream/HystrixSampleSseServletTest.java","call function: 142:27-142:83","call in function: testNoConcurrentResponseWrites@73-145","callee=java.util.regex.Pattern.compile","basic block: 142:27-142:83"
"Path: /home/sixsquare/codeQL/projects/Hystrix/hystrix-contrib/hystrix-metrics-event-stream/src/test/java/com/netflix/hystrix/contrib/sample/stream/HystrixSampleSseServletTest.java","call function: 143:34-143:63","call in function: testNoConcurrentResponseWrites@73-145","callee=java.util.regex.Matcher.find","basic block: 143:34-143:63"
"Path: /home/sixsquare/codeQL/projects/Hystrix/hystrix-contrib/hystrix-metrics-event-stream/src/test/java/com/netflix/hystrix/contrib/sample/stream/HystrixSampleSseServletTest.java","call function: 143:34-143:56","call in function: testNoConcurrentResponseWrites@73-145","callee=java.util.regex.Pattern.matcher","basic block: 143:34-143:56"
"Path: /home/sixsquare/codeQL/projects/Hystrix/hystrix-contrib/hystrix-metrics-event-stream/src/test/java/com/netflix/hystrix/contrib/sample/stream/HystrixSampleSseServletTest.java","call function: 100:14-100:42","call in function: testNoConcurrentResponseWrites@73-145","callee=javax.servlet.ServletRequest.getParameter","basic block: 100:14-100:42"
"Path: /home/sixsquare/codeQL/projects/Hystrix/hystrix-contrib/hystrix-request-servlet/src/main/java/com/netflix/hystrix/contrib/requestservlet/HystrixRequestLogViaLoggerServletFilter.java","call function: 71:26-71:71","call in function: doFilter@67-90","callee=javax.servlet.http.HttpServletRequest.getRequestURI","basic block: 71:26-71:71"
"Path: /home/sixsquare/codeQL/projects/Hystrix/hystrix-contrib/hystrix-request-servlet/src/main/java/com/netflix/hystrix/contrib/requestservlet/HystrixRequestLogViaLoggerServletFilter.java","call function: 72:34-72:80","call in function: doFilter@67-90","callee=javax.servlet.http.HttpServletRequest.getQueryString","basic block: 72:34-72:80"
"Path: /home/sixsquare/codeQL/projects/Hystrix/hystrix-core/src/test/java/com/netflix/hystrix/HystrixRequestLogTest.java","call function: 38:15-38:47","call in function: testSuccess@34-40","callee=java.lang.String.replaceAll","basic block: 38:15-38:47"
"Path: /home/sixsquare/codeQL/projects/Hystrix/hystrix-core/src/test/java/com/netflix/hystrix/HystrixRequestLogTest.java","call function: 53:15-53:47","call in function: testSuccessFromCache@43-55","callee=java.lang.String.replaceAll","basic block: 53:15-53:47"
"Path: /home/sixsquare/codeQL/projects/Hystrix/hystrix-core/src/test/java/com/netflix/hystrix/HystrixRequestLogTest.java","call function: 68:15-68:47","call in function: testFailWithFallbackSuccess@58-70","callee=java.lang.String.replaceAll","basic block: 68:15-68:47"
"Path: /home/sixsquare/codeQL/projects/Hystrix/hystrix-core/src/test/java/com/netflix/hystrix/HystrixRequestLogTest.java","call function: 86:15-86:47","call in function: testFailWithFallbackFailure@73-88","callee=java.lang.String.replaceAll","basic block: 86:15-86:47"
