"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/JCSprout/src/main/java/com/crossoverjie/actual/FourThreadPrinter.java","call function: 65:13-65:57","call in function: updateCondition@63-75","callee=java.lang.String.equals","basic block: 65:13-65:57"
"Path: /home/sixsquare/codeQL/projects/JCSprout/src/main/java/com/crossoverjie/actual/FourThreadPrinter.java","call function: 67:20-67:64","call in function: updateCondition@63-75","callee=java.lang.String.equals","basic block: 67:20-67:64"
"Path: /home/sixsquare/codeQL/projects/JCSprout/src/main/java/com/crossoverjie/actual/FourThreadPrinter.java","call function: 69:20-69:64","call in function: updateCondition@63-75","callee=java.lang.String.equals","basic block: 69:20-69:64"
"Path: /home/sixsquare/codeQL/projects/JCSprout/src/main/java/com/crossoverjie/actual/FourThreadPrinter.java","call function: 71:20-71:64","call in function: updateCondition@63-75","callee=java.lang.String.equals","basic block: 71:20-71:64"
"Path: /home/sixsquare/codeQL/projects/JCSprout/src/main/java/com/crossoverjie/spring/processor/SpringLifeCycleProcessor.java","call function: 30:13-30:45","call in function: postProcessBeforeInitialization@29-34","callee=java.lang.String.equals","basic block: 30:13-30:45"
"Path: /home/sixsquare/codeQL/projects/JCSprout/src/main/java/com/crossoverjie/spring/processor/SpringLifeCycleProcessor.java","call function: 45:13-45:45","call in function: postProcessAfterInitialization@44-49","callee=java.lang.String.equals","basic block: 45:13-45:45"
"Path: /home/sixsquare/codeQL/projects/JCSprout/src/main/java/com/crossoverjie/actual/LRUAbstractMap.java","call function: 166:39-166:64","call in function: get@154-188","callee=java.lang.System.currentTimeMillis","basic block: 166:39-166:64"
"Path: /home/sixsquare/codeQL/projects/JCSprout/src/main/java/com/crossoverjie/actual/LRUAbstractMap.java","call function: 179:43-179:68","call in function: get@154-188","callee=java.lang.System.currentTimeMillis","basic block: 179:43-179:68"
"Path: /home/sixsquare/codeQL/projects/JCSprout/src/main/java/com/crossoverjie/actual/LRUAbstractMap.java","call function: 291:31-291:56","call in function: Node@286-292","callee=java.lang.System.currentTimeMillis","basic block: 291:31-291:56"
"Path: /home/sixsquare/codeQL/projects/JCSprout/src/main/java/com/crossoverjie/actual/LRUAbstractMap.java","call function: 339:39-339:64","call in function: run@330-346","callee=java.lang.System.currentTimeMillis","basic block: 339:39-339:64"
"Path: /home/sixsquare/codeQL/projects/JCSprout/src/main/java/com/crossoverjie/concurrent/Volatile.java","call function: 33:16-33:32","call in function: main@23-48","callee=java.lang.String.equals","basic block: 33:16-33:32"
"Path: /home/sixsquare/codeQL/projects/JCSprout/src/main/java/com/crossoverjie/actual/Search.java","call function: 143:33-143:57","call in function: search@141-180","callee=java.lang.String.equals","basic block: 143:33-143:57"
"Path: /home/sixsquare/codeQL/projects/JCSprout/src/main/java/com/crossoverjie/actual/ThreadCommunication.java","call function: 85:22-85:47","call in function: countDownLatch@83-104","callee=java.lang.System.currentTimeMillis","basic block: 85:22-85:47"
"Path: /home/sixsquare/codeQL/projects/JCSprout/src/main/java/com/crossoverjie/actual/ThreadCommunication.java","call function: 102:21-102:46","call in function: countDownLatch@83-104","callee=java.lang.System.currentTimeMillis","basic block: 102:21-102:46"
"Path: /home/sixsquare/codeQL/projects/JCSprout/src/main/java/com/crossoverjie/actual/ReadFile.java","call function: 62:28-62:50","call in function: sortAndFindKeyWords@56-82","callee=java.lang.String.contains","basic block: 62:28-62:50"
