"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/bitmanipulation/TwosComplement.java","call function: 35:14-35:36","call in function: twosComplement@34-61","callee=java.lang.String.matches","basic block: 35:14-35:36"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/ciphers/ADFGVXCipher.java","call function: 59:21-59:71","call in function: encrypt@58-67","callee=java.lang.String.replaceAll","basic block: 59:21-59:71"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/ciphers/AES.java","call function: 2740:30-2740:51","call in function: main@2739-2780","callee=java.util.Scanner.<init>","basic block: 2740:30-2740:51"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/ciphers/AES.java","call function: 2742:27-2742:42","call in function: main@2739-2780","callee=java.util.Scanner.nextLine","basic block: 2742:27-2742:42"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/ciphers/AES.java","call function: 2749:26-2749:41","call in function: main@2739-2780","callee=java.util.Scanner.nextLine","basic block: 2749:26-2749:41"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/ciphers/AES.java","call function: 2754:26-2754:41","call in function: main@2739-2780","callee=java.util.Scanner.nextLine","basic block: 2754:26-2754:41"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/ciphers/AES.java","call function: 2765:26-2765:41","call in function: main@2739-2780","callee=java.util.Scanner.nextLine","basic block: 2765:26-2765:41"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/ciphers/AES.java","call function: 2770:26-2770:41","call in function: main@2739-2780","callee=java.util.Scanner.nextLine","basic block: 2770:26-2770:41"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/ciphers/Autokey.java","call function: 16:21-16:68","call in function: encrypt@15-33","callee=java.lang.String.replaceAll","basic block: 16:21-16:68"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/ciphers/Autokey.java","call function: 37:22-37:70","call in function: decrypt@36-54","callee=java.lang.String.replaceAll","basic block: 37:22-37:70"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/ciphers/BaconianCipher.java","call function: 42:21-42:68","call in function: encrypt@40-49","callee=java.lang.String.replaceAll","basic block: 42:21-42:68"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/ciphers/ColumnarTranspositionCipher.java","call function: 83:16-83:72","call in function: decrypt@76-84","callee=java.lang.String.replaceAll","basic block: 83:16-83:72"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/ciphers/HillCipher.java","call function: 7:19-7:64","call in function: encrypt@6-36","callee=java.lang.String.replaceAll","basic block: 7:19-7:64"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/ciphers/HillCipher.java","call function: 40:19-40:64","call in function: decrypt@39-69","callee=java.lang.String.replaceAll","basic block: 40:19-40:64"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/ciphers/MonoAlphabetic.java","call function: 11:14-11:35","call in function: encrypt@10-22","callee=java.lang.String.matches","basic block: 11:14-11:35"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/ciphers/PermutationCipher.java","call function: 37:28-37:59","call in function: encrypt@29-51","callee=java.lang.String.replaceAll","basic block: 37:28-37:59"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/ciphers/PlayfairCipher.java","call function: 87:16-87:58","call in function: prepareText@86-103","callee=java.lang.String.replaceAll","basic block: 87:16-87:58"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/ciphers/ProductCipher.java","call function: 10:27-10:48","call in function: main@9-72","callee=java.util.Scanner.<init>","basic block: 10:27-10:48"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/ciphers/ProductCipher.java","call function: 12:40-12:52","call in function: main@9-72","callee=java.util.Scanner.nextLine","basic block: 12:40-12:52"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/conversions/AnyBaseToAnyBase.java","call function: 28:22-28:43","call in function: main@27-60","callee=java.util.Scanner.<init>","basic block: 28:22-28:43"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/conversions/AnyBaseToAnyBase.java","call function: 35:21-35:29","call in function: main@27-60","callee=java.util.Scanner.next","basic block: 35:21-35:29"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/conversions/AnyBaseToAnyBase.java","call function: 55:17-55:25","call in function: main@27-60","callee=java.util.Scanner.next","basic block: 55:17-55:25"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/conversions/BinaryToOctal.java","call function: 23:14-23:52","call in function: convertBinaryToOctal@18-44","callee=java.lang.String.matches","basic block: 23:14-23:52"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/conversions/IPConverter.java","call function: 24:29-24:43","call in function: ipToBinary@22-28","callee=java.lang.String.split","basic block: 24:29-24:43"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/conversions/IPConverter.java","call function: 53:29-53:47","call in function: binaryToIP@51-57","callee=java.lang.String.split","basic block: 53:29-53:47"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/conversions/IntegerToEnglish.java","call function: 66:30-66:93","call in function: convertToWords@42-70","callee=java.lang.String.format","basic block: 66:30-66:93"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/conversions/MorseCodeConverter.java","call function: 66:26-66:54","call in function: textToMorse@64-76","callee=java.lang.String.split","basic block: 66:26-66:54"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/conversions/MorseCodeConverter.java","call function: 87:26-87:45","call in function: morseToText@85-97","callee=java.lang.String.split","basic block: 87:26-87:45"
"Path: /home/sixsquare/codeQL/projects/Java/src/main/java/com/thealgorithms/conversions/MorseCodeConverter.java","call function: 89:32-89:50","call in function: morseToText@85-97","callee=java.lang.String.split","basic block: 89:32-89:50"
