"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 70:31-70:52","call in function: main@65-202","callee=java.util.Scanner.<init>","basic block: 70:31-70:52"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 77:29-77:67","call in function: main@65-202","callee=java.nio.file.Path.toAbsolutePath","basic block: 77:29-77:67"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 77:29-77:50","call in function: main@65-202","callee=java.nio.file.Paths.get","basic block: 77:29-77:50"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 78:18-78:39","call in function: main@65-202","callee=java.nio.file.Files.exists","basic block: 78:18-78:39"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 110:21-110:44","call in function: main@65-202","callee=java.nio.file.Files.exists","basic block: 110:21-110:44"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 111:68-111:92","call in function: main@65-202","callee=java.nio.file.Path.relativize","basic block: 111:68-111:92"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 113:71-113:95","call in function: main@65-202","callee=java.nio.file.Path.relativize","basic block: 113:71-113:95"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 148:37-148:66","call in function: main@65-202","callee=java.nio.file.Path.relativize","basic block: 148:37-148:66"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 152:45-152:75","call in function: main@65-202","callee=java.nio.file.Path.relativize","basic block: 152:45-152:75"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 235:23-235:51","call in function: findMarkdownFiles@231-250","callee=java.nio.file.Path.resolve","basic block: 235:23-235:51"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 241:25-241:48","call in function: findMarkdownFiles@231-250","callee=java.nio.file.Path.resolve","basic block: 241:25-241:48"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 236:13-236:32","call in function: findMarkdownFiles@231-250","callee=java.nio.file.Files.exists","basic block: 236:13-236:32"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 242:13-242:34","call in function: findMarkdownFiles@231-250","callee=java.nio.file.Files.exists","basic block: 242:13-242:34"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 243:13-243:32","call in function: findMarkdownFiles@231-250","callee=java.nio.file.Files.walk","basic block: 243:13-243:32"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 261:25-261:48","call in function: getOutputPath@252-269","callee=java.nio.file.Path.resolve","basic block: 261:25-261:48"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 262:25-262:54","call in function: getOutputPath@252-269","callee=java.nio.file.Path.relativize","basic block: 262:25-262:54"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 257:20-257:67","call in function: getOutputPath@252-269","callee=java.nio.file.Path.resolve","basic block: 257:20-257:67"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 268:16-268:100","call in function: getOutputPath@252-269","callee=java.nio.file.Path.resolve","basic block: 268:16-268:100"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 268:16-268:83","call in function: getOutputPath@252-269","callee=java.nio.file.Path.resolve","basic block: 268:16-268:83"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 268:16-268:53","call in function: getOutputPath@252-269","callee=java.nio.file.Path.resolve","basic block: 268:16-268:53"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 273:26-273:76","call in function: translateFile@271-304","callee=java.nio.file.Files.readString","basic block: 273:26-273:76"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 298:9-298:55","call in function: translateFile@271-304","callee=java.nio.file.Files.createDirectories","basic block: 298:9-298:55"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 301:9-301:80","call in function: translateFile@271-304","callee=java.nio.file.Files.writeString","basic block: 301:9-301:80"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 363:29-363:59","call in function: loadProgress@362-374","callee=java.nio.file.Path.resolve","basic block: 363:29-363:59"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 364:13-364:38","call in function: loadProgress@362-374","callee=java.nio.file.Files.exists","basic block: 364:13-364:38"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 366:31-366:60","call in function: loadProgress@362-374","callee=java.nio.file.Files.readString","basic block: 366:31-366:60"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 377:29-377:59","call in function: saveProgress@376-385","callee=java.nio.file.Path.resolve","basic block: 377:29-377:59"
"Path: /home/sixsquare/codeQL/projects/JavaGuide/TranslateRepo.java","call function: 381:13-381:49","call in function: saveProgress@376-385","callee=java.nio.file.Files.writeString","basic block: 381:13-381:49"
