"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/JeecgBoot/jeecg-boot/jeecg-boot-base-core/src/main/java/org/jeecg/common/aspect/PermissionDataAspect.java","call function: 58:30-58:52","call in function: arround@51-81","callee=jakarta.servlet.http.HttpServletRequest.getRequestURI","basic block: 58:30-58:52"
"Path: /home/sixsquare/codeQL/projects/JeecgBoot/jeecg-boot/jeecg-boot-base-core/src/main/java/org/jeecg/common/aspect/PermissionDataAspect.java","call function: 105:30-105:53","call in function: getJgAuthRequsetPath@104-124","callee=jakarta.servlet.http.HttpServletRequest.getQueryString","basic block: 105:30-105:53"
"Path: /home/sixsquare/codeQL/projects/JeecgBoot/jeecg-boot/jeecg-boot-base-core/src/main/java/org/jeecg/common/aspect/PermissionDataAspect.java","call function: 106:30-106:52","call in function: getJgAuthRequsetPath@104-124","callee=jakarta.servlet.http.HttpServletRequest.getRequestURI","basic block: 106:30-106:52"
"Path: /home/sixsquare/codeQL/projects/JeecgBoot/jeecg-boot/jeecg-boot-base-core/src/main/java/org/jeecg/common/exception/JeecgBootExceptionHandler.java","call function: 253:31-253:53","call in function: addSysLog@232-274","callee=jakarta.servlet.http.HttpServletRequest.getRequestURI","basic block: 253:31-253:53"
"Path: /home/sixsquare/codeQL/projects/JeecgBoot/jeecg-boot/jeecg-boot-base-core/src/main/java/org/jeecg/common/system/util/JwtUtil.java","call function: 62:4-62:27","call in function: responseError@56-73","callee=jakarta.servlet.http.HttpServletResponse.setStatus","basic block: 62:4-62:27"
"Path: /home/sixsquare/codeQL/projects/JeecgBoot/jeecg-boot/jeecg-boot-base-core/src/main/java/org/jeecg/common/system/util/JwtUtil.java","call function: 63:4-63:64","call in function: responseError@56-73","callee=jakarta.servlet.http.HttpServletResponse.setHeader","basic block: 63:4-63:64"
"Path: /home/sixsquare/codeQL/projects/JeecgBoot/jeecg-boot/jeecg-boot-base-core/src/main/java/org/jeecg/common/system/util/JwtUtil.java","call function: 198:24-198:58","call in function: getUserNameByToken@197-204","callee=jakarta.servlet.http.HttpServletRequest.getHeader","basic block: 198:24-198:58"
"Path: /home/sixsquare/codeQL/projects/JeecgBoot/jeecg-boot/jeecg-boot-base-core/src/main/java/org/jeecg/common/system/util/JwtUtil.java","call function: 380:19-380:96","call in function: getUserSystemData@239-387","callee=jakarta.servlet.http.HttpServletRequest.getHeader","basic block: 380:19-380:96"
"Path: /home/sixsquare/codeQL/projects/JeecgBoot/jeecg-boot/jeecg-boot-base-core/src/main/java/org/jeecg/common/util/BrowserUtils.java","call function: 23:11-23:41","call in function: isIe@22-26","callee=jakarta.servlet.http.HttpServletRequest.getHeader","basic block: 23:11-23:41"
"Path: /home/sixsquare/codeQL/projects/JeecgBoot/jeecg-boot/jeecg-boot-base-core/src/main/java/org/jeecg/common/util/BrowserUtils.java","call function: 23:80-24:28","call in function: isIe@22-26","callee=jakarta.servlet.http.HttpServletRequest.getHeader","basic block: 23:80-24:28"
