"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/JustAuth/src/main/java/me/zhyd/oauth/utils/RandomUtil.java","call function: 33:26-33:72","call in function: randomString@25-37","callee=java.util.concurrent.ThreadLocalRandom.nextInt","basic block: 33:26-33:72"
"Path: /home/sixsquare/codeQL/projects/JustAuth/src/main/java/me/zhyd/oauth/utils/RandomUtil.java","call function: 33:26-33:52","call in function: randomString@25-37","callee=java.util.concurrent.ThreadLocalRandom.current","basic block: 33:26-33:52"
"Path: /home/sixsquare/codeQL/projects/JustAuth/src/main/java/me/zhyd/oauth/utils/GlobalAuthUtils.java","call function: 51:23-51:48","call in function: sign@49-59","callee=javax.crypto.Mac.getInstance","basic block: 51:23-51:48"
"Path: /home/sixsquare/codeQL/projects/JustAuth/src/main/java/me/zhyd/oauth/utils/GlobalAuthUtils.java","call function: 52:13-52:55","call in function: sign@49-59","callee=javax.crypto.Mac.init","basic block: 52:13-52:55"
"Path: /home/sixsquare/codeQL/projects/JustAuth/src/main/java/me/zhyd/oauth/utils/GlobalAuthUtils.java","call function: 52:22-52:54","call in function: sign@49-59","callee=javax.crypto.spec.SecretKeySpec.<init>","basic block: 52:22-52:54"
"Path: /home/sixsquare/codeQL/projects/JustAuth/src/main/java/me/zhyd/oauth/utils/GlobalAuthUtils.java","call function: 53:20-53:36","call in function: sign@49-59","callee=javax.crypto.Mac.doFinal","basic block: 53:20-53:36"
"Path: /home/sixsquare/codeQL/projects/JustAuth/src/main/java/me/zhyd/oauth/utils/GlobalAuthUtils.java","call function: 200:22-200:33","call in function: generateNonce@198-207","callee=java.util.Random.<init>","basic block: 200:22-200:33"
"Path: /home/sixsquare/codeQL/projects/JustAuth/src/main/java/me/zhyd/oauth/utils/GlobalAuthUtils.java","call function: 203:25-203:39","call in function: generateNonce@198-207","callee=java.util.Random.nextInt","basic block: 203:25-203:39"
"Path: /home/sixsquare/codeQL/projects/JustAuth/src/main/java/me/zhyd/oauth/utils/GlobalAuthUtils.java","call function: 258:31-258:42","call in function: generateXmlySignature@248-265","callee=java.security.MessageDigest.digest","basic block: 258:31-258:42"
"Path: /home/sixsquare/codeQL/projects/JustAuth/src/main/java/me/zhyd/oauth/utils/GlobalAuthUtils.java","call function: 256:19-256:50","call in function: generateXmlySignature@248-265","callee=java.security.MessageDigest.getInstance","basic block: 256:19-256:50"
"Path: /home/sixsquare/codeQL/projects/JustAuth/src/main/java/me/zhyd/oauth/utils/GlobalAuthUtils.java","call function: 257:13-257:28","call in function: generateXmlySignature@248-265","callee=java.security.MessageDigest.update","basic block: 257:13-257:28"
"Path: /home/sixsquare/codeQL/projects/JustAuth/src/main/java/me/zhyd/oauth/utils/GlobalAuthUtils.java","call function: 307:31-307:41","call in function: md5@301-316","callee=java.security.MessageDigest.digest","basic block: 307:31-307:41"
"Path: /home/sixsquare/codeQL/projects/JustAuth/src/main/java/me/zhyd/oauth/utils/GlobalAuthUtils.java","call function: 305:18-305:49","call in function: md5@301-316","callee=java.security.MessageDigest.getInstance","basic block: 305:18-305:49"
"Path: /home/sixsquare/codeQL/projects/JustAuth/src/main/java/me/zhyd/oauth/utils/GlobalAuthUtils.java","call function: 306:13-306:59","call in function: md5@301-316","callee=java.security.MessageDigest.update","basic block: 306:13-306:59"
"Path: /home/sixsquare/codeQL/projects/JustAuth/src/main/java/me/zhyd/oauth/utils/UuidUtils.java","call function: 41:36-41:62","call in function: getUUID@40-51","callee=java.util.concurrent.ThreadLocalRandom.current","basic block: 41:36-41:62"
"Path: /home/sixsquare/codeQL/projects/JustAuth/src/main/java/me/zhyd/oauth/utils/UuidUtils.java","call function: 42:20-42:36","call in function: getUUID@40-51","callee=java.util.concurrent.ThreadLocalRandom.nextLong","basic block: 42:20-42:36"
"Path: /home/sixsquare/codeQL/projects/JustAuth/src/main/java/me/zhyd/oauth/utils/UuidUtils.java","call function: 43:20-43:36","call in function: getUUID@40-51","callee=java.util.concurrent.ThreadLocalRandom.nextLong","basic block: 43:20-43:36"
"Path: /home/sixsquare/codeQL/projects/JustAuth/src/main/java/me/zhyd/oauth/utils/Sha256.java","call function: 19:29-19:64","call in function: digest@16-26","callee=java.security.MessageDigest.getInstance","basic block: 19:29-19:64"
"Path: /home/sixsquare/codeQL/projects/JustAuth/src/main/java/me/zhyd/oauth/utils/Sha256.java","call function: 20:13-20:70","call in function: digest@16-26","callee=java.security.MessageDigest.update","basic block: 20:13-20:70"
"Path: /home/sixsquare/codeQL/projects/JustAuth/src/main/java/me/zhyd/oauth/utils/Sha256.java","call function: 21:20-21:41","call in function: digest@16-26","callee=java.security.MessageDigest.digest","basic block: 21:20-21:41"
