"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/LSPosed/app/src/main/java/org/lsposed/manager/repo/RepoLoader.java","call function: 251:65-251:118","call in function: loadRemoteReleases@250-292","callee=java.lang.String.format","basic block: 251:65-251:118"
"Path: /home/sixsquare/codeQL/projects/LSPosed/app/src/main/java/org/lsposed/manager/ui/fragment/AppListFragment.java","call function: 84:21-84:115","call in function: onCreateView@76-123","callee=java.lang.String.format","basic block: 84:21-84:115"
"Path: /home/sixsquare/codeQL/projects/LSPosed/app/src/main/java/org/lsposed/manager/ui/fragment/HomeFragment.java","call function: 303:48-303:158","call in function: onCreateDialog@294-306","callee=java.lang.String.format","basic block: 303:48-303:158"
"Path: /home/sixsquare/codeQL/projects/LSPosed/app/src/main/java/org/lsposed/manager/ui/fragment/LogsFragment.java","call function: 170:27-170:108","call in function: save@168-176","callee=java.lang.String.format","basic block: 170:27-170:108"
"Path: /home/sixsquare/codeQL/projects/LSPosed/app/src/main/java/org/lsposed/manager/ui/fragment/ModulesFragment.java","call function: 532:27-532:117","call in function: onBindViewHolder@528-651","callee=java.lang.String.format","basic block: 532:27-532:117"
"Path: /home/sixsquare/codeQL/projects/LSPosed/app/src/main/java/org/lsposed/manager/ui/fragment/RepoFragment.java","call function: 310:42-310:127","call in function: onBindViewHolder@300-353","callee=java.lang.String.format","basic block: 310:42-310:127"
"Path: /home/sixsquare/codeQL/projects/LSPosed/app/src/main/java/org/lsposed/manager/ui/fragment/RepoItemFragment.java","call function: 314:87-314:149","call in function: onBindViewHolder@298-339","callee=java.lang.String.format","basic block: 314:87-314:149"
"Path: /home/sixsquare/codeQL/projects/LSPosed/app/src/main/java/org/lsposed/manager/ui/fragment/RepoItemFragment.java","call function: 457:46-457:133","call in function: onBindViewHolder@440-467","callee=java.lang.String.format","basic block: 457:46-457:133"
"Path: /home/sixsquare/codeQL/projects/LSPosed/app/src/main/java/org/lsposed/manager/ui/fragment/SettingsFragment.java","call function: 83:41-83:204","call in function: onCreateView@74-88","callee=java.lang.String.format","basic block: 83:41-83:204"
"Path: /home/sixsquare/codeQL/projects/LSPosed/app/src/main/java/org/lsposed/manager/ui/fragment/SettingsFragment.java","call function: 85:41-85:191","call in function: onCreateView@74-88","callee=java.lang.String.format","basic block: 85:41-85:191"
"Path: /home/sixsquare/codeQL/projects/LSPosed/app/src/main/java/org/lsposed/manager/util/BackupUtils.java","call function: 87:17-87:33","call in function: restore@82-122","callee=java.lang.StringBuilder.append","basic block: 87:17-87:33"
"Path: /home/sixsquare/codeQL/projects/LSPosed/core/src/main/java/de/robv/android/xposed/XposedHelpers.java","call function: 655:17-655:30","call in function: getParametersString@648-664","callee=java.lang.StringBuilder.append","basic block: 655:17-655:30"
"Path: /home/sixsquare/codeQL/projects/LSPosed/core/src/main/java/de/robv/android/xposed/XposedHelpers.java","call function: 658:17-658:51","call in function: getParametersString@648-664","callee=java.lang.StringBuilder.append","basic block: 658:17-658:51"
"Path: /home/sixsquare/codeQL/projects/LSPosed/core/src/main/java/de/robv/android/xposed/XposedHelpers.java","call function: 660:17-660:33","call in function: getParametersString@648-664","callee=java.lang.StringBuilder.append","basic block: 660:17-660:33"
"Path: /home/sixsquare/codeQL/projects/LSPosed/core/src/main/java/de/robv/android/xposed/XposedHelpers.java","call function: 662:9-662:22","call in function: getParametersString@648-664","callee=java.lang.StringBuilder.append","basic block: 662:9-662:22"
"Path: /home/sixsquare/codeQL/projects/LSPosed/core/src/main/java/de/robv/android/xposed/XposedInit.java","call function: 309:13-309:82","call in function: loadModule@303-329","callee=java.lang.StringBuilder.append","basic block: 309:13-309:82"
"Path: /home/sixsquare/codeQL/projects/LSPosed/core/src/main/java/de/robv/android/xposed/XposedInit.java","call function: 309:13-309:55","call in function: loadModule@303-329","callee=java.lang.StringBuilder.append","basic block: 309:13-309:55"
"Path: /home/sixsquare/codeQL/projects/LSPosed/core/src/main/java/de/robv/android/xposed/XposedInit.java","call function: 309:13-309:43","call in function: loadModule@303-329","callee=java.lang.StringBuilder.append","basic block: 309:13-309:43"
"Path: /home/sixsquare/codeQL/projects/LSPosed/core/src/main/java/de/robv/android/xposed/XposedInit.java","call function: 309:13-309:26","call in function: loadModule@303-329","callee=java.lang.StringBuilder.append","basic block: 309:13-309:26"
"Path: /home/sixsquare/codeQL/projects/LSPosed/core/src/main/java/de/robv/android/xposed/services/FileResult.java","call function: 74:13-74:41","call in function: toString@71-89","callee=java.lang.StringBuilder.append","basic block: 74:13-74:41"
"Path: /home/sixsquare/codeQL/projects/LSPosed/core/src/main/java/de/robv/android/xposed/services/FileResult.java","call function: 75:13-75:37","call in function: toString@71-89","callee=java.lang.StringBuilder.append","basic block: 75:13-75:37"
"Path: /home/sixsquare/codeQL/projects/LSPosed/core/src/main/java/de/robv/android/xposed/services/FileResult.java","call function: 76:13-76:27","call in function: toString@71-89","callee=java.lang.StringBuilder.append","basic block: 76:13-76:27"
"Path: /home/sixsquare/codeQL/projects/LSPosed/core/src/main/java/de/robv/android/xposed/services/FileResult.java","call function: 79:13-79:33","call in function: toString@71-89","callee=java.lang.StringBuilder.append","basic block: 79:13-79:33"
"Path: /home/sixsquare/codeQL/projects/LSPosed/core/src/main/java/de/robv/android/xposed/services/FileResult.java","call function: 80:13-80:40","call in function: toString@71-89","callee=java.lang.StringBuilder.append","basic block: 80:13-80:40"
"Path: /home/sixsquare/codeQL/projects/LSPosed/core/src/main/java/de/robv/android/xposed/services/FileResult.java","call function: 81:13-81:27","call in function: toString@71-89","callee=java.lang.StringBuilder.append","basic block: 81:13-81:27"
"Path: /home/sixsquare/codeQL/projects/LSPosed/core/src/main/java/de/robv/android/xposed/services/FileResult.java","call function: 83:9-83:27","call in function: toString@71-89","callee=java.lang.StringBuilder.append","basic block: 83:9-83:27"
"Path: /home/sixsquare/codeQL/projects/LSPosed/core/src/main/java/de/robv/android/xposed/services/FileResult.java","call function: 84:9-84:23","call in function: toString@71-89","callee=java.lang.StringBuilder.append","basic block: 84:9-84:23"
"Path: /home/sixsquare/codeQL/projects/LSPosed/core/src/main/java/de/robv/android/xposed/services/FileResult.java","call function: 85:9-85:30","call in function: toString@71-89","callee=java.lang.StringBuilder.append","basic block: 85:9-85:30"
"Path: /home/sixsquare/codeQL/projects/LSPosed/core/src/main/java/de/robv/android/xposed/services/FileResult.java","call function: 86:9-86:24","call in function: toString@71-89","callee=java.lang.StringBuilder.append","basic block: 86:9-86:24"
"Path: /home/sixsquare/codeQL/projects/LSPosed/core/src/main/java/de/robv/android/xposed/services/FileResult.java","call function: 87:9-87:22","call in function: toString@71-89","callee=java.lang.StringBuilder.append","basic block: 87:9-87:22"
"Path: /home/sixsquare/codeQL/projects/LSPosed/core/src/main/java/org/lsposed/lspd/util/Hookers.java","call function: 28:20-29:48","call in function: logD@27-30","callee=java.lang.String.format","basic block: 28:20-29:48"
"Path: /home/sixsquare/codeQL/projects/LSPosed/core/src/main/java/org/lsposed/lspd/util/Hookers.java","call function: 33:20-34:48","call in function: logE@32-35","callee=java.lang.String.format","basic block: 33:20-34:48"
"Path: /home/sixsquare/codeQL/projects/LSPosed/core/src/main/java/org/lsposed/lspd/util/LspModuleClassLoader.java","call function: 127:17-127:34","call in function: getLdLibraryPath@123-132","callee=java.lang.StringBuilder.append","basic block: 127:17-127:34"
"Path: /home/sixsquare/codeQL/projects/LSPosed/core/src/main/java/org/lsposed/lspd/util/LspModuleClassLoader.java","call function: 129:13-129:36","call in function: getLdLibraryPath@123-132","callee=java.lang.StringBuilder.append","basic block: 129:13-129:36"
"Path: /home/sixsquare/codeQL/projects/LSPosed/daemon/src/main/java/org/lsposed/lspd/service/ConfigFileManager.java","call function: 244:27-245:95","call in function: getLogs@242-283","callee=java.lang.String.format","basic block: 244:27-245:95"
"Path: /home/sixsquare/codeQL/projects/LSPosed/daemon/src/main/java/org/lsposed/lspd/service/ServiceManager.java","call function: 108:20-108:103","call in function: start@93-183","callee=java.lang.String.format","basic block: 108:20-108:103"
