"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/LineChartTime.java","call function: 125:50-125:75","call in function: setData@122-159","callee=java.lang.System.currentTimeMillis","basic block: 125:50-125:75"
"Path: /home/sixsquare/codeQL/projects/MPAndroidChart/MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/notimportant/DemoBase.java","call function: 90:46-90:71","call in function: saveToGallery@89-96","callee=java.lang.System.currentTimeMillis","basic block: 90:46-90:71"
"Path: /home/sixsquare/codeQL/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/charts/BarLineChartBase.java","call function: 195:26-195:51","call in function: onDraw@189-300","callee=java.lang.System.currentTimeMillis","basic block: 195:26-195:51"
"Path: /home/sixsquare/codeQL/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/charts/BarLineChartBase.java","call function: 293:30-293:55","call in function: onDraw@189-300","callee=java.lang.System.currentTimeMillis","basic block: 293:30-293:55"
"Path: /home/sixsquare/codeQL/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/charts/Chart.java","call function: 1589:28-1589:53","call in function: saveToGallery@1583-1651","callee=java.lang.System.currentTimeMillis","basic block: 1589:28-1589:53"
"Path: /home/sixsquare/codeQL/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/charts/Chart.java","call function: 1603:22-1603:46","call in function: saveToGallery@1583-1651","callee=java.lang.String.endsWith","basic block: 1603:22-1603:46"
"Path: /home/sixsquare/codeQL/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/charts/Chart.java","call function: 1608:22-1608:47","call in function: saveToGallery@1583-1651","callee=java.lang.String.endsWith","basic block: 1608:22-1608:47"
"Path: /home/sixsquare/codeQL/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/charts/Chart.java","call function: 1614:23-1614:47","call in function: saveToGallery@1583-1651","callee=java.lang.String.endsWith","basic block: 1614:23-1614:47"
"Path: /home/sixsquare/codeQL/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/charts/Chart.java","call function: 1614:52-1614:77","call in function: saveToGallery@1583-1651","callee=java.lang.String.endsWith","basic block: 1614:52-1614:77"
"Path: /home/sixsquare/codeQL/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/ChartData.java","call function: 304:21-304:70","call in function: getDataSetIndexByLabel@299-313","callee=java.lang.String.equalsIgnoreCase","basic block: 304:21-304:70"
"Path: /home/sixsquare/codeQL/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/ChartData.java","call function: 308:21-308:60","call in function: getDataSetIndexByLabel@299-313","callee=java.lang.String.equals","basic block: 308:21-308:60"
"Path: /home/sixsquare/codeQL/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/PieData.java","call function: 76:29-76:79","call in function: getDataSetByLabel@75-78","callee=java.lang.String.equalsIgnoreCase","basic block: 76:29-76:79"
"Path: /home/sixsquare/codeQL/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/PieData.java","call function: 77:26-77:66","call in function: getDataSetByLabel@75-78","callee=java.lang.String.equals","basic block: 77:26-77:66"
"Path: /home/sixsquare/codeQL/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/renderer/XAxisRenderer.java","call function: 365:31-365:46","call in function: renderLimitLineLabel@361-400","callee=java.lang.String.equals","basic block: 365:31-365:46"
"Path: /home/sixsquare/codeQL/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/renderer/XAxisRendererHorizontalBarChart.java","call function: 263:26-263:41","call in function: renderLimitLines@218-309","callee=java.lang.String.equals","basic block: 263:26-263:41"
"Path: /home/sixsquare/codeQL/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/renderer/YAxisRenderer.java","call function: 304:35-304:50","call in function: renderLimitLines@260-351","callee=java.lang.String.equals","basic block: 304:35-304:50"
"Path: /home/sixsquare/codeQL/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/renderer/YAxisRendererHorizontalBarChart.java","call function: 277:35-277:50","call in function: renderLimitLines@228-314","callee=java.lang.String.equals","basic block: 277:35-277:50"
