"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/Mindustry/ios/src/mindustry/ios/IOSLauncher.java","call function: 230:16-230:63","call in function: run@226-253","callee=java.lang.String.equalsIgnoreCase","basic block: 230:16-230:63"
"Path: /home/sixsquare/codeQL/projects/Mindustry/desktop/src/mindustry/desktop/DesktopLauncher.java","call function: 72:36-72:52","call in function: <obinit>@44-44","callee=java.lang.String.contains","basic block: 72:36-72:52"
"Path: /home/sixsquare/codeQL/projects/Mindustry/desktop/src/mindustry/desktop/DesktopLauncher.java","call function: 114:28-114:61","call in function: DesktopLauncher@110-162","callee=java.lang.String.contains","basic block: 114:28-114:61"
"Path: /home/sixsquare/codeQL/projects/Mindustry/desktop/src/mindustry/desktop/DesktopLauncher.java","call function: 168:72-168:88","call in function: logSteamError@164-174","callee=java.lang.System.nanoTime","basic block: 168:72-168:88"
"Path: /home/sixsquare/codeQL/projects/Mindustry/desktop/src/mindustry/desktop/DesktopLauncher.java","call function: 241:40-241:71","call in function: run@240-250","callee=java.lang.String.equals","basic block: 241:40-241:71"
"Path: /home/sixsquare/codeQL/projects/Mindustry/desktop/src/mindustry/desktop/DesktopLauncher.java","call function: 284:89-284:128","call in function: get@284-284","callee=java.lang.String.contains","basic block: 284:89-284:128"
"Path: /home/sixsquare/codeQL/projects/Mindustry/desktop/src/mindustry/desktop/DesktopLauncher.java","call function: 271:171-271:222","call in function: handleCrash@266-293","callee=java.lang.String.contains","basic block: 271:171-271:222"
"Path: /home/sixsquare/codeQL/projects/Mindustry/desktop/src/mindustry/desktop/DesktopLauncher.java","call function: 271:146-271:167","call in function: handleCrash@266-293","callee=java.lang.String.contains","basic block: 271:146-271:167"
"Path: /home/sixsquare/codeQL/projects/Mindustry/desktop/src/mindustry/desktop/DesktopLauncher.java","call function: 271:98-271:141","call in function: handleCrash@266-293","callee=java.lang.String.contains","basic block: 271:98-271:141"
"Path: /home/sixsquare/codeQL/projects/Mindustry/desktop/src/mindustry/desktop/DesktopLauncher.java","call function: 271:12-271:51","call in function: handleCrash@266-293","callee=java.lang.String.contains","basic block: 271:12-271:51"
"Path: /home/sixsquare/codeQL/projects/Mindustry/desktop/src/mindustry/desktop/DesktopLauncher.java","call function: 271:56-271:93","call in function: handleCrash@266-293","callee=java.lang.String.contains","basic block: 271:56-271:93"
"Path: /home/sixsquare/codeQL/projects/Mindustry/desktop/src/mindustry/desktop/DesktopLauncher.java","call function: 274:17-274:56","call in function: handleCrash@266-293","callee=java.lang.String.contains","basic block: 274:17-274:56"
"Path: /home/sixsquare/codeQL/projects/Mindustry/server/src/mindustry/server/ServerControl.java","call function: 236:68-236:95","call in function: get@236-236","callee=java.lang.String.startsWith","basic block: 236:68-236:95"
"Path: /home/sixsquare/codeQL/projects/Mindustry/server/src/mindustry/server/ServerControl.java","call function: 353:70-353:100","call in function: get@353-353","callee=java.lang.String.equalsIgnoreCase","basic block: 353:70-353:100"
"Path: /home/sixsquare/codeQL/projects/Mindustry/server/src/mindustry/server/ServerControl.java","call function: 407:49-407:145","call in function: get@407-407","callee=java.lang.String.equalsIgnoreCase","basic block: 407:49-407:145"
"Path: /home/sixsquare/codeQL/projects/Mindustry/server/src/mindustry/server/ServerControl.java","call function: 441:76-441:95","call in function: get@440-468","callee=java.lang.String.equals","basic block: 441:76-441:95"
"Path: /home/sixsquare/codeQL/projects/Mindustry/server/src/mindustry/server/ServerControl.java","call function: 441:49-441:71","call in function: get@440-468","callee=java.lang.String.equals","basic block: 441:49-441:71"
"Path: /home/sixsquare/codeQL/projects/Mindustry/server/src/mindustry/server/ServerControl.java","call function: 442:46-442:69","call in function: get@440-468","callee=java.lang.String.equals","basic block: 442:46-442:69"
"Path: /home/sixsquare/codeQL/projects/Mindustry/server/src/mindustry/server/ServerControl.java","call function: 442:74-442:93","call in function: get@440-468","callee=java.lang.String.equals","basic block: 442:74-442:93"
"Path: /home/sixsquare/codeQL/projects/Mindustry/server/src/mindustry/server/ServerControl.java","call function: 527:51-527:86","call in function: get@527-527","callee=java.lang.String.equalsIgnoreCase","basic block: 527:51-527:86"
