"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/NewPipe/app/src/main/java/org/schabi/newpipe/error/ErrorActivity.java","call function: 235:17-235:64","call in function: buildMarkdown@229-287","callee=java.lang.StringBuilder.append","basic block: 235:17-235:64"
"Path: /home/sixsquare/codeQL/projects/NewPipe/app/src/main/java/org/schabi/newpipe/error/ErrorActivity.java","call function: 235:17-235:51","call in function: buildMarkdown@229-287","callee=java.lang.StringBuilder.append","basic block: 235:17-235:51"
"Path: /home/sixsquare/codeQL/projects/NewPipe/app/src/main/java/org/schabi/newpipe/error/ErrorActivity.java","call function: 239:13-242:79","call in function: buildMarkdown@229-287","callee=java.lang.StringBuilder.append","basic block: 239:13-242:79"
"Path: /home/sixsquare/codeQL/projects/NewPipe/app/src/main/java/org/schabi/newpipe/error/ErrorActivity.java","call function: 239:13-241:52","call in function: buildMarkdown@229-287","callee=java.lang.StringBuilder.append","basic block: 239:13-241:52"
"Path: /home/sixsquare/codeQL/projects/NewPipe/app/src/main/java/org/schabi/newpipe/error/ErrorActivity.java","call function: 239:13-240:43","call in function: buildMarkdown@229-287","callee=java.lang.StringBuilder.append","basic block: 239:13-240:43"
"Path: /home/sixsquare/codeQL/projects/NewPipe/app/src/main/java/org/schabi/newpipe/error/ErrorActivity.java","call function: 258:17-260:66","call in function: buildMarkdown@229-287","callee=java.lang.StringBuilder.append","basic block: 258:17-260:66"
"Path: /home/sixsquare/codeQL/projects/NewPipe/app/src/main/java/org/schabi/newpipe/error/ErrorActivity.java","call function: 258:17-259:68","call in function: buildMarkdown@229-287","callee=java.lang.StringBuilder.append","basic block: 258:17-259:68"
"Path: /home/sixsquare/codeQL/projects/NewPipe/app/src/main/java/org/schabi/newpipe/error/ErrorActivity.java","call function: 266:17-266:73","call in function: buildMarkdown@229-287","callee=java.lang.StringBuilder.append","basic block: 266:17-266:73"
"Path: /home/sixsquare/codeQL/projects/NewPipe/app/src/main/java/org/schabi/newpipe/error/ErrorActivity.java","call function: 268:21-268:49","call in function: buildMarkdown@229-287","callee=java.lang.StringBuilder.append","basic block: 268:21-268:49"
"Path: /home/sixsquare/codeQL/projects/NewPipe/app/src/main/java/org/schabi/newpipe/error/ErrorActivity.java","call function: 270:17-272:80","call in function: buildMarkdown@229-287","callee=java.lang.StringBuilder.append","basic block: 270:17-272:80"
"Path: /home/sixsquare/codeQL/projects/NewPipe/app/src/main/java/org/schabi/newpipe/error/ErrorActivity.java","call function: 270:17-272:42","call in function: buildMarkdown@229-287","callee=java.lang.StringBuilder.append","basic block: 270:17-272:42"
"Path: /home/sixsquare/codeQL/projects/NewPipe/app/src/main/java/org/schabi/newpipe/error/ErrorActivity.java","call function: 270:17-271:50","call in function: buildMarkdown@229-287","callee=java.lang.StringBuilder.append","basic block: 270:17-271:50"
"Path: /home/sixsquare/codeQL/projects/NewPipe/app/src/main/java/org/schabi/newpipe/error/ErrorActivity.java","call function: 270:17-270:46","call in function: buildMarkdown@229-287","callee=java.lang.StringBuilder.append","basic block: 270:17-270:46"
"Path: /home/sixsquare/codeQL/projects/NewPipe/app/src/main/java/org/schabi/newpipe/error/ErrorActivity.java","call function: 278:17-278:58","call in function: buildMarkdown@229-287","callee=java.lang.StringBuilder.append","basic block: 278:17-278:58"
"Path: /home/sixsquare/codeQL/projects/NewPipe/app/src/main/java/org/schabi/newpipe/error/ErrorActivity.java","call function: 280:13-280:44","call in function: buildMarkdown@229-287","callee=java.lang.StringBuilder.append","basic block: 280:13-280:44"
"Path: /home/sixsquare/codeQL/projects/NewPipe/app/src/main/java/org/schabi/newpipe/fragments/detail/VideoDetailFragment.java","call function: 1651:13-1652:95","call in function: displayBothUploaderAndSubChannel@1644-1676","callee=java.lang.StringBuilder.append","basic block: 1651:13-1652:95"
"Path: /home/sixsquare/codeQL/projects/NewPipe/app/src/main/java/org/schabi/newpipe/fragments/detail/VideoDetailFragment.java","call function: 1652:21-1652:94","call in function: displayBothUploaderAndSubChannel@1644-1676","callee=java.lang.String.format","basic block: 1652:21-1652:94"
"Path: /home/sixsquare/codeQL/projects/NewPipe/app/src/main/java/org/schabi/newpipe/fragments/detail/VideoDetailFragment.java","call function: 1656:17-1656:58","call in function: displayBothUploaderAndSubChannel@1644-1676","callee=java.lang.StringBuilder.append","basic block: 1656:17-1656:58"
