"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java","call function: 111:17-111:120","call in function: getCause@104-171","callee=java.lang.StringBuilder.append","basic block: 111:17-111:120"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java","call function: 111:17-111:102","call in function: getCause@104-171","callee=java.lang.StringBuilder.append","basic block: 111:17-111:102"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java","call function: 111:17-111:90","call in function: getCause@104-171","callee=java.lang.StringBuilder.append","basic block: 111:17-111:90"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java","call function: 111:17-111:64","call in function: getCause@104-171","callee=java.lang.StringBuilder.append","basic block: 111:17-111:64"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java","call function: 117:29-117:57","call in function: getCause@104-171","callee=java.lang.StringBuilder.append","basic block: 117:29-117:57"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java","call function: 119:25-119:55","call in function: getCause@104-171","callee=java.lang.StringBuilder.append","basic block: 119:25-119:55"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java","call function: 120:25-120:97","call in function: getCause@104-171","callee=java.lang.StringBuilder.append","basic block: 120:25-120:97"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java","call function: 120:25-120:84","call in function: getCause@104-171","callee=java.lang.StringBuilder.append","basic block: 120:25-120:84"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java","call function: 123:29-123:62","call in function: getCause@104-171","callee=java.lang.StringBuilder.append","basic block: 123:29-123:62"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java","call function: 126:37-126:65","call in function: getCause@104-171","callee=java.lang.StringBuilder.append","basic block: 126:37-126:65"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java","call function: 128:33-128:79","call in function: getCause@104-171","callee=java.lang.StringBuilder.append","basic block: 128:33-128:79"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java","call function: 128:33-128:61","call in function: getCause@104-171","callee=java.lang.StringBuilder.append","basic block: 128:33-128:61"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java","call function: 131:29-131:65","call in function: getCause@104-171","callee=java.lang.StringBuilder.append","basic block: 131:29-131:65"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java","call function: 132:29-132:62","call in function: getCause@104-171","callee=java.lang.StringBuilder.append","basic block: 132:29-132:62"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java","call function: 136:29-136:57","call in function: getCause@104-171","callee=java.lang.StringBuilder.append","basic block: 136:29-136:57"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java","call function: 140:29-140:90","call in function: getCause@104-171","callee=java.lang.StringBuilder.append","basic block: 140:29-140:90"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java","call function: 140:29-140:72","call in function: getCause@104-171","callee=java.lang.StringBuilder.append","basic block: 140:29-140:72"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java","call function: 140:29-140:58","call in function: getCause@104-171","callee=java.lang.StringBuilder.append","basic block: 140:29-140:58"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java","call function: 152:37-152:65","call in function: getCause@104-171","callee=java.lang.StringBuilder.append","basic block: 152:37-152:65"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java","call function: 154:33-154:63","call in function: getCause@104-171","callee=java.lang.StringBuilder.append","basic block: 154:33-154:63"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java","call function: 155:33-155:86","call in function: getCause@104-171","callee=java.lang.StringBuilder.append","basic block: 155:33-155:86"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java","call function: 156:33-156:105","call in function: getCause@104-171","callee=java.lang.StringBuilder.append","basic block: 156:33-156:105"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java","call function: 156:33-156:92","call in function: getCause@104-171","callee=java.lang.StringBuilder.append","basic block: 156:33-156:92"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java","call function: 157:33-157:75","call in function: getCause@104-171","callee=java.lang.StringBuilder.append","basic block: 157:33-157:75"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/exceptions/CompositeException.java","call function: 158:33-158:66","call in function: getCause@104-171","callee=java.lang.StringBuilder.append","basic block: 158:33-158:66"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/completable/CompletableCreate.java","call function: 125:20-125:88","call in function: toString@124-126","callee=java.lang.String.format","basic block: 125:20-125:88"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/flowable/FlowableCreate.java","call function: 355:20-355:88","call in function: toString@354-356","callee=java.lang.String.format","basic block: 355:20-355:88"
"Path: /home/sixsquare/codeQL/projects/RxJava/src/main/java/io/reactivex/rxjava3/internal/operators/maybe/MaybeCreate.java","call function: 151:20-151:88","call in function: toString@150-152","callee=java.lang.String.format","basic block: 151:20-151:88"
