"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/util/ConfigUtil.java","call function: 115:67-115:82","call in function: loadPropertiesFromClasspathFile@94-124","callee=java.net.URL.openStream","basic block: 115:67-115:82"
"Path: /home/sixsquare/codeQL/projects/Sentinel/sentinel-core/src/main/java/com/alibaba/csp/sentinel/spi/SpiLoader.java","call function: 346:22-346:37","call in function: load@313-427","callee=java.net.URL.openStream","basic block: 346:22-346:37"
"Path: /home/sixsquare/codeQL/projects/Sentinel/sentinel-demo/sentinel-demo-apache-httpclient/src/main/java/com/alibaba/csp/sentinel/demo/apache/httpclient/controller/ApacheHttpClientTestController.java","call function: 103:20-103:55","call in function: getRemoteString@99-113","callee=org.apache.http.impl.client.CloseableHttpClient.execute","basic block: 103:20-103:55"
"Path: /home/sixsquare/codeQL/projects/Sentinel/sentinel-demo/sentinel-demo-spring-webmvc/src/main/java/com/alibaba/csp/sentinel/demo/spring/webmvc/config/InterceptorConfig.java","call function: 69:43-69:69","call in function: parseOrigin@69-69","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 69:43-69:69"
"Path: /home/sixsquare/codeQL/projects/Sentinel/sentinel-demo/sentinel-demo-okhttp/src/main/java/com/alibaba/csp/sentinel/demo/okhttp/controller/OkHttpTestController.java","call function: 73:27-74:92","call in function: getRemoteString@72-78","callee=okhttp3.Request$Builder.url","basic block: 73:27-74:92"
"Path: /home/sixsquare/codeQL/projects/Sentinel/sentinel-demo/sentinel-demo-okhttp/src/main/java/com/alibaba/csp/sentinel/demo/okhttp/controller/OkHttpTestController.java","call function: 76:29-76:61","call in function: getRemoteString@72-78","callee=okhttp3.Call.execute","basic block: 76:29-76:61"
"Path: /home/sixsquare/codeQL/projects/Sentinel/sentinel-demo/sentinel-demo-okhttp/src/main/java/com/alibaba/csp/sentinel/demo/okhttp/controller/OkHttpTestController.java","call function: 76:29-76:51","call in function: getRemoteString@72-78","callee=okhttp3.OkHttpClient.newCall","basic block: 76:29-76:51"
"Path: /home/sixsquare/codeQL/projects/Sentinel/sentinel-demo/sentinel-demo-jax-rs/src/main/java/com/alibaba/csp/sentinel/demo/jaxrs/JaxRsClientDemo.java","call function: 44:24-44:62","call in function: get@43-46","callee=javax.ws.rs.client.WebTarget.request","basic block: 44:24-44:62"
"Path: /home/sixsquare/codeQL/projects/Sentinel/sentinel-demo/sentinel-demo-jax-rs/src/main/java/com/alibaba/csp/sentinel/demo/jaxrs/JaxRsClientDemo.java","call function: 44:24-44:42","call in function: get@43-46","callee=javax.ws.rs.client.Client.target","basic block: 44:24-44:42"
"Path: /home/sixsquare/codeQL/projects/Sentinel/sentinel-demo/sentinel-demo-servlet/src/main/java/com/alibaba/csp/sentinel/demo/servlet/config/SentinelConfig.java","call function: 27:62-27:88","call in function: parseOrigin@27-27","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 27:62-27:88"
"Path: /home/sixsquare/codeQL/projects/Sentinel/sentinel-demo/sentinel-demo-servlet/src/main/java/com/alibaba/csp/sentinel/demo/servlet/controller/DefaultServlet.java","call function: 27:23-27:73","call in function: service@26-36","callee=javax.servlet.http.HttpServletRequest.getPathInfo","basic block: 27:23-27:73"
"Path: /home/sixsquare/codeQL/projects/Sentinel/sentinel-demo/sentinel-demo-servlet/src/main/java/com/alibaba/csp/sentinel/demo/servlet/controller/DefaultServlet.java","call function: 44:47-44:81","call in function: notFound@38-46","callee=javax.servlet.http.HttpServletRequest.getServletPath","basic block: 44:47-44:81"
