"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/SmartRefreshLayout/app/src/main/java/com/scwang/refresh/layout/activity/example/BasicExampleActivity.java","call function: 36:35-36:46","call in function: <obinit>@33-33","callee=java.util.Random.<init>","basic block: 36:35-36:46"
"Path: /home/sixsquare/codeQL/projects/SmartRefreshLayout/app/src/main/java/com/scwang/refresh/layout/activity/example/BasicExampleActivity.java","call function: 162:49-162:73","call in function: initData@158-166","callee=java.util.Random.nextInt","basic block: 162:49-162:73"
"Path: /home/sixsquare/codeQL/projects/SmartRefreshLayout/app/src/main/java/com/scwang/refresh/layout/activity/style/ClassicsStyleActivity.java","call function: 78:21-78:65","call in function: onCreate@69-117","callee=java.util.Random.nextInt","basic block: 78:21-78:65"
"Path: /home/sixsquare/codeQL/projects/SmartRefreshLayout/app/src/main/java/com/scwang/refresh/layout/activity/style/ClassicsStyleActivity.java","call function: 78:21-78:32","call in function: onCreate@69-117","callee=java.util.Random.<init>","basic block: 78:21-78:32"
"Path: /home/sixsquare/codeQL/projects/SmartRefreshLayout/app/src/main/java/com/scwang/refresh/layout/fragment/example/FlexBoxLayoutManagerFragment.java","call function: 60:35-60:46","call in function: <obinit>@58-58","callee=java.util.Random.<init>","basic block: 60:35-60:46"
"Path: /home/sixsquare/codeQL/projects/SmartRefreshLayout/app/src/main/java/com/scwang/refresh/layout/fragment/example/FlexBoxLayoutManagerFragment.java","call function: 72:64-72:94","call in function: onBindViewHolder@63-74","callee=java.util.Random.nextInt","basic block: 72:64-72:94"
"Path: /home/sixsquare/codeQL/projects/SmartRefreshLayout/app/src/main/java/com/scwang/refresh/layout/fragment/example/FlexBoxLayoutManagerFragment.java","call function: 73:71-73:88","call in function: onBindViewHolder@63-74","callee=java.util.Random.nextInt","basic block: 73:71-73:88"
"Path: /home/sixsquare/codeQL/projects/SmartRefreshLayout/app/src/main/java/com/scwang/refresh/layout/fragment/example/NoMoreDataExampleFragment.java","call function: 102:35-102:46","call in function: <obinit>@34-34","callee=java.util.Random.<init>","basic block: 102:35-102:46"
"Path: /home/sixsquare/codeQL/projects/SmartRefreshLayout/app/src/main/java/com/scwang/refresh/layout/fragment/example/NoMoreDataExampleFragment.java","call function: 105:25-105:42","call in function: loadData@104-111","callee=java.util.Random.nextInt","basic block: 105:25-105:42"
"Path: /home/sixsquare/codeQL/projects/SmartRefreshLayout/refresh-header/src/main/java/com/scwang/smart/refresh/header/FunGameBattleCityHeader.java","call function: 133:18-133:29","call in function: FunGameBattleCityHeader@131-134","callee=java.util.Random.<init>","basic block: 133:18-133:29"
"Path: /home/sixsquare/codeQL/projects/SmartRefreshLayout/refresh-header/src/main/java/com/scwang/smart/refresh/header/FunGameBattleCityHeader.java","call function: 251:16-251:43","call in function: appearanceOption@250-252","callee=java.util.Random.nextInt","basic block: 251:16-251:43"
"Path: /home/sixsquare/codeQL/projects/SmartRefreshLayout/refresh-header/src/main/java/com/scwang/smart/refresh/header/TaurusHeader.java","call function: 130:19-130:30","call in function: TaurusHeader@121-188","callee=java.util.Random.<init>","basic block: 130:19-130:30"
"Path: /home/sixsquare/codeQL/projects/SmartRefreshLayout/refresh-header/src/main/java/com/scwang/smart/refresh/header/TaurusHeader.java","call function: 591:16-591:47","call in function: random@588-592","callee=java.util.Random.nextInt","basic block: 591:16-591:47"
"Path: /home/sixsquare/codeQL/projects/SmartRefreshLayout/refresh-header/src/main/java/com/scwang/smart/refresh/header/storehouse/StoreHouseBarItem.java","call function: 51:25-51:36","call in function: resetPosition@50-53","callee=java.util.Random.<init>","basic block: 51:25-51:36"
"Path: /home/sixsquare/codeQL/projects/SmartRefreshLayout/refresh-header/src/main/java/com/scwang/smart/refresh/header/storehouse/StoreHouseBarItem.java","call function: 52:25-52:60","call in function: resetPosition@50-53","callee=java.util.Random.nextInt","basic block: 52:25-52:60"
