"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/SmartTube/MediaServiceCore/SharedModules/appupdatechecker/src/main/java/edu/mit/mobile/android/appupdater/downloadmanager/MyDownloadListener.java","call function: 117:32-117:91","call in function: doInBackground@104-125","callee=java.lang.String.replaceFirst","basic block: 117:32-117:91"
"Path: /home/sixsquare/codeQL/projects/SmartTube/MediaServiceCore/SharedModules/appupdatechecker2/src/main/java/com/liskovsoft/appupdatechecker2/other/downloadmanager/DownloadListener.java","call function: 117:32-117:91","call in function: doInBackground@104-125","callee=java.lang.String.replaceFirst","basic block: 117:32-117:91"
"Path: /home/sixsquare/codeQL/projects/SmartTube/MediaServiceCore/SharedModules/commons-io-2.8.0/src/main/java/org/apache/commons/io/FileSystem.java","call function: 340:21-342:117","call in function: toLegalFileName@337-355","callee=java.lang.String.format","basic block: 340:21-342:117"
"Path: /home/sixsquare/codeQL/projects/SmartTube/MediaServiceCore/SharedModules/commons-io-2.8.0/src/main/java/org/apache/commons/io/FilenameUtils.java","call function: 1519:9-1519:78","call in function: <clinit>@89-89","callee=java.util.regex.Pattern.compile","basic block: 1519:9-1519:78"
"Path: /home/sixsquare/codeQL/projects/SmartTube/MediaServiceCore/SharedModules/commons-io-2.8.0/src/main/java/org/apache/commons/io/FilenameUtils.java","call function: 1624:58-1624:102","call in function: <clinit>@89-89","callee=java.util.regex.Pattern.compile","basic block: 1624:58-1624:102"
"Path: /home/sixsquare/codeQL/projects/SmartTube/MediaServiceCore/SharedModules/commons-io-2.8.0/src/main/java/org/apache/commons/io/FilenameUtils.java","call function: 1530:27-1530:52","call in function: isIPv4Address@1529-1550","callee=java.util.regex.Pattern.matcher","basic block: 1530:27-1530:52"
"Path: /home/sixsquare/codeQL/projects/SmartTube/MediaServiceCore/SharedModules/commons-io-2.8.0/src/main/java/org/apache/commons/io/FilenameUtils.java","call function: 1531:14-1531:24","call in function: isIPv4Address@1529-1550","callee=java.util.regex.Matcher.matches","basic block: 1531:14-1531:24"
"Path: /home/sixsquare/codeQL/projects/SmartTube/MediaServiceCore/SharedModules/commons-io-2.8.0/src/main/java/org/apache/commons/io/FilenameUtils.java","call function: 1531:29-1531:42","call in function: isIPv4Address@1529-1550","callee=java.util.regex.Matcher.groupCount","basic block: 1531:29-1531:42"
"Path: /home/sixsquare/codeQL/projects/SmartTube/MediaServiceCore/SharedModules/commons-io-2.8.0/src/main/java/org/apache/commons/io/FilenameUtils.java","call function: 1537:38-1537:47","call in function: isIPv4Address@1529-1550","callee=java.util.regex.Matcher.group","basic block: 1537:38-1537:47"
"Path: /home/sixsquare/codeQL/projects/SmartTube/MediaServiceCore/SharedModules/commons-io-2.8.0/src/main/java/org/apache/commons/io/FilenameUtils.java","call function: 1573:27-1573:49","call in function: isIPv6Address@1564-1622","callee=java.lang.String.split","basic block: 1573:27-1573:49"
