"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/SpringAll/07.Spring-Boot-AOP-Log/src/main/java/com/springboot/dao/impl/SysLogDaoImp.java","call function: 21:3-21:74","call in function: saveSysLog@19-27","callee=java.lang.StringBuffer.append","basic block: 21:3-21:74"
"Path: /home/sixsquare/codeQL/projects/SpringAll/07.Spring-Boot-AOP-Log/src/main/java/com/springboot/dao/impl/SysLogDaoImp.java","call function: 22:3-22:78","call in function: saveSysLog@19-27","callee=java.lang.StringBuffer.append","basic block: 22:3-22:78"
"Path: /home/sixsquare/codeQL/projects/SpringAll/07.Spring-Boot-AOP-Log/src/main/java/com/springboot/dao/impl/SysLogDaoImp.java","call function: 23:3-23:40","call in function: saveSysLog@19-27","callee=java.lang.StringBuffer.append","basic block: 23:3-23:40"
"Path: /home/sixsquare/codeQL/projects/SpringAll/07.Spring-Boot-AOP-Log/src/main/java/com/springboot/util/IPUtils.java","call function: 15:15-15:50","call in function: getIpAddr@13-26","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 15:15-15:50"
"Path: /home/sixsquare/codeQL/projects/SpringAll/07.Spring-Boot-AOP-Log/src/main/java/com/springboot/util/IPUtils.java","call function: 17:9-17:44","call in function: getIpAddr@13-26","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 17:9-17:44"
"Path: /home/sixsquare/codeQL/projects/SpringAll/07.Spring-Boot-AOP-Log/src/main/java/com/springboot/util/IPUtils.java","call function: 20:9-20:47","call in function: getIpAddr@13-26","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 20:9-20:47"
"Path: /home/sixsquare/codeQL/projects/SpringAll/09.Spring-Boot-Redis-Cache/src/main/java/com/springboot/config/RedisConfig.java","call function: 28:5-28:42","call in function: generate@26-34","callee=java.lang.StringBuffer.append","basic block: 28:5-28:42"
"Path: /home/sixsquare/codeQL/projects/SpringAll/09.Spring-Boot-Redis-Cache/src/main/java/com/springboot/config/RedisConfig.java","call function: 29:5-29:31","call in function: generate@26-34","callee=java.lang.StringBuffer.append","basic block: 29:5-29:31"
"Path: /home/sixsquare/codeQL/projects/SpringAll/09.Spring-Boot-Redis-Cache/src/main/java/com/springboot/config/RedisConfig.java","call function: 31:6-31:30","call in function: generate@26-34","callee=java.lang.StringBuffer.append","basic block: 31:6-31:30"
"Path: /home/sixsquare/codeQL/projects/SpringAll/26.Spring-Boot-Filter-Interceptor/src/main/java/cc/mrbird/interceptor/TimeInterceptor.java","call function: 26:29-26:72","call in function: postHandle@24-28","callee=javax.servlet.ServletRequest.getAttribute","basic block: 26:29-26:72"
"Path: /home/sixsquare/codeQL/projects/SpringAll/26.Spring-Boot-Filter-Interceptor/src/main/java/cc/mrbird/interceptor/TimeInterceptor.java","call function: 33:29-33:72","call in function: afterCompletion@31-36","callee=javax.servlet.ServletRequest.getAttribute","basic block: 33:29-33:72"
"Path: /home/sixsquare/codeQL/projects/SpringAll/36.Spring-Security-ValidateCode/src/main/java/cc/mrbird/validate/code/ValidateCodeFilter.java","call function: 31:52-31:85","call in function: doFilterInternal@30-41","callee=javax.servlet.http.HttpServletRequest.getRequestURI","basic block: 31:52-31:85"
"Path: /home/sixsquare/codeQL/projects/SpringAll/36.Spring-Security-ValidateCode/src/main/java/cc/mrbird/web/controller/ValidateController.java","call function: 59:13-59:30","call in function: createImageCode@32-67","callee=java.lang.StringBuilder.append","basic block: 59:13-59:30"
"Path: /home/sixsquare/codeQL/projects/SpringAll/38.Spring-Security-SmsCode/src/main/java/cc/mrbird/validate/smscode/SmsAuthenticationFilter.java","call function: 49:16-49:52","call in function: obtainMobile@48-50","callee=javax.servlet.ServletRequest.getParameter","basic block: 49:16-49:52"
"Path: /home/sixsquare/codeQL/projects/SpringAll/38.Spring-Security-SmsCode/src/main/java/cc/mrbird/validate/smscode/SmsCodeFilter.java","call function: 32:59-32:92","call in function: doFilterInternal@31-42","callee=javax.servlet.http.HttpServletRequest.getRequestURI","basic block: 32:59-32:92"
"Path: /home/sixsquare/codeQL/projects/SpringAll/39.Spring-Cloud-Zuul-Router/Zuul-Gateway/src/main/java/com/example/demo/filter/PreSendForwardFilter.java","call function: 37:22-37:44","call in function: run@32-40","callee=javax.servlet.http.HttpServletRequest.getRequestURI","basic block: 37:22-37:44"
"Path: /home/sixsquare/codeQL/projects/SpringAll/46.Spring-Boot-Hibernate-Validator/src/main/java/com/example/demo/handler/GlobalExceptionHandler.java","call function: 40:13-40:81","call in function: handleConstraintViolationException@34-44","callee=java.lang.StringBuilder.append","basic block: 40:13-40:81"
"Path: /home/sixsquare/codeQL/projects/SpringAll/46.Spring-Boot-Hibernate-Validator/src/main/java/com/example/demo/handler/GlobalExceptionHandler.java","call function: 40:13-40:69","call in function: handleConstraintViolationException@34-44","callee=java.lang.StringBuilder.append","basic block: 40:13-40:69"
"Path: /home/sixsquare/codeQL/projects/SpringAll/46.Spring-Boot-Hibernate-Validator/src/main/java/com/example/demo/handler/GlobalExceptionHandler.java","call function: 40:13-40:38","call in function: handleConstraintViolationException@34-44","callee=java.lang.StringBuilder.append","basic block: 40:13-40:38"
"Path: /home/sixsquare/codeQL/projects/SpringAll/46.Spring-Boot-Hibernate-Validator/src/main/java/com/example/demo/handler/GlobalExceptionHandler.java","call function: 58:13-58:90","call in function: validExceptionHandler@54-63","callee=java.lang.StringBuilder.append","basic block: 58:13-58:90"
"Path: /home/sixsquare/codeQL/projects/SpringAll/46.Spring-Boot-Hibernate-Validator/src/main/java/com/example/demo/handler/GlobalExceptionHandler.java","call function: 58:13-58:78","call in function: validExceptionHandler@54-63","callee=java.lang.StringBuilder.append","basic block: 58:13-58:78"
"Path: /home/sixsquare/codeQL/projects/SpringAll/46.Spring-Boot-Hibernate-Validator/src/main/java/com/example/demo/handler/GlobalExceptionHandler.java","call function: 58:13-58:44","call in function: validExceptionHandler@54-63","callee=java.lang.StringBuilder.append","basic block: 58:13-58:44"
"Path: /home/sixsquare/codeQL/projects/SpringAll/47.Spring-Boot-Content-Negotiation/src/main/java/com/example/demo/resolver/PropertiesHandlerMethodArgumentResolver.java","call function: 30:30-30:62","call in function: resolveArgument@27-43","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 30:30-30:62"
"Path: /home/sixsquare/codeQL/projects/SpringAll/47.Spring-Boot-Content-Negotiation/src/main/java/com/example/demo/resolver/PropertiesHandlerMethodArgumentResolver.java","call function: 36:35-36:58","call in function: resolveArgument@27-43","callee=javax.servlet.ServletRequest.getInputStream","basic block: 36:35-36:58"
"Path: /home/sixsquare/codeQL/projects/SpringAll/57.Spring-Boot-WebFlux/webflux/src/main/java/com/example/webflux/FluxTest.java","call function: 72:74-72:103","call in function: apply@72-72","callee=java.lang.String.format","basic block: 72:74-72:103"
"Path: /home/sixsquare/codeQL/projects/SpringAll/62.Spring-Boot-Shiro-JWT/src/main/java/com/example/demo/authentication/JWTFilter.java","call function: 39:38-39:71","call in function: isAccessAllowed@32-47","callee=javax.servlet.http.HttpServletRequest.getRequestURI","basic block: 39:38-39:71"
"Path: /home/sixsquare/codeQL/projects/SpringAll/62.Spring-Boot-Shiro-JWT/src/main/java/com/example/demo/authentication/JWTFilter.java","call function: 52:24-52:43","call in function: isLoginAttempt@50-54","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 52:24-52:43"
"Path: /home/sixsquare/codeQL/projects/SpringAll/62.Spring-Boot-Shiro-JWT/src/main/java/com/example/demo/authentication/JWTFilter.java","call function: 59:24-59:58","call in function: executeLogin@57-68","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 59:24-59:58"
"Path: /home/sixsquare/codeQL/projects/SpringAll/62.Spring-Boot-Shiro-JWT/src/main/java/com/example/demo/authentication/JWTFilter.java","call function: 77:70-77:107","call in function: preHandle@74-86","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 77:70-77:107"
"Path: /home/sixsquare/codeQL/projects/SpringAll/62.Spring-Boot-Shiro-JWT/src/main/java/com/example/demo/authentication/JWTFilter.java","call function: 79:71-79:132","call in function: preHandle@74-86","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 79:71-79:132"
"Path: /home/sixsquare/codeQL/projects/SpringAll/64.Spring-Security-OAuth2-Customize/src/main/java/cc/mrbird/security/handler/MyAuthenticationSucessHandler.java","call function: 37:25-37:58","call in function: onAuthenticationSuccess@35-73","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 37:25-37:58"
"Path: /home/sixsquare/codeQL/projects/SpringAll/64.Spring-Security-OAuth2-Customize/src/main/java/cc/mrbird/security/validate/smscode/SmsAuthenticationFilter.java","call function: 49:16-49:52","call in function: obtainMobile@48-50","callee=javax.servlet.ServletRequest.getParameter","basic block: 49:16-49:52"
