"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/Stirling-PDF/app/common/src/main/java/org/apache/pdfbox/examples/util/DeletingRandomAccessFile.java","call function: 19:29-19:41","call in function: DeletingRandomAccessFile@17-20","callee=java.io.File.toPath","basic block: 19:29-19:41"
"Path: /home/sixsquare/codeQL/projects/Stirling-PDF/app/common/src/main/java/org/apache/pdfbox/examples/util/DeletingRandomAccessFile.java","call function: 28:35-28:68","call in function: close@23-38","callee=java.nio.file.Files.deleteIfExists","basic block: 28:35-28:68"
"Path: /home/sixsquare/codeQL/projects/Stirling-PDF/app/common/src/main/java/stirling/software/common/config/TempFileConfiguration.java","call function: 46:28-46:55","call in function: initTempFileConfig@39-58","callee=java.nio.file.Path.of","basic block: 46:28-46:55"
"Path: /home/sixsquare/codeQL/projects/Stirling-PDF/app/common/src/main/java/stirling/software/common/config/TempFileConfiguration.java","call function: 47:18-47:38","call in function: initTempFileConfig@39-58","callee=java.nio.file.Files.exists","basic block: 47:18-47:38"
"Path: /home/sixsquare/codeQL/projects/Stirling-PDF/app/common/src/main/java/stirling/software/common/config/TempFileConfiguration.java","call function: 48:17-48:48","call in function: initTempFileConfig@39-58","callee=java.nio.file.Files.createDirectories","basic block: 48:17-48:48"
"Path: /home/sixsquare/codeQL/projects/Stirling-PDF/app/common/src/main/java/stirling/software/common/service/FileStorage.java","call function: 41:9-41:53","call in function: storeFile@36-48","callee=java.nio.file.Files.createDirectories","basic block: 41:9-41:53"
"Path: /home/sixsquare/codeQL/projects/Stirling-PDF/app/common/src/main/java/stirling/software/common/service/FileStorage.java","call function: 44:9-44:42","call in function: storeFile@36-48","callee=org.springframework.web.multipart.MultipartFile.transferTo","basic block: 44:9-44:42"
"Path: /home/sixsquare/codeQL/projects/Stirling-PDF/app/common/src/main/java/stirling/software/common/service/FileStorage.java","call function: 63:9-63:53","call in function: storeBytes@58-70","callee=java.nio.file.Files.createDirectories","basic block: 63:9-63:53"
"Path: /home/sixsquare/codeQL/projects/Stirling-PDF/app/common/src/main/java/stirling/software/common/service/FileStorage.java","call function: 66:9-66:36","call in function: storeBytes@58-70","callee=java.nio.file.Files.write","basic block: 66:9-66:36"
"Path: /home/sixsquare/codeQL/projects/Stirling-PDF/app/common/src/main/java/stirling/software/common/service/FileStorage.java","call function: 86:27-86:54","call in function: retrieveFile@79-88","callee=java.nio.file.Files.readAllBytes","basic block: 86:27-86:54"
