"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/Telegram/TMessagesProj/src/main/java/com/google/android/exoplayer2/mediacodec/MediaCodecUtil.java","call function: 588:17-588:45","call in function: getScore@586-598","callee=java.lang.String.startsWith","basic block: 588:17-588:45"
"Path: /home/sixsquare/codeQL/projects/Telegram/TMessagesProj/src/main/java/com/google/android/exoplayer2/mediacodec/MediaCodecUtil.java","call function: 588:50-588:78","call in function: getScore@586-598","callee=java.lang.String.startsWith","basic block: 588:50-588:78"
"Path: /home/sixsquare/codeQL/projects/Telegram/TMessagesProj/src/main/java/com/google/android/exoplayer2/mediacodec/MediaCodecUtil.java","call function: 592:38-592:77","call in function: getScore@586-598","callee=java.lang.String.equals","basic block: 592:38-592:77"
"Path: /home/sixsquare/codeQL/projects/Telegram/TMessagesProj/src/main/java/com/google/android/exoplayer2/mediacodec/MediaCodecUtil.java","call function: 610:50-610:90","call in function: getScore@610-610","callee=java.lang.String.startsWith","basic block: 610:50-610:90"
"Path: /home/sixsquare/codeQL/projects/Telegram/TMessagesProj/src/main/java/com/google/android/exoplayer2/mediacodec/MediaCodecUtil.java","call function: 242:9-242:66","call in function: getCodecProfileAndLevel@236-261","callee=java.lang.String.equals","basic block: 242:9-242:66"
"Path: /home/sixsquare/codeQL/projects/Telegram/TMessagesProj/src/main/java/com/google/android/exoplayer2/mediacodec/MediaCodecUtil.java","call function: 274:9-274:63","call in function: getAlternativeCodecMimeType@273-296","callee=java.lang.String.equals","basic block: 274:9-274:63"
"Path: /home/sixsquare/codeQL/projects/Telegram/TMessagesProj/src/main/java/com/google/android/exoplayer2/mediacodec/MediaCodecUtil.java","call function: 278:9-278:66","call in function: getAlternativeCodecMimeType@273-296","callee=java.lang.String.equals","basic block: 278:9-278:66"
"Path: /home/sixsquare/codeQL/projects/Telegram/TMessagesProj/src/main/java/com/google/android/exoplayer2/mediacodec/MediaCodecUtil.java","call function: 1056:14-1056:50","call in function: isFeatureSupported@1051-1057","callee=java.lang.String.equals","basic block: 1056:14-1056:50"
"Path: /home/sixsquare/codeQL/projects/Telegram/TMessagesProj/src/main/java/com/google/android/exoplayer2/mediacodec/MediaCodecUtil.java","call function: 419:11-419:50","call in function: getCodecMimeType@415-442","callee=java.lang.String.equalsIgnoreCase","basic block: 419:11-419:50"
"Path: /home/sixsquare/codeQL/projects/Telegram/TMessagesProj/src/main/java/com/google/android/exoplayer2/mediacodec/MediaCodecUtil.java","call function: 424:9-424:53","call in function: getCodecMimeType@415-442","callee=java.lang.String.equals","basic block: 424:9-424:53"
"Path: /home/sixsquare/codeQL/projects/Telegram/TMessagesProj/src/main/java/com/google/android/exoplayer2/mediacodec/MediaCodecUtil.java","call function: 427:11-427:46","call in function: getCodecMimeType@415-442","callee=java.lang.String.equals","basic block: 427:11-427:46"
"Path: /home/sixsquare/codeQL/projects/Telegram/TMessagesProj/src/main/java/com/google/android/exoplayer2/mediacodec/MediaCodecUtil.java","call function: 429:18-429:53","call in function: getCodecMimeType@415-442","callee=java.lang.String.equals","basic block: 429:18-429:53"
"Path: /home/sixsquare/codeQL/projects/Telegram/TMessagesProj/src/main/java/com/google/android/exoplayer2/mediacodec/MediaCodecUtil.java","call function: 430:14-430:62","call in function: getCodecMimeType@415-442","callee=java.lang.String.equals","basic block: 430:14-430:62"
"Path: /home/sixsquare/codeQL/projects/Telegram/TMessagesProj/src/main/java/com/google/android/exoplayer2/mediacodec/MediaCodecUtil.java","call function: 433:16-433:52","call in function: getCodecMimeType@415-442","callee=java.lang.String.equals","basic block: 433:16-433:52"
"Path: /home/sixsquare/codeQL/projects/Telegram/TMessagesProj/src/main/java/com/google/android/exoplayer2/mediacodec/MediaCodecUtil.java","call function: 433:57-433:91","call in function: getCodecMimeType@415-442","callee=java.lang.String.equals","basic block: 433:57-433:91"
"Path: /home/sixsquare/codeQL/projects/Telegram/TMessagesProj/src/main/java/com/google/android/exoplayer2/mediacodec/MediaCodecUtil.java","call function: 435:16-435:52","call in function: getCodecMimeType@415-442","callee=java.lang.String.equals","basic block: 435:16-435:52"
"Path: /home/sixsquare/codeQL/projects/Telegram/TMessagesProj/src/main/java/com/google/android/exoplayer2/mediacodec/MediaCodecUtil.java","call function: 435:57-435:91","call in function: getCodecMimeType@415-442","callee=java.lang.String.equals","basic block: 435:57-435:91"
