"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/WxJava/weixin-java-common/src/main/java/me/chanjar/weixin/common/util/xml/XStreamInitializer.java","call function: 93:27-95:6","call in function: getInstance@68-101","callee=com.thoughtworks.xstream.security.WildcardTypePermission.<init>","basic block: 93:27-95:6"
"Path: /home/sixsquare/codeQL/projects/WxJava/weixin-java-cp/src/main/java/me/chanjar/weixin/cp/util/xml/XStreamTransformer.java","call function: 32:20-32:67","call in function: fromXml@31-34","callee=com.thoughtworks.xstream.XStream.fromXML","basic block: 32:20-32:67"
"Path: /home/sixsquare/codeQL/projects/WxJava/weixin-java-cp/src/main/java/me/chanjar/weixin/cp/util/xml/XStreamTransformer.java","call function: 46:20-46:66","call in function: fromXml@45-48","callee=com.thoughtworks.xstream.XStream.fromXML","basic block: 46:20-46:66"
"Path: /home/sixsquare/codeQL/projects/WxJava/weixin-java-mp/src/main/java/me/chanjar/weixin/mp/util/xml/XStreamTransformer.java","call function: 46:20-46:66","call in function: fromXml@45-48","callee=com.thoughtworks.xstream.XStream.fromXML","basic block: 46:20-46:66"
"Path: /home/sixsquare/codeQL/projects/WxJava/weixin-java-mp/src/main/java/me/chanjar/weixin/mp/util/xml/XStreamTransformer.java","call function: 40:20-40:67","call in function: fromXml@39-42","callee=com.thoughtworks.xstream.XStream.fromXML","basic block: 40:20-40:67"
"Path: /home/sixsquare/codeQL/projects/WxJava/weixin-java-open/src/main/java/me/chanjar/weixin/open/util/xml/XStreamTransformer.java","call function: 29:20-29:67","call in function: fromXml@28-31","callee=com.thoughtworks.xstream.XStream.fromXML","basic block: 29:20-29:67"
"Path: /home/sixsquare/codeQL/projects/WxJava/weixin-java-open/src/main/java/me/chanjar/weixin/open/util/xml/XStreamTransformer.java","call function: 35:20-35:66","call in function: fromXml@34-37","callee=com.thoughtworks.xstream.XStream.fromXML","basic block: 35:20-35:66"
"Path: /home/sixsquare/codeQL/projects/WxJava/weixin-java-pay/src/main/java/com/github/binarywang/wxpay/bean/notify/WxPayOrderNotifyResult.java","call function: 338:62-338:87","call in function: fromXML@334-341","callee=com.thoughtworks.xstream.XStream.fromXML","basic block: 338:62-338:87"
"Path: /home/sixsquare/codeQL/projects/WxJava/weixin-java-pay/src/main/java/com/github/binarywang/wxpay/bean/notify/WxPayRefundNotifyResult.java","call function: 313:24-313:49","call in function: fromXML@310-314","callee=com.thoughtworks.xstream.XStream.fromXML","basic block: 313:24-313:49"
"Path: /home/sixsquare/codeQL/projects/WxJava/weixin-java-pay/src/main/java/com/github/binarywang/wxpay/bean/result/BaseWxPayResult.java","call function: 163:20-163:45","call in function: fromXML@147-166","callee=com.thoughtworks.xstream.XStream.fromXML","basic block: 163:20-163:45"
"Path: /home/sixsquare/codeQL/projects/WxJava/weixin-java-pay/src/main/java/com/github/binarywang/wxpay/bean/result/WxSignStatusNotifyResult.java","call function: 105:66-105:91","call in function: fromXML@102-108","callee=com.thoughtworks.xstream.XStream.fromXML","basic block: 105:66-105:91"
"Path: /home/sixsquare/codeQL/projects/WxJava/weixin-java-pay/src/main/java/com/github/binarywang/wxpay/bean/result/WxWithholdNotifyResult.java","call function: 179:62-179:87","call in function: fromXML@175-182","callee=com.thoughtworks.xstream.XStream.fromXML","basic block: 179:62-179:87"
"Path: /home/sixsquare/codeQL/projects/WxJava/weixin-java-channel/src/main/java/me/chanjar/weixin/channel/util/JsonUtils.java","call function: 78:14-78:51","call in function: decode@73-83","callee=com.fasterxml.jackson.databind.ObjectMapper.readValue","basic block: 78:14-78:51"
"Path: /home/sixsquare/codeQL/projects/WxJava/weixin-java-channel/src/main/java/me/chanjar/weixin/channel/util/JsonUtils.java","call function: 94:18-94:59","call in function: decode@92-99","callee=com.fasterxml.jackson.databind.ObjectMapper.readValue","basic block: 94:18-94:59"
"Path: /home/sixsquare/codeQL/projects/WxJava/weixin-java-channel/src/main/java/me/chanjar/weixin/channel/util/XmlUtils.java","call function: 75:14-75:49","call in function: decode@70-80","callee=com.fasterxml.jackson.databind.ObjectMapper.readValue","basic block: 75:14-75:49"
"Path: /home/sixsquare/codeQL/projects/WxJava/weixin-java-channel/src/main/java/me/chanjar/weixin/channel/util/XmlUtils.java","call function: 91:18-91:57","call in function: decode@89-96","callee=com.fasterxml.jackson.databind.ObjectMapper.readValue","basic block: 91:18-91:57"
"Path: /home/sixsquare/codeQL/projects/WxJava/weixin-java-channel/src/main/java/me/chanjar/weixin/channel/util/XmlUtils.java","call function: 107:18-107:52","call in function: decode@105-112","callee=com.fasterxml.jackson.databind.ObjectMapper.readValue","basic block: 107:18-107:52"
"Path: /home/sixsquare/codeQL/projects/WxJava/weixin-java-miniapp/src/main/java/cn/binarywang/wx/miniapp/util/xml/XStreamTransformer.java","call function: 31:20-31:67","call in function: fromXml@30-33","callee=com.thoughtworks.xstream.XStream.fromXML","basic block: 31:20-31:67"
"Path: /home/sixsquare/codeQL/projects/WxJava/weixin-java-miniapp/src/main/java/cn/binarywang/wx/miniapp/util/xml/XStreamTransformer.java","call function: 37:20-37:66","call in function: fromXml@36-39","callee=com.thoughtworks.xstream.XStream.fromXML","basic block: 37:20-37:66"
