"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Dictionary.java","call function: 107:4-107:53","call in function: Dictionary@99-127","callee=org.apache.logging.log4j.Logger.info","basic block: 107:4-107:53"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Dictionary.java","call function: 113:5-113:54","call in function: Dictionary@99-127","callee=org.apache.logging.log4j.Logger.info","basic block: 113:5-113:54"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Dictionary.java","call function: 117:5-117:34","call in function: Dictionary@99-127","callee=org.apache.logging.log4j.Logger.error","basic block: 117:5-117:34"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Dictionary.java","call function: 124:5-124:34","call in function: Dictionary@99-127","callee=org.apache.logging.log4j.Logger.error","basic block: 124:5-124:34"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Dictionary.java","call function: 182:6-182:51","call in function: visitFileFailed@181-184","callee=org.apache.logging.log4j.Logger.error","basic block: 182:6-182:51"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Dictionary.java","call function: 187:4-187:49","call in function: walkFileTree@170-191","callee=org.apache.logging.log4j.Logger.error","basic block: 187:4-187:49"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Dictionary.java","call function: 189:4-189:55","call in function: walkFileTree@170-191","callee=org.apache.logging.log4j.Logger.warn","basic block: 189:4-189:55"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Dictionary.java","call function: 208:4-208:57","call in function: loadDictFile@193-213","callee=org.apache.logging.log4j.Logger.error","basic block: 208:4-208:57"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Dictionary.java","call function: 211:4-211:62","call in function: loadDictFile@193-213","callee=org.apache.logging.log4j.Logger.error","basic block: 211:4-211:62"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Dictionary.java","call function: 401:5-401:48","call in function: loadExtDict@395-406","callee=org.apache.logging.log4j.Logger.info","basic block: 401:5-401:48"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Dictionary.java","call function: 414:4-414:44","call in function: loadRemoteExtDict@411-430","callee=org.apache.logging.log4j.Logger.info","basic block: 414:4-414:44"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Dictionary.java","call function: 418:5-418:63","call in function: loadRemoteExtDict@411-430","callee=org.apache.logging.log4j.Logger.error","basic block: 418:5-418:63"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Dictionary.java","call function: 424:6-424:25","call in function: loadRemoteExtDict@411-430","callee=org.apache.logging.log4j.Logger.info","basic block: 424:6-424:25"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Dictionary.java","call function: 482:4-482:55","call in function: getRemoteWordsUnprivileged@442-485","callee=org.apache.logging.log4j.Logger.error","basic block: 482:4-482:55"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Dictionary.java","call function: 502:5-502:56","call in function: loadStopWordDict@490-529","callee=org.apache.logging.log4j.Logger.info","basic block: 502:5-502:56"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Dictionary.java","call function: 513:4-513:44","call in function: loadStopWordDict@490-529","callee=org.apache.logging.log4j.Logger.info","basic block: 513:4-513:44"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Dictionary.java","call function: 517:5-517:63","call in function: loadStopWordDict@490-529","callee=org.apache.logging.log4j.Logger.error","basic block: 517:5-517:63"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Dictionary.java","call function: 523:6-523:25","call in function: loadStopWordDict@490-529","callee=org.apache.logging.log4j.Logger.info","basic block: 523:6-523:25"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Dictionary.java","call function: 561:3-561:41","call in function: reLoadMainDict@560-570","callee=org.apache.logging.log4j.Logger.info","basic block: 561:3-561:41"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Dictionary.java","call function: 569:3-569:41","call in function: reLoadMainDict@560-570","callee=org.apache.logging.log4j.Logger.info","basic block: 569:3-569:41"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Monitor.java","call function: 100:5-100:111","call in function: runUnprivileged@63-114","callee=org.apache.logging.log4j.Logger.info","basic block: 100:5-100:111"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Monitor.java","call function: 104:4-104:57","call in function: runUnprivileged@63-114","callee=org.apache.logging.log4j.Logger.error","basic block: 104:4-104:57"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Monitor.java","call function: 111:5-111:35","call in function: runUnprivileged@63-114","callee=org.apache.logging.log4j.Logger.error","basic block: 111:5-111:35"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/help/ESPluginLoggerFactory.java","call function: 13:30-13:55","call in function: getLogger@12-14","callee=org.apache.logging.log4j.LogManager.getLogger","basic block: 13:30-13:55"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/help/ESPluginLoggerFactory.java","call function: 17:34-17:59","call in function: getLogger@16-18","callee=org.apache.logging.log4j.LogManager.getLogger","basic block: 17:34-17:59"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/help/ESPluginLoggerFactory.java","call function: 21:34-21:70","call in function: getLogger@20-22","callee=org.apache.logging.log4j.LogManager.getLogger","basic block: 21:34-21:70"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/main/java/org/wltea/analyzer/help/Sleep.java","call function: 33:13-33:43","call in function: sleep@13-35","callee=org.apache.logging.log4j.Logger.error","basic block: 33:13-33:43"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/test/java/org/wltea/analyzer/lucene/IKAnalyzerTests.java","call function: 294:35-294:88","call in function: tokenize_smart_long_repeated_words_performance@271-300","callee=java.lang.String.format","basic block: 294:35-294:88"
"Path: /home/sixsquare/codeQL/projects/analysis-ik/core/src/test/java/org/wltea/analyzer/lucene/IKAnalyzerTests.java","call function: 299:28-299:103","call in function: tokenize_smart_long_repeated_words_performance@271-300","callee=java.lang.String.format","basic block: 299:28-299:103"
