"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/antlr4/antlr4-maven-plugin/src/main/java/org/antlr/mojo/antlr4/Antlr4Mojo.java","call function: 367:14-367:73","call in function: getCommandArguments@317-376","callee=java.lang.String.format","basic block: 367:14-367:73"
"Path: /home/sixsquare/codeQL/projects/antlr4/antlr4-maven-plugin/target/generated-sources/plugin/org/antlr/mojo/antlr4/HelpMojo.java","call function: 71:48-71:83","call in function: build@65-87","callee=javax.xml.parsers.DocumentBuilderFactory.newInstance","basic block: 71:48-71:83"
"Path: /home/sixsquare/codeQL/projects/antlr4/antlr4-maven-plugin/target/generated-sources/plugin/org/antlr/mojo/antlr4/HelpMojo.java","call function: 72:40-72:69","call in function: build@65-87","callee=javax.xml.parsers.DocumentBuilderFactory.newDocumentBuilder","basic block: 72:40-72:69"
"Path: /home/sixsquare/codeQL/projects/antlr4/antlr4-maven-plugin/target/generated-sources/plugin/org/antlr/mojo/antlr4/HelpMojo.java","call function: 73:20-73:39","call in function: build@65-87","callee=javax.xml.parsers.DocumentBuilder.parse","basic block: 73:20-73:39"
"Path: /home/sixsquare/codeQL/projects/antlr4/antlr4-maven-plugin/target/generated-sources/plugin/org/antlr/mojo/antlr4/HelpMojo.java","call function: 308:13-308:32","call in function: repeat@302-312","callee=java.lang.StringBuilder.append","basic block: 308:13-308:32"
"Path: /home/sixsquare/codeQL/projects/antlr4/antlr4-maven-plugin/target/generated-sources/plugin/org/antlr/mojo/antlr4/HelpMojo.java","call function: 326:13-326:44","call in function: append@322-328","callee=java.lang.StringBuilder.append","basic block: 326:13-326:44"
"Path: /home/sixsquare/codeQL/projects/antlr4/antlr4-maven-plugin/target/generated-sources/plugin/org/antlr/mojo/antlr4/HelpMojo.java","call function: 326:13-326:29","call in function: append@322-328","callee=java.lang.StringBuilder.append","basic block: 326:13-326:29"
"Path: /home/sixsquare/codeQL/projects/antlr4/antlr4-maven-plugin/target/generated-sources/plugin/org/antlr/mojo/antlr4/HelpMojo.java","call function: 379:21-379:72","call in function: toLines@364-405","callee=java.lang.StringBuilder.append","basic block: 379:21-379:72"
"Path: /home/sixsquare/codeQL/projects/antlr4/antlr4-maven-plugin/target/generated-sources/plugin/org/antlr/mojo/antlr4/HelpMojo.java","call function: 383:21-383:37","call in function: toLines@364-405","callee=java.lang.StringBuilder.append","basic block: 383:21-383:37"
"Path: /home/sixsquare/codeQL/projects/antlr4/antlr4-maven-plugin/target/generated-sources/plugin/org/antlr/mojo/antlr4/HelpMojo.java","call function: 392:21-392:87","call in function: toLines@364-405","callee=java.lang.StringBuilder.append","basic block: 392:21-392:87"
"Path: /home/sixsquare/codeQL/projects/antlr4/antlr4-maven-plugin/target/generated-sources/plugin/org/antlr/mojo/antlr4/HelpMojo.java","call function: 396:21-396:37","call in function: toLines@364-405","callee=java.lang.StringBuilder.append","basic block: 396:21-396:37"
"Path: /home/sixsquare/codeQL/projects/antlr4/antlr4-maven-plugin/target/generated-sources/plugin/org/antlr/mojo/antlr4/HelpMojo.java","call function: 400:21-400:35","call in function: toLines@364-405","callee=java.lang.StringBuilder.append","basic block: 400:21-400:35"
"Path: /home/sixsquare/codeQL/projects/antlr4/runtime-testsuite/test/org/antlr/v4/runtime/TestCodePointCharStream.java","call function: 182:5-184:20","call in function: getTextWithEmoji@180-187","callee=java.lang.StringBuilder.append","basic block: 182:5-184:20"
"Path: /home/sixsquare/codeQL/projects/antlr4/runtime-testsuite/test/org/antlr/v4/runtime/TestCodePointCharStream.java","call function: 204:5-206:20","call in function: toStringWithEmoji@202-209","callee=java.lang.StringBuilder.append","basic block: 204:5-206:20"
"Path: /home/sixsquare/codeQL/projects/antlr4/runtime-testsuite/test/org/antlr/v4/runtime/TestCodePointCharStream.java","call function: 226:5-228:20","call in function: lookAheadWithEmoji@224-231","callee=java.lang.StringBuilder.append","basic block: 226:5-228:20"
"Path: /home/sixsquare/codeQL/projects/antlr4/runtime-testsuite/test/org/antlr/v4/runtime/TestCodePointCharStream.java","call function: 250:5-252:20","call in function: seekWithEmoji@248-256","callee=java.lang.StringBuilder.append","basic block: 250:5-252:20"
"Path: /home/sixsquare/codeQL/projects/antlr4/runtime-testsuite/test/org/antlr/v4/runtime/TestCodePointCharStream.java","call function: 275:5-277:20","call in function: lookBehindWithEmoji@273-281","callee=java.lang.StringBuilder.append","basic block: 275:5-277:20"
"Path: /home/sixsquare/codeQL/projects/antlr4/runtime-testsuite/test/org/antlr/v4/test/runtime/CustomDescriptors.java","call function: 84:3-84:68","call in function: getLargeLexerDescriptor@79-104","callee=java.lang.StringBuilder.append","basic block: 84:3-84:68"
"Path: /home/sixsquare/codeQL/projects/antlr4/runtime-testsuite/test/org/antlr/v4/test/runtime/CustomDescriptors.java","call function: 84:3-84:54","call in function: getLargeLexerDescriptor@79-104","callee=java.lang.StringBuilder.append","basic block: 84:3-84:54"
"Path: /home/sixsquare/codeQL/projects/antlr4/runtime-testsuite/test/org/antlr/v4/test/runtime/CustomDescriptors.java","call function: 84:3-84:34","call in function: getLargeLexerDescriptor@79-104","callee=java.lang.StringBuilder.append","basic block: 84:3-84:34"
