"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/apollo/apollo-common/src/main/java/com/ctrip/framework/apollo/common/utils/UniqueKeyGenerator.java","call function: 33:66-33:93","call in function: <clinit>@29-29","callee=java.util.Random.nextInt","basic block: 33:66-33:93"
"Path: /home/sixsquare/codeQL/projects/apollo/apollo-common/src/main/java/com/ctrip/framework/apollo/common/utils/UniqueKeyGenerator.java","call function: 33:66-33:83","call in function: <clinit>@29-29","callee=java.security.SecureRandom.<init>","basic block: 33:66-33:83"
"Path: /home/sixsquare/codeQL/projects/apollo/apollo-audit/apollo-audit-impl/src/main/java/com/ctrip/framework/apollo/audit/util/ApolloAuditUtil.java","call function: 38:12-38:28","call in function: generateId@37-39","callee=java.util.UUID.randomUUID","basic block: 38:12-38:28"
"Path: /home/sixsquare/codeQL/projects/apollo/apollo-build-sql-converter/src/main/java/com/ctrip/framework/apollo/build/sql/converter/ApolloSqlConverter.java","call function: 65:52-65:67","call in function: createConfiguration@62-71","callee=java.io.File.<init>","basic block: 65:52-65:67"
"Path: /home/sixsquare/codeQL/projects/apollo/apollo-build-sql-converter/src/main/java/com/ctrip/framework/apollo/build/sql/converter/ApolloH2ConverterUtil.java","call function: 41:66-41:85","call in function: convert@33-57","callee=java.nio.file.Paths.get","basic block: 41:66-41:85"
"Path: /home/sixsquare/codeQL/projects/apollo/apollo-build-sql-converter/src/main/java/com/ctrip/framework/apollo/build/sql/converter/ApolloMysqlDefaultConverterUtil.java","call function: 46:66-46:85","call in function: convert@29-56","callee=java.nio.file.Paths.get","basic block: 46:66-46:85"
"Path: /home/sixsquare/codeQL/projects/apollo/apollo-build-sql-converter/src/main/java/com/ctrip/framework/apollo/build/sql/converter/ApolloSqlConverterUtil.java","call function: 70:17-70:30","call in function: getRepositoryDir@60-79","callee=java.nio.file.Paths.get","basic block: 70:17-70:30"
"Path: /home/sixsquare/codeQL/projects/apollo/apollo-build-sql-converter/src/main/java/com/ctrip/framework/apollo/build/sql/converter/ApolloSqlConverterUtil.java","call function: 82:17-82:41","call in function: ensureDirectories@81-89","callee=java.nio.file.Paths.get","basic block: 82:17-82:41"
"Path: /home/sixsquare/codeQL/projects/apollo/apollo-build-sql-converter/src/main/java/com/ctrip/framework/apollo/build/sql/converter/ApolloSqlConverterUtil.java","call function: 85:7-85:38","call in function: ensureDirectories@81-89","callee=java.nio.file.Files.createDirectories","basic block: 85:7-85:38"
"Path: /home/sixsquare/codeQL/projects/apollo/apollo-build-sql-converter/src/main/java/com/ctrip/framework/apollo/build/sql/converter/ApolloSqlConverterUtil.java","call function: 130:33-130:51","call in function: getGist@126-148","callee=java.nio.file.Paths.get","basic block: 130:33-130:51"
"Path: /home/sixsquare/codeQL/projects/apollo/apollo-build-sql-converter/src/main/java/com/ctrip/framework/apollo/build/sql/converter/ApolloSqlConverterUtil.java","call function: 152:22-152:59","call in function: getSqlList@150-161","callee=java.nio.file.Paths.get","basic block: 152:22-152:59"
"Path: /home/sixsquare/codeQL/projects/apollo/apollo-build-sql-converter/src/main/java/com/ctrip/framework/apollo/build/sql/converter/ApolloSqlConverterUtil.java","call function: 155:22-155:59","call in function: getSqlList@150-161","callee=java.nio.file.Paths.get","basic block: 155:22-155:59"
"Path: /home/sixsquare/codeQL/projects/apollo/apollo-build-sql-converter/src/main/java/com/ctrip/framework/apollo/build/sql/converter/ApolloSqlConverterUtil.java","call function: 209:9-209:26","call in function: deleteDirInternal@198-214","callee=java.nio.file.Files.delete","basic block: 209:9-209:26"
"Path: /home/sixsquare/codeQL/projects/apollo/apollo-build-sql-converter/src/main/java/com/ctrip/framework/apollo/build/sql/converter/ApolloSqlConverterUtil.java","call function: 211:9-211:26","call in function: deleteDirInternal@198-214","callee=java.nio.file.Files.delete","basic block: 211:9-211:26"
"Path: /home/sixsquare/codeQL/projects/apollo/apollo-build-sql-converter/src/main/java/com/ctrip/framework/apollo/build/sql/converter/ApolloSqlConverterUtil.java","call function: 246:20-246:44","call in function: getDeltaSqlList@245-270","callee=java.nio.file.Paths.get","basic block: 246:20-246:44"
"Path: /home/sixsquare/codeQL/projects/apollo/apollo-portal/src/main/java/com/ctrip/framework/apollo/portal/controller/AccessKeyController.java","call function: 52:21-52:37","call in function: save@50-56","callee=java.util.UUID.randomUUID","basic block: 52:21-52:37"
