"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/arthas/common/src/main/java/com/taobao/arthas/common/UsageRender.java","call function: 19:21-19:55","call in function: render@13-32","callee=java.lang.StringBuilder.append","basic block: 19:21-19:55"
"Path: /home/sixsquare/codeQL/projects/arthas/common/src/main/java/com/taobao/arthas/common/UsageRender.java","call function: 20:21-20:65","call in function: render@13-32","callee=java.lang.StringBuilder.append","basic block: 20:21-20:65"
"Path: /home/sixsquare/codeQL/projects/arthas/common/src/main/java/com/taobao/arthas/common/UsageRender.java","call function: 22:21-22:50","call in function: render@13-32","callee=java.lang.StringBuilder.append","basic block: 22:21-22:50"
"Path: /home/sixsquare/codeQL/projects/arthas/common/src/main/java/com/taobao/arthas/common/UsageRender.java","call function: 24:21-24:35","call in function: render@13-32","callee=java.lang.StringBuilder.append","basic block: 24:21-24:35"
"Path: /home/sixsquare/codeQL/projects/arthas/common/src/main/java/com/taobao/arthas/common/UsageRender.java","call function: 26:17-26:31","call in function: render@13-32","callee=java.lang.StringBuilder.append","basic block: 26:17-26:31"
"Path: /home/sixsquare/codeQL/projects/arthas/arthas-spring-boot-starter/src/main/java/com/alibaba/arthas/spring/StringUtils.java","call function: 27:7-27:26","call in function: removeDashKey@14-39","callee=java.lang.StringBuilder.append","basic block: 27:7-27:26"
"Path: /home/sixsquare/codeQL/projects/arthas/arthas-spring-boot-starter/src/main/java/com/alibaba/arthas/spring/StringUtils.java","call function: 29:7-29:30","call in function: removeDashKey@14-39","callee=java.lang.StringBuilder.append","basic block: 29:7-29:30"
"Path: /home/sixsquare/codeQL/projects/arthas/tunnel-server/src/main/java/com/alibaba/arthas/tunnel/server/app/web/ProxyController.java","call function: 54:36-54:109","call in function: execute@51-91","callee=javax.servlet.ServletRequest.getAttribute","basic block: 54:36-54:109"
"Path: /home/sixsquare/codeQL/projects/arthas/arthas-mcp-server/src/main/java/com/taobao/arthas/mcp/server/protocol/server/handler/McpStreamableHttpRequestHandler.java","call function: 640:17-640:62","call in function: sendSseEvent@637-650","callee=java.lang.StringBuilder.append","basic block: 640:17-640:62"
"Path: /home/sixsquare/codeQL/projects/arthas/arthas-mcp-server/src/main/java/com/taobao/arthas/mcp/server/protocol/server/handler/McpStreamableHttpRequestHandler.java","call function: 640:17-640:49","call in function: sendSseEvent@637-650","callee=java.lang.StringBuilder.append","basic block: 640:17-640:49"
"Path: /home/sixsquare/codeQL/projects/arthas/arthas-mcp-server/src/main/java/com/taobao/arthas/mcp/server/protocol/server/handler/McpStreamableHttpRequestHandler.java","call function: 640:17-640:38","call in function: sendSseEvent@637-650","callee=java.lang.StringBuilder.append","basic block: 640:17-640:38"
"Path: /home/sixsquare/codeQL/projects/arthas/arthas-mcp-server/src/main/java/com/taobao/arthas/mcp/server/protocol/server/handler/McpStreamableHttpRequestHandler.java","call function: 642:13-642:68","call in function: sendSseEvent@637-650","callee=java.lang.StringBuilder.append","basic block: 642:13-642:68"
"Path: /home/sixsquare/codeQL/projects/arthas/arthas-mcp-server/src/main/java/com/taobao/arthas/mcp/server/protocol/server/handler/McpStreamableHttpRequestHandler.java","call function: 642:13-642:55","call in function: sendSseEvent@637-650","callee=java.lang.StringBuilder.append","basic block: 642:13-642:55"
"Path: /home/sixsquare/codeQL/projects/arthas/arthas-mcp-server/src/main/java/com/taobao/arthas/mcp/server/protocol/server/handler/McpStreamableHttpRequestHandler.java","call function: 642:13-642:37","call in function: sendSseEvent@637-650","callee=java.lang.StringBuilder.append","basic block: 642:13-642:37"
"Path: /home/sixsquare/codeQL/projects/arthas/arthas-mcp-server/src/main/java/com/taobao/arthas/mcp/server/protocol/server/handler/McpStreamableHttpRequestHandler.java","call function: 643:13-643:64","call in function: sendSseEvent@637-650","callee=java.lang.StringBuilder.append","basic block: 643:13-643:64"
"Path: /home/sixsquare/codeQL/projects/arthas/arthas-mcp-server/src/main/java/com/taobao/arthas/mcp/server/protocol/server/handler/McpStreamableHttpRequestHandler.java","call function: 643:13-643:49","call in function: sendSseEvent@637-650","callee=java.lang.StringBuilder.append","basic block: 643:13-643:49"
"Path: /home/sixsquare/codeQL/projects/arthas/arthas-mcp-server/src/main/java/com/taobao/arthas/mcp/server/protocol/server/handler/McpStreamableHttpRequestHandler.java","call function: 643:13-643:36","call in function: sendSseEvent@637-650","callee=java.lang.StringBuilder.append","basic block: 643:13-643:36"
"Path: /home/sixsquare/codeQL/projects/arthas/core/src/main/java/com/taobao/arthas/core/env/MutablePropertySources.java","call function: 182:16-182:72","call in function: toString@177-183","callee=java.lang.String.format","basic block: 182:16-182:72"
"Path: /home/sixsquare/codeQL/projects/arthas/core/src/main/java/com/taobao/arthas/core/env/MutablePropertySources.java","call function: 240:17-240:32","call in function: arrayToDelimitedString@230-245","callee=java.lang.StringBuilder.append","basic block: 240:17-240:32"
"Path: /home/sixsquare/codeQL/projects/arthas/core/src/main/java/com/taobao/arthas/core/env/MutablePropertySources.java","call function: 242:13-242:29","call in function: arrayToDelimitedString@230-245","callee=java.lang.StringBuilder.append","basic block: 242:13-242:29"
