"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/awesome-low-level-design/design-patterns/java/flyweight/CharacterFlyweightFactory.java","call function: 8:22-8:71","call in function: getFlyweight@7-13","callee=java.lang.String.format","basic block: 8:22-8:71"
"Path: /home/sixsquare/codeQL/projects/awesome-low-level-design/design-patterns/java/flyweight/CharacterGlyph.java","call function: 16:28-16:143","call in function: draw@15-17","callee=java.lang.String.format","basic block: 16:28-16:143"
"Path: /home/sixsquare/codeQL/projects/awesome-low-level-design/solutions/java/src/chessgame/ChessGame.java","call function: 55:27-55:48","call in function: getPlayerMove@53-71","callee=java.util.Scanner.<init>","basic block: 55:27-55:48"
"Path: /home/sixsquare/codeQL/projects/awesome-low-level-design/solutions/java/src/cricinfo/CommentaryManager.java","call function: 104:16-104:85","call in function: generateCommentary@92-105","callee=java.lang.String.format","basic block: 104:16-104:85"
"Path: /home/sixsquare/codeQL/projects/awesome-low-level-design/solutions/java/src/filedirectory/FileSystem.java","call function: 15:26-15:40","call in function: traverse@14-29","callee=java.lang.String.split","basic block: 15:26-15:40"
"Path: /home/sixsquare/codeQL/projects/awesome-low-level-design/solutions/java/src/filedirectory/chainofresponsibility/FilenameFilter.java","call function: 14:16-14:53","call in function: apply@11-15","callee=java.util.regex.Pattern.matches","basic block: 14:16-14:53"
"Path: /home/sixsquare/codeQL/projects/awesome-low-level-design/solutions/java/src/hotelmanagementsystem/HotelManagerFacade.java","call function: 56:86-56:126","call in function: bookRoom@32-66","callee=java.lang.String.format","basic block: 56:86-56:126"
"Path: /home/sixsquare/codeQL/projects/awesome-low-level-design/solutions/java/src/hotelmanagementsystem/PaymentService.java","call function: 5:56-5:84","call in function: processPayment@4-9","callee=java.lang.String.format","basic block: 5:56-5:84"
"Path: /home/sixsquare/codeQL/projects/awesome-low-level-design/solutions/java/src/linkedin/entities/Education.java","call function: 18:16-18:84","call in function: toString@17-19","callee=java.lang.String.format","basic block: 18:16-18:84"
"Path: /home/sixsquare/codeQL/projects/awesome-low-level-design/solutions/java/src/linkedin/entities/Experience.java","call function: 20:16-20:117","call in function: toString@19-21","callee=java.lang.String.format","basic block: 20:16-20:117"
"Path: /home/sixsquare/codeQL/projects/awesome-low-level-design/solutions/java/src/loggingframework/strategies/formatter/SimpleTextFormatter.java","call function: 13:16-18:40","call in function: format@12-19","callee=java.lang.String.format","basic block: 13:16-18:40"
"Path: /home/sixsquare/codeQL/projects/awesome-low-level-design/solutions/java/src/musicstreamingservice/entities/Song.java","call function: 26:16-26:67","call in function: toString@25-27","callee=java.lang.String.format","basic block: 26:16-26:67"
"Path: /home/sixsquare/codeQL/projects/awesome-low-level-design/solutions/java/src/onlineauctionsystem/entities/Auction.java","call function: 62:51-62:144","call in function: placeBid@36-64","callee=java.lang.String.format","basic block: 62:51-62:144"
"Path: /home/sixsquare/codeQL/projects/awesome-low-level-design/solutions/java/src/onlineauctionsystem/entities/Auction.java","call function: 76:26-77:87","call in function: endAuction@66-84","callee=java.lang.String.format","basic block: 76:26-77:87"
"Path: /home/sixsquare/codeQL/projects/awesome-low-level-design/solutions/java/src/onlineauctionsystem/entities/Auction.java","call function: 79:26-79:99","call in function: endAuction@66-84","callee=java.lang.String.format","basic block: 79:26-79:99"
"Path: /home/sixsquare/codeQL/projects/awesome-low-level-design/solutions/java/src/onlineauctionsystem/entities/Bid.java","call function: 40:16-40:103","call in function: toString@39-41","callee=java.lang.String.format","basic block: 40:16-40:103"
"Path: /home/sixsquare/codeQL/projects/awesome-low-level-design/solutions/java/src/onlineshoppingservice/models/Address.java","call function: 18:16-18:75","call in function: toString@17-19","callee=java.lang.String.format","basic block: 18:16-18:75"
"Path: /home/sixsquare/codeQL/projects/awesome-low-level-design/solutions/java/src/ridesharingservice/entities/Trip.java","call function: 125:71-125:97","call in function: toString@124-126","callee=java.lang.String.format","basic block: 125:71-125:97"
"Path: /home/sixsquare/codeQL/projects/awesome-low-level-design/solutions/java/src/splitwise/entities/BalanceSheet.java","call function: 45:94-45:122","call in function: showBalances@30-55","callee=java.lang.String.format","basic block: 45:94-45:122"
"Path: /home/sixsquare/codeQL/projects/awesome-low-level-design/solutions/java/src/splitwise/entities/BalanceSheet.java","call function: 48:94-48:123","call in function: showBalances@30-55","callee=java.lang.String.format","basic block: 48:94-48:123"
"Path: /home/sixsquare/codeQL/projects/awesome-low-level-design/solutions/java/src/splitwise/entities/BalanceSheet.java","call function: 52:73-52:108","call in function: showBalances@30-55","callee=java.lang.String.format","basic block: 52:73-52:108"
"Path: /home/sixsquare/codeQL/projects/awesome-low-level-design/solutions/java/src/splitwise/entities/BalanceSheet.java","call function: 53:70-53:101","call in function: showBalances@30-55","callee=java.lang.String.format","basic block: 53:70-53:101"
"Path: /home/sixsquare/codeQL/projects/awesome-low-level-design/solutions/java/src/splitwise/entities/Transaction.java","call function: 16:72-16:100","call in function: toString@15-17","callee=java.lang.String.format","basic block: 16:72-16:100"
