"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/BindingSet.java","call function: 336:34-336:67","call in function: addFieldAndUnbindStatement@312-363","callee=java.lang.String.equals","basic block: 336:34-336:67"
"Path: /home/sixsquare/codeQL/projects/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/BindingSet.java","call function: 345:12-345:39","call in function: addFieldAndUnbindStatement@312-363","callee=java.lang.String.equals","basic block: 345:12-345:39"
"Path: /home/sixsquare/codeQL/projects/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/BindingSet.java","call function: 510:14-510:47","call in function: addMethodBindings@433-539","callee=java.lang.String.equals","basic block: 510:14-510:47"
"Path: /home/sixsquare/codeQL/projects/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/BindingSet.java","call function: 527:12-527:39","call in function: addMethodBindings@433-539","callee=java.lang.String.equals","basic block: 527:12-527:39"
"Path: /home/sixsquare/codeQL/projects/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/BindingSet.java","call function: 688:13-688:45","call in function: requiresCast@687-689","callee=java.lang.String.equals","basic block: 688:13-688:45"
"Path: /home/sixsquare/codeQL/projects/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/BindingSet.java","call function: 715:26-715:78","call in function: getBindingClassName@714-719","callee=java.lang.CharSequence.toString","basic block: 715:26-715:78"
"Path: /home/sixsquare/codeQL/projects/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/BindingSet.java","call function: 716:24-716:64","call in function: getBindingClassName@714-719","callee=java.lang.CharSequence.toString","basic block: 716:24-716:64"
"Path: /home/sixsquare/codeQL/projects/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/BindingSet.java","call function: 763:62-763:95","call in function: addMethod@757-768","callee=java.lang.String.equals","basic block: 763:62-763:95"
"Path: /home/sixsquare/codeQL/projects/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java","call function: 149:19-149:73","call in function: init@134-169","callee=java.lang.String.equals","basic block: 149:19-149:73"
"Path: /home/sixsquare/codeQL/projects/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java","call function: 159:15-159:48","call in function: init@134-169","callee=java.lang.String.equals","basic block: 159:15-159:48"
"Path: /home/sixsquare/codeQL/projects/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java","call function: 159:53-159:91","call in function: init@134-169","callee=java.lang.String.equals","basic block: 159:53-159:91"
"Path: /home/sixsquare/codeQL/projects/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java","call function: 446:28-446:73","call in function: isBindingInWrongPackage@443-460","callee=java.lang.CharSequence.toString","basic block: 446:28-446:73"
"Path: /home/sixsquare/codeQL/projects/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java","call function: 448:9-448:44","call in function: isBindingInWrongPackage@443-460","callee=java.lang.String.startsWith","basic block: 448:9-448:44"
"Path: /home/sixsquare/codeQL/projects/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java","call function: 453:9-453:41","call in function: isBindingInWrongPackage@443-460","callee=java.lang.String.startsWith","basic block: 453:9-453:41"
"Path: /home/sixsquare/codeQL/projects/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java","call function: 510:19-510:39","call in function: parseBindView@462-518","callee=java.lang.CharSequence.toString","basic block: 510:19-510:39"
"Path: /home/sixsquare/codeQL/projects/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java","call function: 575:19-575:52","call in function: parseBindViews@520-603","callee=java.lang.CharSequence.toString","basic block: 575:19-575:52"
"Path: /home/sixsquare/codeQL/projects/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java","call function: 537:16-537:43","call in function: parseBindViews@520-603","callee=java.lang.String.equals","basic block: 537:16-537:43"
"Path: /home/sixsquare/codeQL/projects/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java","call function: 627:19-627:52","call in function: parseResourceAnimation@605-635","callee=java.lang.CharSequence.toString","basic block: 627:19-627:52"
"Path: /home/sixsquare/codeQL/projects/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java","call function: 611:10-611:59","call in function: parseResourceAnimation@605-635","callee=java.lang.String.equals","basic block: 611:10-611:59"
"Path: /home/sixsquare/codeQL/projects/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java","call function: 659:19-659:52","call in function: parseResourceBool@637-667","callee=java.lang.CharSequence.toString","basic block: 659:19-659:52"
"Path: /home/sixsquare/codeQL/projects/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java","call function: 695:19-695:52","call in function: parseResourceColor@669-708","callee=java.lang.CharSequence.toString","basic block: 695:19-695:52"
"Path: /home/sixsquare/codeQL/projects/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java","call function: 677:9-677:60","call in function: parseResourceColor@669-708","callee=java.lang.String.equals","basic block: 677:9-677:60"
"Path: /home/sixsquare/codeQL/projects/butterknife/butterknife-compiler/src/main/java/butterknife/compiler/ButterKnifeProcessor.java","call function: 736:19-736:52","call in function: parseResourceDimen@710-744","callee=java.lang.CharSequence.toString","basic block: 736:19-736:52"
