"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/canal/instance/manager/src/main/java/com/alibaba/otter/canal/instance/manager/plain/HttpHelper.java","call function: 90:24-90:59","call in function: get@71-113","callee=org.apache.http.impl.client.CloseableHttpClient.execute","basic block: 90:24-90:59"
"Path: /home/sixsquare/codeQL/projects/canal/instance/manager/src/main/java/com/alibaba/otter/canal/instance/manager/plain/HttpHelper.java","call function: 142:24-142:60","call in function: post0@119-164","callee=org.apache.http.impl.client.CloseableHttpClient.execute","basic block: 142:24-142:60"
"Path: /home/sixsquare/codeQL/projects/canal/connector/core/src/main/java/com/alibaba/otter/canal/connector/core/spi/ExtensionLoader.java","call function: 327:79-327:94","call in function: loadFile@312-410","callee=java.net.URL.openStream","basic block: 327:79-327:94"
"Path: /home/sixsquare/codeQL/projects/canal/client/src/main/java/com/alibaba/otter/canal/client/impl/SimpleCanalConnector.java","call function: 152:13-152:36","call in function: doConnect@144-202","callee=java.nio.channels.SocketChannel.connect","basic block: 152:13-152:36"
"Path: /home/sixsquare/codeQL/projects/canal/client-adapter/es6x/src/main/java/com/alibaba/otter/canal/client/adapter/es6x/support/ESConnection.java","call function: 514:19-514:36","call in function: createHttpHost@513-524","callee=java.net.URI.create","basic block: 514:19-514:36"
"Path: /home/sixsquare/codeQL/projects/canal/client-adapter/es6x/src/main/java/com/alibaba/otter/canal/client/adapter/es6x/support/ESConnection.java","call function: 519:36-520:77","call in function: createHttpHost@513-524","callee=java.net.URI.<init>","basic block: 519:36-520:77"
"Path: /home/sixsquare/codeQL/projects/canal/client-adapter/common/src/main/java/com/alibaba/otter/canal/client/adapter/support/ExtensionLoader.java","call function: 321:95-321:110","call in function: loadFile@308-397","callee=java.net.URL.openStream","basic block: 321:95-321:110"
"Path: /home/sixsquare/codeQL/projects/canal/admin/admin-web/src/main/java/com/alibaba/otter/canal/admin/connector/SimpleAdminConnector.java","call function: 68:13-68:36","call in function: connect@60-114","callee=java.nio.channels.SocketChannel.connect","basic block: 68:13-68:36"
"Path: /home/sixsquare/codeQL/projects/canal/admin/admin-web/src/main/java/com/alibaba/otter/canal/admin/controller/UserController.java","call function: 100:33-100:72","call in function: update@97-103","callee=javax.servlet.ServletRequest.getAttribute","basic block: 100:33-100:72"
"Path: /home/sixsquare/codeQL/projects/canal/admin/admin-web/src/main/java/com/alibaba/otter/canal/admin/config/WebConfig.java","call function: 75:32-75:70","call in function: preHandle@73-102","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 75:32-75:70"
"Path: /home/sixsquare/codeQL/projects/canal/driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/socket/BioSocketChannelPool.java","call function: 56:18-56:29","call in function: createSocket@54-63","callee=java.net.Socket.<init>","basic block: 56:18-56:29"
"Path: /home/sixsquare/codeQL/projects/canal/driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/socket/BioSocketChannelPool.java","call function: 61:9-61:73","call in function: createSocket@54-63","callee=java.net.Socket.connect","basic block: 61:9-61:73"
"Path: /home/sixsquare/codeQL/projects/canal/driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/socket/BioSocketChannelPool.java","call function: 136:33-136:69","call in function: getSSLContext@118-211","callee=java.net.URL.<init>","basic block: 136:33-136:69"
"Path: /home/sixsquare/codeQL/projects/canal/driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/socket/BioSocketChannelPool.java","call function: 139:28-139:45","call in function: getSSLContext@118-211","callee=java.net.URL.openStream","basic block: 139:28-139:45"
"Path: /home/sixsquare/codeQL/projects/canal/driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/socket/BioSocketChannelPool.java","call function: 167:32-167:80","call in function: getSSLContext@118-211","callee=java.net.URL.openStream","basic block: 167:32-167:80"
"Path: /home/sixsquare/codeQL/projects/canal/driver/src/main/java/com/alibaba/otter/canal/parse/driver/mysql/socket/BioSocketChannelPool.java","call function: 167:32-167:67","call in function: getSSLContext@118-211","callee=java.net.URL.<init>","basic block: 167:32-167:67"
