"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/cat/cat-alarm/src/main/java/com/dianping/cat/alarm/spi/decorator/ProjectDecorator.java","call function: 43:6-43:59","call in function: buildContactInfo@33-56","callee=java.lang.StringBuilder.append","basic block: 43:6-43:59"
"Path: /home/sixsquare/codeQL/projects/cat/cat-alarm/src/main/java/com/dianping/cat/alarm/spi/decorator/ProjectDecorator.java","call function: 43:6-43:46","call in function: buildContactInfo@33-56","callee=java.lang.StringBuilder.append","basic block: 43:6-43:46"
"Path: /home/sixsquare/codeQL/projects/cat/cat-alarm/src/main/java/com/dianping/cat/alarm/spi/decorator/ProjectDecorator.java","call function: 43:6-43:31","call in function: buildContactInfo@33-56","callee=java.lang.StringBuilder.append","basic block: 43:6-43:31"
"Path: /home/sixsquare/codeQL/projects/cat/cat-alarm/src/main/java/com/dianping/cat/alarm/spi/decorator/ProjectDecorator.java","call function: 46:6-46:61","call in function: buildContactInfo@33-56","callee=java.lang.StringBuilder.append","basic block: 46:6-46:61"
"Path: /home/sixsquare/codeQL/projects/cat/cat-alarm/src/main/java/com/dianping/cat/alarm/spi/decorator/ProjectDecorator.java","call function: 46:6-46:48","call in function: buildContactInfo@33-56","callee=java.lang.StringBuilder.append","basic block: 46:6-46:48"
"Path: /home/sixsquare/codeQL/projects/cat/cat-alarm/src/main/java/com/dianping/cat/alarm/spi/decorator/ProjectDecorator.java","call function: 46:6-46:33","call in function: buildContactInfo@33-56","callee=java.lang.StringBuilder.append","basic block: 46:6-46:33"
"Path: /home/sixsquare/codeQL/projects/cat/cat-alarm/src/main/java/com/dianping/cat/alarm/spi/rule/RuleType.java","call function: 560:4-560:59","call in function: convertDoublesToString@556-564","callee=java.lang.StringBuilder.append","basic block: 560:4-560:59"
"Path: /home/sixsquare/codeQL/projects/cat/cat-alarm/src/main/java/com/dianping/cat/alarm/spi/rule/RuleType.java","call function: 560:4-560:47","call in function: convertDoublesToString@556-564","callee=java.lang.StringBuilder.append","basic block: 560:4-560:47"
"Path: /home/sixsquare/codeQL/projects/cat/cat-alarm/src/main/java/com/dianping/cat/alarm/spi/rule/RuleType.java","call function: 580:4-580:50","call in function: convertPercentsToString@576-584","callee=java.lang.StringBuilder.append","basic block: 580:4-580:50"
"Path: /home/sixsquare/codeQL/projects/cat/cat-alarm/src/main/java/com/dianping/cat/alarm/spi/rule/RuleType.java","call function: 580:4-580:37","call in function: convertPercentsToString@576-584","callee=java.lang.StringBuilder.append","basic block: 580:4-580:37"
"Path: /home/sixsquare/codeQL/projects/cat/cat-alarm/src/main/java/com/dianping/cat/alarm/spi/rule/RuleType.java","call function: 58:4-58:76","call in function: buildRuleMessage@54-66","callee=java.lang.StringBuilder.append","basic block: 58:4-58:76"
"Path: /home/sixsquare/codeQL/projects/cat/cat-alarm/src/main/java/com/dianping/cat/alarm/spi/rule/RuleType.java","call function: 58:4-58:63","call in function: buildRuleMessage@54-66","callee=java.lang.StringBuilder.append","basic block: 58:4-58:63"
"Path: /home/sixsquare/codeQL/projects/cat/cat-alarm/src/main/java/com/dianping/cat/alarm/spi/rule/RuleType.java","call function: 58:4-58:21","call in function: buildRuleMessage@54-66","callee=java.lang.StringBuilder.append","basic block: 58:4-58:21"
"Path: /home/sixsquare/codeQL/projects/cat/cat-alarm/src/main/java/com/dianping/cat/alarm/spi/rule/RuleType.java","call function: 59:4-59:73","call in function: buildRuleMessage@54-66","callee=java.lang.StringBuilder.append","basic block: 59:4-59:73"
"Path: /home/sixsquare/codeQL/projects/cat/cat-alarm/src/main/java/com/dianping/cat/alarm/spi/rule/RuleType.java","call function: 59:4-59:60","call in function: buildRuleMessage@54-66","callee=java.lang.StringBuilder.append","basic block: 59:4-59:60"
"Path: /home/sixsquare/codeQL/projects/cat/cat-alarm/src/main/java/com/dianping/cat/alarm/spi/rule/RuleType.java","call function: 59:4-59:21","call in function: buildRuleMessage@54-66","callee=java.lang.StringBuilder.append","basic block: 59:4-59:21"
"Path: /home/sixsquare/codeQL/projects/cat/cat-alarm/src/main/java/com/dianping/cat/alarm/spi/rule/RuleType.java","call function: 60:4-60:99","call in function: buildRuleMessage@54-66","callee=java.lang.StringBuilder.append","basic block: 60:4-60:99"
"Path: /home/sixsquare/codeQL/projects/cat/cat-alarm/src/main/java/com/dianping/cat/alarm/spi/rule/RuleType.java","call function: 60:4-60:87","call in function: buildRuleMessage@54-66","callee=java.lang.StringBuilder.append","basic block: 60:4-60:87"
"Path: /home/sixsquare/codeQL/projects/cat/cat-alarm/src/main/java/com/dianping/cat/alarm/spi/rule/RuleType.java","call function: 60:4-60:21","call in function: buildRuleMessage@54-66","callee=java.lang.StringBuilder.append","basic block: 60:4-60:21"
"Path: /home/sixsquare/codeQL/projects/cat/cat-alarm/src/main/java/com/dianping/cat/alarm/spi/rule/RuleType.java","call function: 61:4-61:71","call in function: buildRuleMessage@54-66","callee=java.lang.StringBuilder.append","basic block: 61:4-61:71"
