"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/conductor/es7-persistence/src/main/java/com/netflix/conductor/es7/config/ElasticSearchProperties.java","call function: 227:26-227:50","call in function: toURLs@225-235","callee=java.lang.String.split","basic block: 227:26-227:50"
"Path: /home/sixsquare/codeQL/projects/conductor/grpc-server/src/main/java/com/netflix/conductor/grpc/server/service/WorkflowServiceImpl.java","call function: 360:34-360:53","call in function: convertSort@357-363","callee=java.lang.String.split","basic block: 360:34-360:53"
"Path: /home/sixsquare/codeQL/projects/conductor/es7-persistence/src/main/java/com/netflix/conductor/es7/dao/index/ElasticSearchRestDAOV7.java","call function: 895:25-895:96","call in function: removeTask@890-931","callee=java.lang.String.format","basic block: 895:25-895:96"
"Path: /home/sixsquare/codeQL/projects/conductor/es7-persistence/src/main/java/com/netflix/conductor/es7/dao/query/parser/internal/AbstractNode.java","call function: 26:46-26:67","call in function: <clinit>@24-24","callee=java.util.regex.Pattern.compile","basic block: 26:46-26:67"
"Path: /home/sixsquare/codeQL/projects/conductor/http-task/src/main/java/com/netflix/conductor/tasks/http/HttpTask.java","call function: 186:21-188:66","call in function: httpCall@151-194","callee=java.lang.String.format","basic block: 186:21-188:66"
"Path: /home/sixsquare/codeQL/projects/conductor/es6-persistence/src/main/java/com/netflix/conductor/es6/config/ElasticSearchProperties.java","call function: 227:26-227:50","call in function: toURLs@225-237","callee=java.lang.String.split","basic block: 227:26-227:50"
"Path: /home/sixsquare/codeQL/projects/conductor/es6-persistence/src/main/java/com/netflix/conductor/es6/config/ElasticSearchV6Configuration.java","call function: 159:26-159:50","call in function: getURIs@157-170","callee=java.lang.String.split","basic block: 159:26-159:50"
"Path: /home/sixsquare/codeQL/projects/conductor/es6-persistence/src/main/java/com/netflix/conductor/es6/dao/index/ElasticSearchRestDAOV6.java","call function: 850:25-850:96","call in function: removeTask@844-886","callee=java.lang.String.format","basic block: 850:25-850:96"
"Path: /home/sixsquare/codeQL/projects/conductor/es6-persistence/src/main/java/com/netflix/conductor/es6/dao/index/ElasticSearchDAOV6.java","call function: 790:29-791:94","call in function: removeTask@783-828","callee=java.lang.String.format","basic block: 790:29-791:94"
"Path: /home/sixsquare/codeQL/projects/conductor/es6-persistence/src/main/java/com/netflix/conductor/es6/dao/index/ElasticSearchBaseDAO.java","call function: 41:21-41:44","call in function: applyIndexPrefixToTemplate@39-53","callee=java.util.regex.Pattern.compile","basic block: 41:21-41:44"
"Path: /home/sixsquare/codeQL/projects/conductor/es6-persistence/src/main/java/com/netflix/conductor/es6/dao/index/ElasticSearchBaseDAO.java","call function: 42:21-42:35","call in function: applyIndexPrefixToTemplate@39-53","callee=java.util.regex.Pattern.matcher","basic block: 42:21-42:35"
"Path: /home/sixsquare/codeQL/projects/conductor/es6-persistence/src/main/java/com/netflix/conductor/es6/dao/index/ElasticSearchBaseDAO.java","call function: 44:16-44:23","call in function: applyIndexPrefixToTemplate@39-53","callee=java.util.regex.Matcher.find","basic block: 44:16-44:23"
"Path: /home/sixsquare/codeQL/projects/conductor/es6-persistence/src/main/java/com/netflix/conductor/es6/dao/index/ElasticSearchBaseDAO.java","call function: 45:13-49:95","call in function: applyIndexPrefixToTemplate@39-53","callee=java.util.regex.Matcher.appendReplacement","basic block: 45:13-49:95"
"Path: /home/sixsquare/codeQL/projects/conductor/es6-persistence/src/main/java/com/netflix/conductor/es6/dao/index/ElasticSearchBaseDAO.java","call function: 47:21-49:94","call in function: applyIndexPrefixToTemplate@39-53","callee=java.lang.String.replaceFirst","basic block: 47:21-49:94"
"Path: /home/sixsquare/codeQL/projects/conductor/es6-persistence/src/main/java/com/netflix/conductor/es6/dao/index/ElasticSearchBaseDAO.java","call function: 47:21-47:30","call in function: applyIndexPrefixToTemplate@39-53","callee=java.util.regex.Matcher.group","basic block: 47:21-47:30"
"Path: /home/sixsquare/codeQL/projects/conductor/es6-persistence/src/main/java/com/netflix/conductor/es6/dao/index/ElasticSearchBaseDAO.java","call function: 49:37-49:61","call in function: applyIndexPrefixToTemplate@39-53","callee=java.util.regex.Pattern.quote","basic block: 49:37-49:61"
"Path: /home/sixsquare/codeQL/projects/conductor/es6-persistence/src/main/java/com/netflix/conductor/es6/dao/index/ElasticSearchBaseDAO.java","call function: 49:51-49:60","call in function: applyIndexPrefixToTemplate@39-53","callee=java.util.regex.Matcher.group","basic block: 49:51-49:60"
"Path: /home/sixsquare/codeQL/projects/conductor/es6-persistence/src/main/java/com/netflix/conductor/es6/dao/index/ElasticSearchBaseDAO.java","call function: 49:84-49:93","call in function: applyIndexPrefixToTemplate@39-53","callee=java.util.regex.Matcher.group","basic block: 49:84-49:93"
"Path: /home/sixsquare/codeQL/projects/conductor/es6-persistence/src/main/java/com/netflix/conductor/es6/dao/index/ElasticSearchBaseDAO.java","call function: 51:9-51:24","call in function: applyIndexPrefixToTemplate@39-53","callee=java.util.regex.Matcher.appendTail","basic block: 51:9-51:24"
