"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/dbeaver/plugins/org.jkiss.dbeaver.core/src/org/jkiss/dbeaver/ui/dialogs/connection/EditConnectionWizard.java","call function: 359:44-359:136","call in function: checkLockPassword@353-371","callee=java.security.MessageDigest.digest","basic block: 359:44-359:136"
"Path: /home/sixsquare/codeQL/projects/dbeaver/plugins/org.jkiss.dbeaver.core/src/org/jkiss/dbeaver/ui/dialogs/connection/EditConnectionWizard.java","call function: 359:44-359:75","call in function: checkLockPassword@353-371","callee=java.security.MessageDigest.getInstance","basic block: 359:44-359:75"
"Path: /home/sixsquare/codeQL/projects/dbeaver/plugins/org.jkiss.dbeaver.model/src/org/jkiss/dbeaver/model/impl/app/BaseProjectImpl.java","call function: 244:16-244:86","call in function: getLocalSecretKey@243-245","callee=javax.crypto.spec.SecretKeySpec.<init>","basic block: 244:16-244:86"
"Path: /home/sixsquare/codeQL/projects/dbeaver/plugins/org.jkiss.dbeaver.model/src/org/jkiss/dbeaver/model/impl/app/BaseWorkspaceImpl.java","call function: 225:32-225:63","call in function: getLocalHostId@204-238","callee=java.security.MessageDigest.getInstance","basic block: 225:32-225:63"
"Path: /home/sixsquare/codeQL/projects/dbeaver/plugins/org.jkiss.dbeaver.model/src/org/jkiss/dbeaver/model/impl/app/BaseWorkspaceImpl.java","call function: 226:36-226:61","call in function: getLocalHostId@204-238","callee=java.security.MessageDigest.digest","basic block: 226:36-226:61"
"Path: /home/sixsquare/codeQL/projects/dbeaver/plugins/org.jkiss.dbeaver.model/src/org/jkiss/dbeaver/model/impl/app/CertificateGenHelper.java","call function: 74:44-74:61","call in function: generateCertificate@69-84","callee=java.security.SecureRandom.<init>","basic block: 74:44-74:61"
"Path: /home/sixsquare/codeQL/projects/dbeaver/plugins/org.jkiss.dbeaver.model/src/org/jkiss/dbeaver/model/impl/app/CertificateGenHelper.java","call function: 89:45-89:79","call in function: generateCertificate@86-92","callee=java.security.KeyPairGenerator.getInstance","basic block: 89:45-89:79"
"Path: /home/sixsquare/codeQL/projects/dbeaver/plugins/org.jkiss.dbeaver.model/src/org/jkiss/dbeaver/model/impl/app/CertificateGenHelper.java","call function: 90:27-90:60","call in function: generateCertificate@86-92","callee=java.security.KeyPairGenerator.generateKeyPair","basic block: 90:27-90:60"
"Path: /home/sixsquare/codeQL/projects/dbeaver/plugins/org.jkiss.dbeaver.model/src/org/jkiss/dbeaver/model/impl/app/DefaultCertificateStorage.java","call function: 212:49-212:83","call in function: addSelfSignedCertificate@204-226","callee=java.security.KeyPairGenerator.getInstance","basic block: 212:49-212:83"
"Path: /home/sixsquare/codeQL/projects/dbeaver/plugins/org.jkiss.dbeaver.model/src/org/jkiss/dbeaver/model/impl/app/DefaultCertificateStorage.java","call function: 213:31-213:64","call in function: addSelfSignedCertificate@204-226","callee=java.security.KeyPairGenerator.generateKeyPair","basic block: 213:31-213:64"
"Path: /home/sixsquare/codeQL/projects/dbeaver/plugins/org.jkiss.dbeaver.model/src/org/jkiss/dbeaver/model/impl/app/DefaultValueEncryptor.java","call function: 52:27-52:57","call in function: DefaultValueEncryptor@49-56","callee=javax.crypto.Cipher.getInstance","basic block: 52:27-52:57"
