"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/test/java/com/lmax/disruptor/TimeoutBlockingWaitStrategyTest.java","call function: 23:19-23:44","call in function: shouldTimeoutWaitFor@15-32","callee=java.lang.System.currentTimeMillis","basic block: 23:19-23:44"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/test/java/com/lmax/disruptor/TimeoutBlockingWaitStrategyTest.java","call function: 27:19-27:44","call in function: shouldTimeoutWaitFor@15-32","callee=java.lang.System.currentTimeMillis","basic block: 27:19-27:44"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/test/java/com/lmax/disruptor/DisruptorStressTest.java","call function: 111:18-111:55","call in function: onEvent@106-117","callee=java.lang.String.equals","basic block: 111:18-111:55"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/test/java/com/lmax/disruptor/LiteTimeoutBlockingWaitStrategyTest.java","call function: 22:19-22:44","call in function: shouldTimeoutWaitFor@14-31","callee=java.lang.System.currentTimeMillis","basic block: 22:19-22:44"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/test/java/com/lmax/disruptor/LiteTimeoutBlockingWaitStrategyTest.java","call function: 26:19-26:44","call in function: shouldTimeoutWaitFor@14-31","callee=java.lang.System.currentTimeMillis","basic block: 26:19-26:44"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/test/java/com/lmax/disruptor/dsl/DisruptorTest.java","call function: 725:26-725:51","call in function: assertProducerReaches@720-743","callee=java.lang.System.currentTimeMillis","basic block: 725:26-725:51"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/test/java/com/lmax/disruptor/dsl/DisruptorTest.java","call function: 726:82-727:32","call in function: assertProducerReaches@720-743","callee=java.lang.System.currentTimeMillis","basic block: 726:82-727:32"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/test/java/com/lmax/disruptor/dsl/stubs/StubThreadFactory.java","call function: 113:25-113:100","call in function: afterEach@104-127","callee=java.lang.String.equalsIgnoreCase","basic block: 113:25-113:100"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/test/java/com/lmax/disruptor/support/StubEvent.java","call function: 81:37-81:75","call in function: equals@64-82","callee=java.lang.String.equals","basic block: 81:37-81:75"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/examples/java/com/lmax/disruptor/examples/support/StubEvent.java","call function: 81:37-81:75","call in function: equals@64-82","callee=java.lang.String.equals","basic block: 81:37-81:75"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/queue/ThreeToOneQueueBatchThroughputTest.java","call function: 116:22-116:47","call in function: runQueuePass@104-131","callee=java.lang.System.currentTimeMillis","basic block: 116:22-116:47"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/queue/ThreeToOneQueueBatchThroughputTest.java","call function: 126:53-126:78","call in function: runQueuePass@104-131","callee=java.lang.System.currentTimeMillis","basic block: 126:53-126:78"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/queue/OneToOneQueueThroughputTest.java","call function: 80:22-80:47","call in function: runQueuePass@75-95","callee=java.lang.System.currentTimeMillis","basic block: 80:22-80:47"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/queue/OneToOneQueueThroughputTest.java","call function: 88:53-88:78","call in function: runQueuePass@75-95","callee=java.lang.System.currentTimeMillis","basic block: 88:53-88:78"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/queue/OneToThreePipelineQueueThroughputTest.java","call function: 121:22-121:47","call in function: runQueuePass@111-147","callee=java.lang.System.currentTimeMillis","basic block: 121:22-121:47"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/queue/OneToThreePipelineQueueThroughputTest.java","call function: 133:53-133:78","call in function: runQueuePass@111-147","callee=java.lang.System.currentTimeMillis","basic block: 133:53-133:78"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/queue/PingPongQueueLatencyTest.java","call function: 158:37-158:53","call in function: run@146-178","callee=java.lang.System.nanoTime","basic block: 158:37-158:53"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/queue/PingPongQueueLatencyTest.java","call function: 161:37-161:53","call in function: run@146-178","callee=java.lang.System.nanoTime","basic block: 161:37-161:53"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/queue/PingPongQueueLatencyTest.java","call function: 165:43-165:59","call in function: run@146-178","callee=java.lang.System.nanoTime","basic block: 165:43-165:59"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/queue/OneToOneQueueBatchedThroughputTest.java","call function: 80:22-80:47","call in function: runQueuePass@75-95","callee=java.lang.System.currentTimeMillis","basic block: 80:22-80:47"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/queue/OneToOneQueueBatchedThroughputTest.java","call function: 88:53-88:78","call in function: runQueuePass@75-95","callee=java.lang.System.currentTimeMillis","basic block: 88:53-88:78"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/queue/ThreeToOneQueueThroughputTest.java","call function: 116:22-116:47","call in function: runQueuePass@104-131","callee=java.lang.System.currentTimeMillis","basic block: 116:22-116:47"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/queue/ThreeToOneQueueThroughputTest.java","call function: 126:53-126:78","call in function: runQueuePass@104-131","callee=java.lang.System.currentTimeMillis","basic block: 126:53-126:78"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/queue/OneToThreeQueueThroughputTest.java","call function: 131:22-131:47","call in function: runQueuePass@121-152","callee=java.lang.System.currentTimeMillis","basic block: 131:22-131:47"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/queue/OneToThreeQueueThroughputTest.java","call function: 143:53-143:78","call in function: runQueuePass@121-152","callee=java.lang.System.currentTimeMillis","basic block: 143:53-143:78"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/queue/OneToThreeDiamondQueueThroughputTest.java","call function: 160:22-160:47","call in function: runQueuePass@150-184","callee=java.lang.System.currentTimeMillis","basic block: 160:22-160:47"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/queue/OneToThreeDiamondQueueThroughputTest.java","call function: 170:53-170:78","call in function: runQueuePass@150-184","callee=java.lang.System.currentTimeMillis","basic block: 170:53-170:78"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/translator/OneToOneTranslatorThroughputTest.java","call function: 106:22-106:47","call in function: runDisruptorPass@97-124","callee=java.lang.System.currentTimeMillis","basic block: 106:22-106:47"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/translator/OneToOneTranslatorThroughputTest.java","call function: 117:65-117:90","call in function: runDisruptorPass@97-124","callee=java.lang.System.currentTimeMillis","basic block: 117:65-117:90"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/main/java/com/lmax/disruptor/dsl/Disruptor.java","call function: 407:32-407:48","call in function: shutdown@405-417","callee=java.lang.System.nanoTime","basic block: 407:32-407:48"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/main/java/com/lmax/disruptor/dsl/Disruptor.java","call function: 410:33-410:49","call in function: shutdown@405-417","callee=java.lang.System.nanoTime","basic block: 410:33-410:49"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/offheap/OneToOneOnHeapThroughputTest.java","call function: 68:22-68:47","call in function: runDisruptorPass@59-89","callee=java.lang.System.currentTimeMillis","basic block: 68:22-68:47"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/offheap/OneToOneOnHeapThroughputTest.java","call function: 83:65-83:90","call in function: runDisruptorPass@59-89","callee=java.lang.System.currentTimeMillis","basic block: 83:65-83:90"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/offheap/OneToOneOffHeapThroughputTest.java","call function: 68:22-68:47","call in function: runDisruptorPass@59-84","callee=java.lang.System.currentTimeMillis","basic block: 68:22-68:47"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/offheap/OneToOneOffHeapThroughputTest.java","call function: 78:65-78:90","call in function: runDisruptorPass@59-84","callee=java.lang.System.currentTimeMillis","basic block: 78:65-78:90"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/main/java/com/lmax/disruptor/util/Util.java","call function: 117:19-117:35","call in function: awaitNanos@112-122","callee=java.lang.System.nanoTime","basic block: 117:19-117:35"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/main/java/com/lmax/disruptor/util/Util.java","call function: 119:19-119:35","call in function: awaitNanos@112-122","callee=java.lang.System.nanoTime","basic block: 119:19-119:35"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/main/java/com/lmax/disruptor/PhasedBackoffWaitStrategy.java","call function: 124:33-124:49","call in function: waitFor@106-142","callee=java.lang.System.nanoTime","basic block: 124:33-124:49"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/main/java/com/lmax/disruptor/PhasedBackoffWaitStrategy.java","call function: 128:38-128:54","call in function: waitFor@106-142","callee=java.lang.System.nanoTime","basic block: 128:38-128:54"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/raw/OneToOneRawThroughputTest.java","call function: 106:22-106:47","call in function: runDisruptorPass@99-121","callee=java.lang.System.currentTimeMillis","basic block: 106:22-106:47"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/raw/OneToOneRawThroughputTest.java","call function: 117:65-117:90","call in function: runDisruptorPass@99-121","callee=java.lang.System.currentTimeMillis","basic block: 117:65-117:90"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/raw/OneToOneRawBatchThroughputTest.java","call function: 107:22-107:47","call in function: runDisruptorPass@99-123","callee=java.lang.System.currentTimeMillis","basic block: 107:22-107:47"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/raw/OneToOneRawBatchThroughputTest.java","call function: 118:20-118:45","call in function: runDisruptorPass@99-123","callee=java.lang.System.currentTimeMillis","basic block: 118:20-118:45"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/sequenced/OneToOneSequencedLongArrayThroughputTest.java","call function: 102:22-102:47","call in function: runDisruptorPass@95-126","callee=java.lang.System.currentTimeMillis","basic block: 102:22-102:47"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/sequenced/OneToOneSequencedLongArrayThroughputTest.java","call function: 118:78-118:103","call in function: runDisruptorPass@95-126","callee=java.lang.System.currentTimeMillis","basic block: 118:78-118:103"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/sequenced/OneToThreeSequencedThroughputTest.java","call function: 142:22-142:47","call in function: runDisruptorPass@132-161","callee=java.lang.System.currentTimeMillis","basic block: 142:22-142:47"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/sequenced/OneToThreeSequencedThroughputTest.java","call function: 152:65-152:90","call in function: runDisruptorPass@132-161","callee=java.lang.System.currentTimeMillis","basic block: 152:65-152:90"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/sequenced/OneToOneSequencedThroughputTest.java","call function: 102:22-102:47","call in function: runDisruptorPass@95-122","callee=java.lang.System.currentTimeMillis","basic block: 102:22-102:47"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/sequenced/OneToOneSequencedThroughputTest.java","call function: 114:65-114:90","call in function: runDisruptorPass@95-122","callee=java.lang.System.currentTimeMillis","basic block: 114:65-114:90"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/sequenced/OneToThreePipelineSequencedThroughputTest.java","call function: 141:22-141:47","call in function: runDisruptorPass@130-163","callee=java.lang.System.currentTimeMillis","basic block: 141:22-141:47"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/sequenced/OneToThreePipelineSequencedThroughputTest.java","call function: 154:65-154:90","call in function: runDisruptorPass@130-163","callee=java.lang.System.currentTimeMillis","basic block: 154:65-154:90"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/sequenced/OneToOneSequencedBatchThroughputTest.java","call function: 103:22-103:47","call in function: runDisruptorPass@96-127","callee=java.lang.System.currentTimeMillis","basic block: 103:22-103:47"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/sequenced/OneToOneSequencedBatchThroughputTest.java","call function: 119:78-119:103","call in function: runDisruptorPass@96-127","callee=java.lang.System.currentTimeMillis","basic block: 119:78-119:103"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/sequenced/OneToThreeDiamondSequencedThroughputTest.java","call function: 153:22-153:47","call in function: runDisruptorPass@143-172","callee=java.lang.System.currentTimeMillis","basic block: 153:22-153:47"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/sequenced/OneToThreeDiamondSequencedThroughputTest.java","call function: 163:65-163:90","call in function: runDisruptorPass@143-172","callee=java.lang.System.currentTimeMillis","basic block: 163:65-163:90"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/sequenced/ThreeToOneSequencedBatchThroughputTest.java","call function: 134:22-134:47","call in function: runDisruptorPass@121-149","callee=java.lang.System.currentTimeMillis","basic block: 134:22-134:47"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/sequenced/ThreeToOneSequencedBatchThroughputTest.java","call function: 144:65-144:90","call in function: runDisruptorPass@121-149","callee=java.lang.System.currentTimeMillis","basic block: 144:65-144:90"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/sequenced/PingPongSequencedLatencyTest.java","call function: 169:29-169:45","call in function: onEvent@167-186","callee=java.lang.System.nanoTime","basic block: 169:29-169:45"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/sequenced/PingPongSequencedLatencyTest.java","call function: 175:39-175:55","call in function: onEvent@167-186","callee=java.lang.System.nanoTime","basic block: 175:39-175:55"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/sequenced/PingPongSequencedLatencyTest.java","call function: 190:18-190:34","call in function: send@188-196","callee=java.lang.System.nanoTime","basic block: 190:18-190:34"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/sequenced/OneToOneSequencedPollerThroughputTest.java","call function: 176:22-176:47","call in function: runDisruptorPass@169-196","callee=java.lang.System.currentTimeMillis","basic block: 176:22-176:47"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/sequenced/OneToOneSequencedPollerThroughputTest.java","call function: 188:65-188:90","call in function: runDisruptorPass@169-196","callee=java.lang.System.currentTimeMillis","basic block: 188:65-188:90"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/sequenced/ThreeToThreeSequencedThroughputTest.java","call function: 131:22-131:47","call in function: runDisruptorPass@118-146","callee=java.lang.System.currentTimeMillis","basic block: 131:22-131:47"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/sequenced/ThreeToThreeSequencedThroughputTest.java","call function: 141:78-141:103","call in function: runDisruptorPass@118-146","callee=java.lang.System.currentTimeMillis","basic block: 141:78-141:103"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/sequenced/ThreeToOneSequencedThroughputTest.java","call function: 135:22-135:47","call in function: runDisruptorPass@121-150","callee=java.lang.System.currentTimeMillis","basic block: 135:22-135:47"
"Path: /home/sixsquare/codeQL/projects/disruptor/src/perftest/java/com/lmax/disruptor/sequenced/ThreeToOneSequencedThroughputTest.java","call function: 145:65-145:90","call in function: runDisruptorPass@121-150","callee=java.lang.System.currentTimeMillis","basic block: 145:65-145:90"
