"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/druid/core/src/main/java/com/alibaba/druid/filter/config/ConfigTools.java","call function: 68:18-68:46","call in function: getPublicKeyByX509@61-79","callee=java.io.FileInputStream.<init>","basic block: 68:18-68:46"
"Path: /home/sixsquare/codeQL/projects/druid/core/src/main/java/com/alibaba/druid/filter/config/ConfigTools.java","call function: 105:18-105:51","call in function: getPublicKeyByPublicKeyFile@98-122","callee=java.io.FileInputStream.<init>","basic block: 105:18-105:51"
"Path: /home/sixsquare/codeQL/projects/druid/core/src/main/java/com/alibaba/druid/filter/config/ConfigTools.java","call function: 190:33-190:50","call in function: genKeyPairBytes@185-197","callee=java.security.SecureRandom.<init>","basic block: 190:33-190:50"
"Path: /home/sixsquare/codeQL/projects/druid/core/src/main/java/com/alibaba/druid/filter/config/ConfigFilter.java","call function: 270:21-270:38","call in function: getFileAsStream@268-277","callee=java.io.File.<init>","basic block: 270:21-270:38"
"Path: /home/sixsquare/codeQL/projects/druid/core/src/main/java/com/alibaba/druid/filter/config/ConfigFilter.java","call function: 271:13-271:25","call in function: getFileAsStream@268-277","callee=java.io.File.exists","basic block: 271:13-271:25"
"Path: /home/sixsquare/codeQL/projects/druid/core/src/main/java/com/alibaba/druid/filter/config/ConfigFilter.java","call function: 272:24-272:48","call in function: getFileAsStream@268-277","callee=java.io.FileInputStream.<init>","basic block: 272:24-272:48"
"Path: /home/sixsquare/codeQL/projects/druid/core/src/main/java/com/alibaba/druid/sql/parser/SQLStatementParser.java","call function: 6250:41-6250:57","call in function: parseValueClauseNative@6027-6356","callee=java.util.UUID.randomUUID","basic block: 6250:41-6250:57"
"Path: /home/sixsquare/codeQL/projects/druid/core/src/main/java/com/alibaba/druid/pool/ha/selector/RandomDataSourceSelector.java","call function: 42:29-42:40","call in function: <obinit>@33-33","callee=java.util.Random.<init>","basic block: 42:29-42:40"
"Path: /home/sixsquare/codeQL/projects/druid/core/src/main/java/com/alibaba/druid/pool/ha/selector/RandomDataSourceSelector.java","call function: 237:32-237:67","call in function: getRandomDataSource@234-240","callee=java.util.Random.nextInt","basic block: 237:32-237:67"
"Path: /home/sixsquare/codeQL/projects/druid/core/src/main/java/com/alibaba/druid/pool/ha/PropertiesUtils.java","call function: 48:18-48:42","call in function: loadProperties@37-76","callee=java.io.FileInputStream.<init>","basic block: 48:18-48:42"
