"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/common/cache/FileCacheStore.java","call function: 244:13-244:28","call in function: write@239-245","callee=java.io.Writer.write","basic block: 244:13-244:28"
"Path: /home/sixsquare/codeQL/projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/common/compiler/support/ClassUtils.java","call function: 275:9-275:46","call in function: toString@272-286","callee=java.io.PrintWriter.print","basic block: 275:9-275:46"
"Path: /home/sixsquare/codeQL/projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/common/compiler/support/ClassUtils.java","call function: 277:13-277:42","call in function: toString@272-286","callee=java.io.PrintWriter.print","basic block: 277:13-277:42"
"Path: /home/sixsquare/codeQL/projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/common/compiler/support/ClassUtils.java","call function: 279:9-279:19","call in function: toString@272-286","callee=java.io.PrintWriter.println","basic block: 279:9-279:19"
"Path: /home/sixsquare/codeQL/projects/dubbo/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/filter/AccessLogFilter.java","call function: 217:17-217:61","call in function: processWithAccessKeyLogger@213-224","callee=java.io.Writer.write","basic block: 217:17-217:61"
"Path: /home/sixsquare/codeQL/projects/dubbo/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/filter/AccessLogFilter.java","call function: 218:17-218:96","call in function: processWithAccessKeyLogger@213-224","callee=java.io.Writer.write","basic block: 218:17-218:96"
"Path: /home/sixsquare/codeQL/projects/dubbo/dubbo-remoting/dubbo-remoting-http12/src/main/java/org/apache/dubbo/remoting/http12/LimitedByteArrayOutputStream.java","call function: 47:9-47:22","call in function: write@45-48","callee=java.io.OutputStream.write","basic block: 47:9-47:22"
"Path: /home/sixsquare/codeQL/projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/common/io/Bytes.java","call function: 791:13-791:27","call in function: zip@787-797","callee=java.io.OutputStream.write","basic block: 791:13-791:27"
"Path: /home/sixsquare/codeQL/projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/common/io/StreamUtils.java","call function: 249:13-249:43","call in function: copy@241-251","callee=java.io.OutputStream.write","basic block: 249:13-249:43"
"Path: /home/sixsquare/codeQL/projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/common/io/StreamUtils.java","call function: 257:9-257:33","call in function: copy@253-258","callee=java.io.OutputStream.write","basic block: 257:9-257:33"
"Path: /home/sixsquare/codeQL/projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/common/io/UnsafeByteArrayOutputStream.java","call function: 86:9-86:37","call in function: writeTo@85-87","callee=java.io.OutputStream.write","basic block: 86:9-86:37"
"Path: /home/sixsquare/codeQL/projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/common/utils/IOUtils.java","call function: 94:13-94:38","call in function: write@89-98","callee=java.io.OutputStream.write","basic block: 94:13-94:38"
"Path: /home/sixsquare/codeQL/projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/common/utils/IOUtils.java","call function: 153:13-153:38","call in function: write@148-157","callee=java.io.Writer.write","basic block: 153:13-153:38"
"Path: /home/sixsquare/codeQL/projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/common/utils/IOUtils.java","call function: 214:17-214:36","call in function: writeLines@211-218","callee=java.io.PrintWriter.println","basic block: 214:17-214:36"
"Path: /home/sixsquare/codeQL/projects/dubbo/dubbo-remoting/dubbo-remoting-http12/src/main/java/org/apache/dubbo/remoting/http12/message/ServerSentEventEncoder.java","call function: 74:13-74:63","call in function: encode@45-78","callee=java.io.OutputStream.write","basic block: 74:13-74:63"
"Path: /home/sixsquare/codeQL/projects/dubbo/dubbo-common/src/main/java/org/apache/dubbo/common/utils/JVMUtil.java","call function: 37:13-37:90","call in function: jstack@34-39","callee=java.io.OutputStream.write","basic block: 37:13-37:90"
"Path: /home/sixsquare/codeQL/projects/dubbo/dubbo-remoting/dubbo-remoting-http12/src/main/java/org/apache/dubbo/remoting/http12/message/codec/BinaryCodec.java","call function: 40:17-40:39","call in function: encode@34-47","callee=java.io.OutputStream.write","basic block: 40:17-40:39"
"Path: /home/sixsquare/codeQL/projects/dubbo/dubbo-remoting/dubbo-remoting-http12/src/main/java/org/apache/dubbo/remoting/http12/message/codec/HtmlCodec.java","call function: 53:17-53:61","call in function: encode@47-62","callee=java.io.OutputStream.write","basic block: 53:17-53:61"
"Path: /home/sixsquare/codeQL/projects/dubbo/dubbo-remoting/dubbo-remoting-http12/src/main/java/org/apache/dubbo/remoting/http12/message/codec/HtmlCodec.java","call function: 56:13-56:66","call in function: encode@47-62","callee=java.io.OutputStream.write","basic block: 56:13-56:66"
"Path: /home/sixsquare/codeQL/projects/dubbo/dubbo-remoting/dubbo-remoting-http12/src/main/java/org/apache/dubbo/remoting/http12/message/codec/JsonCodec.java","call function: 50:13-50:66","call in function: encode@48-56","callee=java.io.OutputStream.write","basic block: 50:13-50:66"
