"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/easyexcel/easyexcel-core/src/main/java/com/alibaba/excel/write/builder/ExcelWriterBuilder.java","call function: 85:21-85:44","call in function: file@84-86","callee=java.io.File.<init>","basic block: 85:21-85:44"
"Path: /home/sixsquare/codeQL/projects/easyexcel/easyexcel-core/src/main/java/com/alibaba/excel/write/builder/ExcelWriterBuilder.java","call function: 129:29-129:46","call in function: withTemplate@128-130","callee=java.io.File.<init>","basic block: 129:29-129:46"
"Path: /home/sixsquare/codeQL/projects/easyexcel/easyexcel-core/src/main/java/com/alibaba/excel/util/FileUtils.java","call function: 58:25-58:48","call in function: <clinit>@33-33","callee=java.io.File.<init>","basic block: 58:25-58:48"
"Path: /home/sixsquare/codeQL/projects/easyexcel/easyexcel-core/src/main/java/com/alibaba/excel/util/FileUtils.java","call function: 62:26-62:44","call in function: <clinit>@33-33","callee=java.io.File.<init>","basic block: 62:26-62:44"
"Path: /home/sixsquare/codeQL/projects/easyexcel/easyexcel-core/src/main/java/com/alibaba/excel/util/FileUtils.java","call function: 60:9-60:31","call in function: <clinit>@33-33","callee=java.io.File.deleteOnExit","basic block: 60:9-60:31"
"Path: /home/sixsquare/codeQL/projects/easyexcel/easyexcel-core/src/main/java/com/alibaba/excel/util/FileUtils.java","call function: 76:37-76:49","call in function: readFileToByteArray@73-81","callee=java.io.File.length","basic block: 76:37-76:49"
"Path: /home/sixsquare/codeQL/projects/easyexcel/easyexcel-core/src/main/java/com/alibaba/excel/util/FileUtils.java","call function: 97:13-97:25","call in function: openInputStream@96-108","callee=java.io.File.exists","basic block: 97:13-97:25"
"Path: /home/sixsquare/codeQL/projects/easyexcel/easyexcel-core/src/main/java/com/alibaba/excel/util/FileUtils.java","call function: 98:17-98:34","call in function: openInputStream@96-108","callee=java.io.File.isDirectory","basic block: 98:17-98:34"
"Path: /home/sixsquare/codeQL/projects/easyexcel/easyexcel-core/src/main/java/com/alibaba/excel/util/FileUtils.java","call function: 101:17-101:30","call in function: openInputStream@96-108","callee=java.io.File.canRead","basic block: 101:17-101:30"
"Path: /home/sixsquare/codeQL/projects/easyexcel/easyexcel-core/src/main/java/com/alibaba/excel/util/FileUtils.java","call function: 107:16-107:40","call in function: openInputStream@96-108","callee=java.io.FileInputStream.<init>","basic block: 107:16-107:40"
