"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-tools/src/main/java/me/zhengjie/rest/S3StorageController.java","call function: 45:1-45:6","call in function: <clinit>@50-50","callee=org.slf4j.LoggerFactory.getLogger","basic block: 45:1-45:6"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-generator/src/main/java/me/zhengjie/service/impl/GeneratorServiceImpl.java","call function: 55:39-55:89","call in function: <clinit>@54-54","callee=org.slf4j.LoggerFactory.getLogger","basic block: 55:39-55:89"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-generator/src/main/java/me/zhengjie/service/impl/GeneratorServiceImpl.java","call function: 177:13-177:40","call in function: generator@170-180","callee=org.slf4j.Logger.error","basic block: 177:13-177:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-generator/src/main/java/me/zhengjie/utils/GenUtil.java","call function: 40:1-40:6","call in function: <clinit>@42-42","callee=org.slf4j.LoggerFactory.getLogger","basic block: 40:1-40:6"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-logging/src/main/java/me/zhengjie/aspect/LogAspect.java","call function: 40:1-40:6","call in function: <clinit>@41-41","callee=org.slf4j.LoggerFactory.getLogger","basic block: 40:1-40:6"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-tools/src/main/java/me/zhengjie/utils/AlipayUtils.java","call function: 64:47-64:71","call in function: rsaCheck@60-84","callee=javax.servlet.ServletRequest.getParameterMap","basic block: 64:47-64:71"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/exception/handler/GlobalExceptionHandler.java","call function: 37:1-37:6","call in function: <clinit>@39-39","callee=org.slf4j.LoggerFactory.getLogger","basic block: 37:1-37:6"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/exception/handler/GlobalExceptionHandler.java","call function: 47:9-47:49","call in function: handleException@45-49","callee=org.slf4j.Logger.error","basic block: 47:9-47:49"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/exception/handler/GlobalExceptionHandler.java","call function: 58:9-58:26","call in function: badCredentialsException@55-60","callee=org.slf4j.Logger.error","basic block: 58:9-58:26"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/exception/handler/GlobalExceptionHandler.java","call function: 68:9-68:49","call in function: badRequestException@66-70","callee=org.slf4j.Logger.error","basic block: 68:9-68:49"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/exception/handler/GlobalExceptionHandler.java","call function: 78:9-78:49","call in function: entityExistException@76-80","callee=org.slf4j.Logger.error","basic block: 78:9-78:49"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/exception/handler/GlobalExceptionHandler.java","call function: 88:9-88:49","call in function: entityNotFoundException@86-90","callee=org.slf4j.Logger.error","basic block: 88:9-88:49"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/exception/handler/GlobalExceptionHandler.java","call function: 98:9-98:49","call in function: handleMethodArgumentNotValidException@96-105","callee=org.slf4j.Logger.error","basic block: 98:9-98:49"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 40:39-40:79","call in function: <clinit>@39-39","callee=org.slf4j.LoggerFactory.getLogger","basic block: 40:39-40:79"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 62:13-62:40","call in function: expire@56-66","callee=org.slf4j.Logger.error","basic block: 62:13-62:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 81:13-81:40","call in function: expire@75-85","callee=org.slf4j.Logger.error","basic block: 81:13-81:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 115:13-115:40","call in function: scan@103-118","callee=org.slf4j.Logger.error","basic block: 115:13-115:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 153:13-153:40","call in function: findKeysForPage@128-156","callee=org.slf4j.Logger.error","basic block: 153:13-153:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 168:13-168:40","call in function: hasKey@164-171","callee=org.slf4j.Logger.error","basic block: 168:13-168:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 182:17-182:73","call in function: del@178-198","callee=org.slf4j.Logger.debug","basic block: 182:17-182:73"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 183:17-183:110","call in function: del@178-198","callee=org.slf4j.Logger.debug","basic block: 183:17-183:110"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 184:17-184:73","call in function: del@178-198","callee=org.slf4j.Logger.debug","basic block: 184:17-184:73"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 192:17-192:73","call in function: del@178-198","callee=org.slf4j.Logger.debug","basic block: 192:17-192:73"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 193:17-193:56","call in function: del@178-198","callee=org.slf4j.Logger.debug","basic block: 193:17-193:56"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 194:17-194:50","call in function: del@178-198","callee=org.slf4j.Logger.debug","basic block: 194:17-194:50"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 195:17-195:73","call in function: del@178-198","callee=org.slf4j.Logger.debug","basic block: 195:17-195:73"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 317:17-317:78","call in function: set@309-321","callee=org.slf4j.Logger.error","basic block: 317:17-317:78"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 340:13-340:40","call in function: set@331-343","callee=org.slf4j.Logger.error","basic block: 340:13-340:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 363:13-363:40","call in function: set@354-366","callee=org.slf4j.Logger.error","basic block: 363:13-363:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 404:13-404:40","call in function: hmset@399-407","callee=org.slf4j.Logger.error","basic block: 404:13-404:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 425:13-425:40","call in function: hmset@417-428","callee=org.slf4j.Logger.error","basic block: 425:13-425:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 443:13-443:40","call in function: hset@438-446","callee=org.slf4j.Logger.error","basic block: 443:13-443:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 465:13-465:40","call in function: hset@457-468","callee=org.slf4j.Logger.error","basic block: 465:13-465:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 527:13-527:40","call in function: sGet@523-530","callee=org.slf4j.Logger.error","basic block: 527:13-527:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 543:13-543:40","call in function: sHasKey@539-546","callee=org.slf4j.Logger.error","basic block: 543:13-543:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 559:13-559:40","call in function: sSet@555-562","callee=org.slf4j.Logger.error","basic block: 559:13-559:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 580:13-580:40","call in function: sSetAndTime@572-583","callee=org.slf4j.Logger.error","basic block: 580:13-580:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 595:13-595:40","call in function: sGetSetSize@591-598","callee=org.slf4j.Logger.error","basic block: 595:13-595:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 612:13-612:40","call in function: setRemove@607-615","callee=org.slf4j.Logger.error","basic block: 612:13-612:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 631:13-631:40","call in function: lGet@627-634","callee=org.slf4j.Logger.error","basic block: 631:13-631:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 646:13-646:40","call in function: lGetListSize@642-649","callee=org.slf4j.Logger.error","basic block: 646:13-646:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 662:13-662:40","call in function: lGetIndex@658-665","callee=org.slf4j.Logger.error","basic block: 662:13-662:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 679:13-679:40","call in function: lSet@674-682","callee=org.slf4j.Logger.error","basic block: 679:13-679:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 700:13-700:40","call in function: lSet@692-703","callee=org.slf4j.Logger.error","basic block: 700:13-700:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 717:13-717:40","call in function: lSet@712-720","callee=org.slf4j.Logger.error","basic block: 717:13-717:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 738:13-738:40","call in function: lSet@730-741","callee=org.slf4j.Logger.error","basic block: 738:13-738:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 756:13-756:40","call in function: lUpdateIndex@751-759","callee=org.slf4j.Logger.error","basic block: 756:13-756:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/RedisUtils.java","call function: 773:13-773:40","call in function: lRemove@769-776","callee=org.slf4j.Logger.error","basic block: 773:13-773:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/aspect/LimitAspect.java","call function: 46:42-46:83","call in function: <clinit>@43-43","callee=org.slf4j.LoggerFactory.getLogger","basic block: 46:42-46:83"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/aspect/LimitAspect.java","call function: 72:103-72:125","call in function: around@57-83","callee=javax.servlet.http.HttpServletRequest.getRequestURI","basic block: 72:103-72:125"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/aspect/LimitAspect.java","call function: 78:13-78:80","call in function: around@57-83","callee=org.slf4j.Logger.info","basic block: 78:13-78:80"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/config/RedisConfiguration.java","call function: 50:1-50:6","call in function: <clinit>@54-54","callee=org.slf4j.LoggerFactory.getLogger","basic block: 50:1-50:6"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/config/RedisConfiguration.java","call function: 136:17-136:71","call in function: handleCacheGetError@134-137","callee=org.slf4j.Logger.error","basic block: 136:17-136:71"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/config/RedisConfiguration.java","call function: 141:17-141:71","call in function: handleCachePutError@139-142","callee=org.slf4j.Logger.error","basic block: 141:17-141:71"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/config/RedisConfiguration.java","call function: 146:17-146:73","call in function: handleCacheEvictError@144-147","callee=org.slf4j.Logger.error","basic block: 146:17-146:73"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/config/RedisConfiguration.java","call function: 151:17-151:73","call in function: handleCacheClearError@149-152","callee=org.slf4j.Logger.error","basic block: 151:17-151:73"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/SecurityUtils.java","call function: 42:1-42:6","call in function: <clinit>@44-44","callee=org.slf4j.LoggerFactory.getLogger","basic block: 42:1-42:6"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/SecurityUtils.java","call function: 136:30-136:54","call in function: getToken@133-144","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 136:30-136:54"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/SecurityUtils.java","call function: 141:13-141:48","call in function: getToken@133-144","callee=org.slf4j.Logger.debug","basic block: 141:13-141:48"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/config/CustomP6SpyLogger.java","call function: 27:1-27:6","call in function: <clinit>@28-28","callee=org.slf4j.LoggerFactory.getLogger","basic block: 27:1-27:6"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/config/CustomP6SpyLogger.java","call function: 56:16-59:9","call in function: formatMessage@49-60","callee=java.lang.String.format","basic block: 56:16-59:9"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/config/RemoveDruidAdConfig.java","call function: 57:21-57:47","call in function: doFilter@54-69","callee=javax.servlet.http.HttpServletRequest.getRequestURI","basic block: 57:21-57:47"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/config/RemoveDruidAdConfig.java","call function: 65:21-65:56","call in function: doFilter@54-69","callee=java.io.PrintWriter.write","basic block: 65:21-65:56"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/QueryHelp.java","call function: 32:1-32:6","call in function: <clinit>@34-34","callee=org.slf4j.LoggerFactory.getLogger","basic block: 32:1-32:6"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/QueryHelp.java","call function: 183:13-183:40","call in function: getPredicate@36-187","callee=org.slf4j.Logger.error","basic block: 183:13-183:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/FileUtil.java","call function: 44:1-44:6","call in function: <clinit>@45-45","callee=org.slf4j.LoggerFactory.getLogger","basic block: 44:1-44:6"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/FileUtil.java","call function: 100:13-100:40","call in function: toFile@88-103","callee=org.slf4j.Logger.error","basic block: 100:13-100:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/FileUtil.java","call function: 169:13-169:40","call in function: inputStreamToFile@154-175","callee=org.slf4j.Logger.error","basic block: 169:13-169:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/FileUtil.java","call function: 202:13-202:40","call in function: upload@180-205","callee=org.slf4j.Logger.error","basic block: 202:13-202:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/FileUtil.java","call function: 304:17-304:44","call in function: getByte@295-313","callee=org.slf4j.Logger.error","basic block: 304:17-304:44"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/FileUtil.java","call function: 307:13-307:40","call in function: getByte@295-313","callee=org.slf4j.Logger.error","basic block: 307:13-307:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/FileUtil.java","call function: 332:13-332:40","call in function: getMd5@315-335","callee=org.slf4j.Logger.error","basic block: 332:13-332:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/FileUtil.java","call function: 354:13-354:40","call in function: downloadFile@344-367","callee=org.slf4j.Logger.error","basic block: 354:13-354:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/FileUtil.java","call function: 363:21-363:48","call in function: downloadFile@344-367","callee=org.slf4j.Logger.error","basic block: 363:21-363:48"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/SpringBeanHolder.java","call function: 33:1-33:6","call in function: <clinit>@35-35","callee=org.slf4j.LoggerFactory.getLogger","basic block: 33:1-33:6"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/SpringBeanHolder.java","call function: 51:13-51:74","call in function: addCallBacks@47-54","callee=org.slf4j.Logger.warn","basic block: 51:13-51:74"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/SpringBeanHolder.java","call function: 123:9-124:37","call in function: clearHolder@122-126","callee=org.slf4j.Logger.debug","basic block: 123:9-124:37"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/SpringBeanHolder.java","call function: 136:13-136:128","call in function: setApplicationContext@134-146","callee=org.slf4j.Logger.warn","basic block: 136:13-136:128"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/StringUtils.java","call function: 35:1-35:6","call in function: <clinit>@36-36","callee=org.slf4j.LoggerFactory.getLogger","basic block: 35:1-35:6"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/StringUtils.java","call function: 135:21-135:56","call in function: getIp@134-159","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 135:21-135:56"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/StringUtils.java","call function: 137:18-137:53","call in function: getIp@134-159","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 137:18-137:53"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/StringUtils.java","call function: 140:18-140:56","call in function: getIp@134-159","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 140:18-140:56"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/StringUtils.java","call function: 155:17-155:44","call in function: getIp@134-159","callee=org.slf4j.Logger.error","basic block: 155:17-155:44"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-common/src/main/java/me/zhengjie/utils/StringUtils.java","call function: 176:44-176:74","call in function: getBrowser@175-179","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 176:44-176:74"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-tools/src/main/java/me/zhengjie/rest/AliPayController.java","call function: 45:1-45:6","call in function: <clinit>@50-50","callee=org.slf4j.LoggerFactory.getLogger","basic block: 45:1-45:6"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-tools/src/main/java/me/zhengjie/rest/AliPayController.java","call function: 97:44-97:79","call in function: returnPage@91-108","callee=javax.servlet.ServletRequest.getParameter","basic block: 97:44-97:79"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-tools/src/main/java/me/zhengjie/rest/AliPayController.java","call function: 99:41-99:72","call in function: returnPage@91-108","callee=javax.servlet.ServletRequest.getParameter","basic block: 99:41-99:72"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-tools/src/main/java/me/zhengjie/rest/AliPayController.java","call function: 116:46-116:70","call in function: notify@114-134","callee=javax.servlet.ServletRequest.getParameterMap","basic block: 116:46-116:70"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-tools/src/main/java/me/zhengjie/rest/AliPayController.java","call function: 120:45-120:80","call in function: notify@114-134","callee=javax.servlet.ServletRequest.getParameter","basic block: 120:45-120:80"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-tools/src/main/java/me/zhengjie/rest/AliPayController.java","call function: 122:44-122:79","call in function: notify@114-134","callee=javax.servlet.ServletRequest.getParameter","basic block: 122:44-122:79"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-tools/src/main/java/me/zhengjie/rest/AliPayController.java","call function: 124:41-124:72","call in function: notify@114-134","callee=javax.servlet.ServletRequest.getParameter","basic block: 124:41-124:72"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-tools/src/main/java/me/zhengjie/rest/AliPayController.java","call function: 126:45-126:80","call in function: notify@114-134","callee=javax.servlet.ServletRequest.getParameter","basic block: 126:45-126:80"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-generator/src/main/java/me/zhengjie/utils/ColUtil.java","call function: 29:39-29:76","call in function: <clinit>@28-28","callee=org.slf4j.LoggerFactory.getLogger","basic block: 29:39-29:76"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-generator/src/main/java/me/zhengjie/utils/ColUtil.java","call function: 50:13-50:40","call in function: getConfig@46-53","callee=org.slf4j.Logger.error","basic block: 50:13-50:40"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-tools/src/main/java/me/zhengjie/service/impl/S3StorageServiceImpl.java","call function: 50:1-50:6","call in function: <clinit>@53-53","callee=org.slf4j.LoggerFactory.getLogger","basic block: 50:1-50:6"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-tools/src/main/java/me/zhengjie/service/impl/S3StorageServiceImpl.java","call function: 104:17-104:84","call in function: deleteAll@79-107","callee=org.slf4j.Logger.error","basic block: 104:17-104:84"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-tools/src/main/java/me/zhengjie/service/impl/S3StorageServiceImpl.java","call function: 114:13-114:54","call in function: upload@110-154","callee=org.slf4j.Logger.warn","basic block: 114:13-114:54"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-tools/src/main/java/me/zhengjie/service/impl/S3StorageServiceImpl.java","call function: 116:17-116:52","call in function: upload@110-154","callee=org.slf4j.Logger.info","basic block: 116:17-116:52"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-tools/src/main/java/me/zhengjie/service/impl/S3StorageServiceImpl.java","call function: 227:17-227:54","call in function: bucketExists@217-233","callee=org.slf4j.Logger.error","basic block: 227:17-227:54"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-tools/src/main/java/me/zhengjie/service/impl/S3StorageServiceImpl.java","call function: 255:21-255:105","call in function: accept@254-255","callee=org.slf4j.Logger.info","basic block: 255:21-255:105"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-tools/src/main/java/me/zhengjie/service/impl/S3StorageServiceImpl.java","call function: 258:13-258:59","call in function: createBucket@239-263","callee=org.slf4j.Logger.warn","basic block: 258:13-258:59"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-system/src/main/java/me/zhengjie/modules/quartz/rest/QuartzJobController.java","call function: 44:1-44:6","call in function: <clinit>@49-49","callee=org.slf4j.LoggerFactory.getLogger","basic block: 44:1-44:6"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-system/src/main/java/me/zhengjie/modules/security/security/JwtAuthenticationEntryPoint.java","call function: 32:1-32:6","call in function: <clinit>@34-34","callee=org.slf4j.LoggerFactory.getLogger","basic block: 32:1-32:6"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-system/src/main/java/me/zhengjie/modules/security/security/JwtAuthenticationEntryPoint.java","call function: 43:31-43:127","call in function: commence@37-45","callee=com.fasterxml.jackson.databind.ObjectMapper.writeValueAsString","basic block: 43:31-43:127"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-system/src/main/java/me/zhengjie/modules/security/security/JwtAuthenticationEntryPoint.java","call function: 44:9-44:48","call in function: commence@37-45","callee=java.io.PrintWriter.write","basic block: 44:9-44:48"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-system/src/main/java/me/zhengjie/modules/maint/service/impl/DeployServiceImpl.java","call function: 54:1-54:6","call in function: <clinit>@57-57","callee=org.slf4j.LoggerFactory.getLogger","basic block: 54:1-54:6"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-system/src/main/java/me/zhengjie/modules/maint/service/impl/DeployServiceImpl.java","call function: 148:10-148:39","call in function: deployApp@120-184","callee=java.lang.String.format","basic block: 148:10-148:39"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-system/src/main/java/me/zhengjie/modules/maint/service/impl/DeployServiceImpl.java","call function: 150:4-150:16","call in function: deployApp@120-184","callee=org.slf4j.Logger.info","basic block: 150:4-150:16"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-system/src/main/java/me/zhengjie/modules/maint/service/impl/DeployServiceImpl.java","call function: 152:10-152:70","call in function: deployApp@120-184","callee=java.lang.String.format","basic block: 152:10-152:70"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-system/src/main/java/me/zhengjie/modules/maint/service/impl/DeployServiceImpl.java","call function: 190:4-190:30","call in function: sleep@186-192","callee=org.slf4j.Logger.error","basic block: 190:4-190:30"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-system/src/main/java/me/zhengjie/modules/maint/service/impl/DeployServiceImpl.java","call function: 201:3-201:37","call in function: backupApp@194-210","callee=org.slf4j.Logger.info","basic block: 201:3-201:37"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-system/src/main/java/me/zhengjie/modules/maint/service/impl/DeployServiceImpl.java","call function: 220:28-220:109","call in function: stopApp@218-222","callee=java.lang.String.format","basic block: 220:28-220:109"
"Path: /home/sixsquare/codeQL/projects/eladmin/eladmin-system/src/main/java/me/zhengjie/modules/maint/service/impl/DeployServiceImpl.java","call function: 232:53-232:90","call in function: checkIsRunningStatus@231-234","callee=java.lang.String.format","basic block: 232:53-232:90"
