"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/fastjson/src/main/java/com/alibaba/fastjson/parser/ParserConfig.java","call function: 1484:22-1484:69","call in function: checkAutoType@1311-1552","callee=java.lang.ClassLoader.getResourceAsStream","basic block: 1484:22-1484:69"
"Path: /home/sixsquare/codeQL/projects/fastjson/src/main/java/com/alibaba/fastjson/parser/ParserConfig.java","call function: 1486:22-1486:86","call in function: checkAutoType@1311-1552","callee=java.lang.ClassLoader.getResourceAsStream","basic block: 1486:22-1486:86"
"Path: /home/sixsquare/codeQL/projects/fastjson/src/main/java/com/alibaba/fastjson/serializer/MiscCodec.java","call function: 346:24-346:39","call in function: deserialze@199-403","callee=java.io.File.<init>","basic block: 346:24-346:39"
"Path: /home/sixsquare/codeQL/projects/fastjson/src/main/java/com/alibaba/fastjson/util/ASMUtils.java","call function: 150:26-150:70","call in function: lookupParameterNames@115-183","callee=java.lang.ClassLoader.getResourceAsStream","basic block: 150:26-150:70"
"Path: /home/sixsquare/codeQL/projects/fastjson/src/main/java/com/alibaba/fastjson/util/IOUtils.java","call function: 93:28-93:70","call in function: run@90-97","callee=java.lang.ClassLoader.getResourceAsStream","basic block: 93:28-93:70"
"Path: /home/sixsquare/codeQL/projects/fastjson/src/main/java/com/alibaba/fastjson/util/ServiceLoader.java","call function: 63:18-63:33","call in function: load@59-85","callee=java.net.URL.openStream","basic block: 63:18-63:33"
"Path: /home/sixsquare/codeQL/projects/fastjson/src/test/java/com/alibaba/fastjson/deserializer/issue2898/TestIssue2898.java","call function: 30:34-31:57","call in function: ExtClassLoader@25-37","callee=java.lang.ClassLoader.getResourceAsStream","basic block: 30:34-31:57"
"Path: /home/sixsquare/codeQL/projects/fastjson/src/test/java/com/alibaba/fastjson/deserializer/issue2898/TestIssue2898.java","call function: 32:25-32:47","call in function: ExtClassLoader@25-37","callee=org.apache.commons.io.IOUtils.toByteArray","basic block: 32:25-32:47"
"Path: /home/sixsquare/codeQL/projects/fastjson/src/test/java/com/alibaba/fastjson/validate/JSONValidateTest_file.java","call function: 19:25-19:74","call in function: test_for_file@15-28","callee=java.io.File.<init>","basic block: 19:25-19:74"
"Path: /home/sixsquare/codeQL/projects/fastjson/src/test/java/com/alibaba/fastjson/validate/JSONValidateTest_file.java","call function: 20:34-20:58","call in function: test_for_file@15-28","callee=java.io.FileInputStream.<init>","basic block: 20:34-20:58"
