"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/flink/flink-clients/src/main/java/org/apache/flink/client/program/PackagedProgram.java","call function: 537:36-537:47","call in function: extractContainedLibraries@523-561","callee=java.util.Random.<init>","basic block: 537:36-537:47"
"Path: /home/sixsquare/codeQL/projects/flink/flink-clients/src/main/java/org/apache/flink/client/program/PackagedProgram.java","call function: 587:55-587:84","call in function: createTempFile@584-597","callee=java.util.Random.nextInt","basic block: 587:55-587:84"
"Path: /home/sixsquare/codeQL/projects/flink/flink-connectors/flink-connector-files/src/test/java/org/apache/flink/connector/file/src/assigners/LocalityAwareSplitAssignerTest.java","call function: 263:29-263:44","call in function: testAssignmentOfManySplitsRandomly@257-298","callee=java.util.Random.<init>","basic block: 263:29-263:44"
"Path: /home/sixsquare/codeQL/projects/flink/flink-connectors/flink-connector-files/src/test/java/org/apache/flink/connector/file/src/assigners/LocalityAwareSplitAssignerTest.java","call function: 281:38-281:68","call in function: testAssignmentOfManySplitsRandomly@257-298","callee=java.util.Random.nextInt","basic block: 281:38-281:68"
"Path: /home/sixsquare/codeQL/projects/flink/flink-connectors/flink-connector-files/src/test/java/org/apache/flink/connector/file/src/assigners/LocalityAwareSplitAssignerTest.java","call function: 291:48-291:83","call in function: testAssignmentOfManySplitsRandomly@257-298","callee=java.util.Random.nextInt","basic block: 291:48-291:83"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/main/java/org/apache/flink/configuration/ConfigurationUtils.java","call function: 91:33-91:90","call in function: getRandomTempDirectory@82-94","callee=java.util.concurrent.ThreadLocalRandom.nextInt","basic block: 91:33-91:90"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/main/java/org/apache/flink/configuration/ConfigurationUtils.java","call function: 91:33-91:59","call in function: getRandomTempDirectory@82-94","callee=java.util.concurrent.ThreadLocalRandom.current","basic block: 91:33-91:59"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/ExecutionConfigTest.java","call function: 105:26-105:37","call in function: testExecutionConfigSerialization@104-151","callee=java.util.Random.<init>","basic block: 105:26-105:37"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/ExecutionConfigTest.java","call function: 107:37-107:49","call in function: testExecutionConfigSerialization@104-151","callee=java.util.Random.nextInt","basic block: 107:37-107:49"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/BigDecSerializerTest.java","call function: 47:22-47:52","call in function: getTestData@46-58","callee=java.util.Random.<init>","basic block: 47:22-47:52"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/BigIntSerializerTest.java","call function: 47:22-47:52","call in function: getTestData@46-58","callee=java.util.Random.<init>","basic block: 47:22-47:52"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/BooleanSerializerTest.java","call function: 46:22-46:52","call in function: getTestData@45-55","callee=java.util.Random.<init>","basic block: 46:22-46:52"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/BooleanValueSerializerTest.java","call function: 47:22-47:52","call in function: getTestData@46-56","callee=java.util.Random.<init>","basic block: 47:22-47:52"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/ByteComparatorTest.java","call function: 42:22-42:52","call in function: getSortedTestData@40-63","callee=java.util.Random.<init>","basic block: 42:22-42:52"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/ByteComparatorTest.java","call function: 43:23-43:49","call in function: getSortedTestData@40-63","callee=java.util.Random.nextInt","basic block: 43:23-43:49"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/ByteSerializerTest.java","call function: 46:22-46:52","call in function: getTestData@45-59","callee=java.util.Random.<init>","basic block: 46:22-46:52"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/ByteSerializerTest.java","call function: 48:9-48:32","call in function: getTestData@45-59","callee=java.util.Random.nextBytes","basic block: 48:9-48:32"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/ByteValueComparatorTest.java","call function: 43:22-43:52","call in function: getSortedTestData@41-64","callee=java.util.Random.<init>","basic block: 43:22-43:52"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/ByteValueComparatorTest.java","call function: 44:23-44:49","call in function: getSortedTestData@41-64","callee=java.util.Random.nextInt","basic block: 44:23-44:49"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/ByteValueSerializerTest.java","call function: 47:22-47:52","call in function: getTestData@46-60","callee=java.util.Random.<init>","basic block: 47:22-47:52"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/ByteValueSerializerTest.java","call function: 49:9-49:32","call in function: getTestData@46-60","callee=java.util.Random.nextBytes","basic block: 49:9-49:32"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/CharComparatorTest.java","call function: 41:22-41:52","call in function: getSortedTestData@40-55","callee=java.util.Random.<init>","basic block: 41:22-41:52"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/CharComparatorTest.java","call function: 42:23-42:54","call in function: getSortedTestData@40-55","callee=java.util.Random.nextInt","basic block: 42:23-42:54"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/CharSerializerTest.java","call function: 46:22-46:52","call in function: getTestData@45-58","callee=java.util.Random.<init>","basic block: 46:22-46:52"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/CharSerializerTest.java","call function: 47:22-47:53","call in function: getTestData@45-58","callee=java.util.Random.nextInt","basic block: 47:22-47:53"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/CharValueComparatorTest.java","call function: 42:22-42:52","call in function: getSortedTestData@41-59","callee=java.util.Random.<init>","basic block: 42:22-42:52"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/CharValueComparatorTest.java","call function: 43:23-43:54","call in function: getSortedTestData@41-59","callee=java.util.Random.nextInt","basic block: 43:23-43:54"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/CharValueSerializerTest.java","call function: 47:22-47:52","call in function: getTestData@46-59","callee=java.util.Random.<init>","basic block: 47:22-47:52"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/CharValueSerializerTest.java","call function: 48:22-48:53","call in function: getTestData@46-59","callee=java.util.Random.nextInt","basic block: 48:22-48:53"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/DateComparatorTest.java","call function: 42:22-42:52","call in function: getSortedTestData@41-56","callee=java.util.Random.<init>","basic block: 42:22-42:52"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/DateComparatorTest.java","call function: 43:24-43:37","call in function: getSortedTestData@41-56","callee=java.util.Random.nextLong","basic block: 43:24-43:37"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/DateSerializerTest.java","call function: 47:22-47:52","call in function: getTestData@46-52","callee=java.util.Random.<init>","basic block: 47:22-47:52"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/DateSerializerTest.java","call function: 48:24-48:37","call in function: getTestData@46-52","callee=java.util.Random.nextLong","basic block: 48:24-48:37"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/DoubleComparatorTest.java","call function: 41:22-41:52","call in function: getSortedTestData@40-60","callee=java.util.Random.<init>","basic block: 41:22-41:52"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/DoubleSerializerTest.java","call function: 46:22-46:52","call in function: getTestData@45-61","callee=java.util.Random.<init>","basic block: 46:22-46:52"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/DoubleValueComparatorTest.java","call function: 42:22-42:52","call in function: getSortedTestData@41-61","callee=java.util.Random.<init>","basic block: 42:22-42:52"
"Path: /home/sixsquare/codeQL/projects/flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/base/DoubleValueSerializerTest.java","call function: 47:22-47:52","call in function: getTestData@46-62","callee=java.util.Random.<init>","basic block: 47:22-47:52"
