"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/fresco/animated-gif-lite/src/main/java/com/facebook/animated/giflite/decoder/GifMetadataDecoder.java","call function: 279:7-279:76","call in function: readIntoBlock@275-285","callee=java.io.OutputStream.write","basic block: 279:7-279:76"
"Path: /home/sixsquare/codeQL/projects/fresco/animated-gif-lite/src/main/java/com/facebook/animated/giflite/decoder/GifMetadataDecoder.java","call function: 295:7-296:19","call in function: writeNextByte@293-298","callee=java.io.OutputStream.write","basic block: 295:7-296:19"
"Path: /home/sixsquare/codeQL/projects/fresco/animated-gif-lite/src/main/java/com/facebook/animated/giflite/decoder/GifMetadataDecoder.java","call function: 329:7-329:36","call in function: copyFromIsToOs@325-331","callee=java.io.OutputStream.write","basic block: 329:7-329:36"
"Path: /home/sixsquare/codeQL/projects/fresco/fbcore/src/main/java/com/facebook/common/internal/ByteStreams.java","call function: 63:7-63:25","call in function: copy@53-67","callee=java.io.OutputStream.write","basic block: 63:7-63:25"
"Path: /home/sixsquare/codeQL/projects/fresco/fbcore/src/main/java/com/facebook/common/internal/CountingOutputStream.java","call function: 52:5-52:26","call in function: write@51-54","callee=java.io.OutputStream.write","basic block: 52:5-52:26"
"Path: /home/sixsquare/codeQL/projects/fresco/fbcore/src/main/java/com/facebook/common/internal/CountingOutputStream.java","call function: 58:5-58:16","call in function: write@57-60","callee=java.io.OutputStream.write","basic block: 58:5-58:16"
"Path: /home/sixsquare/codeQL/projects/fresco/fbcore/src/main/java/com/facebook/common/memory/PooledByteStreams.java","call function: 58:9-58:30","call in function: copy@48-64","callee=java.io.OutputStream.write","basic block: 58:9-58:30"
"Path: /home/sixsquare/codeQL/projects/fresco/fbcore/src/main/java/com/facebook/common/memory/PooledByteStreams.java","call function: 87:9-87:30","call in function: copy@75-94","callee=java.io.OutputStream.write","basic block: 87:9-87:30"
"Path: /home/sixsquare/codeQL/projects/fresco/fbcore/src/test/java/com/facebook/common/util/StreamUtilTest.java","call function: 106:7-106:32","call in function: checkFileInputStream@95-117","callee=java.io.OutputStream.write","basic block: 106:7-106:32"
"Path: /home/sixsquare/codeQL/projects/fresco/imagepipeline-base/src/main/java/com/facebook/cache/common/WriterCallbacks.java","call function: 50:9-50:22","call in function: write@49-51","callee=java.io.OutputStream.write","basic block: 50:9-50:22"
"Path: /home/sixsquare/codeQL/projects/fresco/imagepipeline/src/main/java/com/facebook/imagepipeline/producers/NetworkFetchProducer.java","call function: 108:11-108:54","call in function: onResponse@94-120","callee=java.io.OutputStream.write","basic block: 108:11-108:54"
"Path: /home/sixsquare/codeQL/projects/fresco/imagepipeline/src/main/java/com/facebook/imagepipeline/producers/PartialDiskCacheProducer.java","call function: 384:13-384:46","call in function: copy@376-400","callee=java.io.OutputStream.write","basic block: 384:13-384:46"
