"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger/src/main/java/ghidra/app/plugin/core/debug/gui/AbstractDebuggerParameterDialog.java","call function: 389:19-389:51","call in function: getJavaInitializationString@384-392","callee=org.apache.commons.text.StringEscapeUtils.escapeJava","basic block: 389:19-389:51"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger-api/src/main/java/ghidra/debug/api/tracemgr/DebuggerCoordinates.java","call function: 126:10-128:50","call in function: toString@125-129","callee=java.lang.String.format","basic block: 126:10-128:50"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger-jpda/src/test/java/ghidra/dbg/jdi/JdiExperimentsTest.java","call function: 290:20-290:80","call in function: testWhatIsCodeIndex@223-301","callee=java.lang.String.format","basic block: 290:20-290:80"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger-rmi-trace/src/main/java/ghidra/app/plugin/core/debug/gui/tracermi/launcher/ScriptPathsPropertyEditor.java","call function: 44:17-44:56","call in function: getJavaInitializationString@43-45","callee=org.apache.commons.text.StringEscapeUtils.escapeJava","basic block: 44:17-44:56"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger/src/main/java/ghidra/app/plugin/core/debug/gui/control/ControlAction.java","call function: 24:10-24:40","call in function: intSubGroup@23-25","callee=java.lang.String.format","basic block: 24:10-24:40"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger/src/main/java/ghidra/app/plugin/core/debug/gui/pcode/DebuggerPcodeStepperProvider.java","call function: 320:10-321:37","call in function: htmlColor@319-322","callee=java.lang.String.format","basic block: 320:10-321:37"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger/src/main/java/ghidra/app/plugin/core/debug/gui/pcode/UniqueRow.java","call function: 128:10-128:63","call in function: getName@127-129","callee=java.lang.String.format","basic block: 128:10-128:63"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger/src/main/java/ghidra/app/plugin/core/debug/gui/stack/vars/VariableValueRow.java","call function: 176:10-176:76","call in function: toSimpleString@175-177","callee=java.lang.String.format","basic block: 176:10-176:76"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger/src/main/java/ghidra/app/plugin/core/debug/gui/stack/vars/VariableValueRow.java","call function: 185:10-186:30","call in function: toHtml@184-187","callee=java.lang.String.format","basic block: 185:10-186:30"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger/src/main/java/ghidra/app/plugin/core/debug/gui/stack/vars/VariableValueRow.java","call function: 311:5-311:68","call in function: fromRange@309-312","callee=java.lang.String.format","basic block: 311:5-311:68"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger/src/main/java/ghidra/app/plugin/core/debug/gui/stack/vars/VariableValueRow.java","call function: 322:5-322:66","call in function: fromCodeUnit@320-323","callee=java.lang.String.format","basic block: 322:5-322:66"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger/src/main/java/ghidra/app/plugin/core/debug/gui/stack/vars/VariableValueRow.java","call function: 451:11-451:64","call in function: valueToSimpleString@450-452","callee=java.lang.String.format","basic block: 451:11-451:64"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger/src/main/java/ghidra/app/plugin/core/debug/gui/stack/vars/VariableValueRow.java","call function: 514:11-514:66","call in function: valueToSimpleString@513-515","callee=java.lang.String.format","basic block: 514:11-514:66"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger/src/main/java/ghidra/app/plugin/core/debug/gui/stack/vars/VariableValueRow.java","call function: 534:11-534:48","call in function: valueToSimpleString@533-535","callee=java.lang.String.format","basic block: 534:11-534:48"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger/src/main/java/ghidra/app/plugin/core/debug/gui/stack/vars/VariableValueRow.java","call function: 549:11-549:83","call in function: valueToHtml@548-550","callee=java.lang.String.format","basic block: 549:11-549:83"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger/src/main/java/ghidra/app/plugin/core/debug/gui/stack/vars/VariableValueRow.java","call function: 577:16-577:72","call in function: apply@577-577","callee=java.lang.String.format","basic block: 577:16-577:72"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger/src/main/java/ghidra/app/plugin/core/debug/gui/stack/vars/VariableValueRow.java","call function: 579:11-583:20","call in function: valueToHtml@574-584","callee=java.lang.String.format","basic block: 579:11-583:20"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger/src/main/java/ghidra/app/plugin/core/debug/gui/stack/vars/VariableValueRow.java","call function: 596:11-597:31","call in function: toHtml@592-598","callee=java.lang.String.format","basic block: 596:11-597:31"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger/src/main/java/ghidra/app/plugin/core/debug/gui/stack/vars/VariableValueRow.java","call function: 638:11-639:31","call in function: toHtml@637-640","callee=java.lang.String.format","basic block: 638:11-639:31"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger/src/main/java/ghidra/app/plugin/core/debug/gui/stack/vars/VariableValueTable.java","call function: 47:11-56:43","call in function: toString@45-58","callee=java.lang.String.format","basic block: 47:11-56:43"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger/src/main/java/ghidra/app/plugin/core/debug/gui/stack/vars/VariableValueTable.java","call function: 70:11-78:41","call in function: toHtml@68-80","callee=java.lang.String.format","basic block: 70:11-78:41"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger/src/main/java/ghidra/app/plugin/core/debug/service/breakpoint/LoneLogicalBreakpoint.java","call function: 50:10-50:75","call in function: toString@49-51","callee=java.lang.String.format","basic block: 50:10-50:75"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger/src/main/java/ghidra/app/plugin/core/debug/service/breakpoint/MappedLogicalBreakpoint.java","call function: 59:11-60:25","call in function: toString@57-62","callee=java.lang.String.format","basic block: 59:11-60:25"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger/src/main/java/ghidra/app/plugin/core/debug/service/breakpoint/ProgramBreakpoint.java","call function: 142:11-143:71","call in function: toString@137-152","callee=java.lang.String.format","basic block: 142:11-143:71"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger/src/main/java/ghidra/app/plugin/core/debug/service/breakpoint/ProgramBreakpoint.java","call function: 146:11-147:71","call in function: toString@137-152","callee=java.lang.String.format","basic block: 146:11-147:71"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger/src/main/java/ghidra/app/plugin/core/debug/service/breakpoint/ProgramBreakpoint.java","call function: 150:11-150:75","call in function: toString@137-152","callee=java.lang.String.format","basic block: 150:11-150:75"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger/src/main/java/ghidra/app/plugin/core/debug/service/breakpoint/TraceBreakpointSet.java","call function: 69:11-69:83","call in function: toString@67-71","callee=java.lang.String.format","basic block: 69:11-69:83"
"Path: /home/sixsquare/codeQL/projects/ghidra/Ghidra/Debug/Debugger/src/main/java/ghidra/app/plugin/core/debug/stack/AnalysisUnwoundFrame.java","call function: 192:10-195:46","call in function: getDescription@191-196","callee=java.lang.String.format","basic block: 192:10-195:46"
