"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/glide/annotation/compiler/test/src/test/java/com/bumptech/glide/annotation/compiler/test/RegenerateResourcesRule.java","call function: 76:7-76:69","call in function: updateResourceFile@52-89","callee=java.io.Writer.write","basic block: 76:7-76:69"
"Path: /home/sixsquare/codeQL/projects/glide/benchmark/src/androidTest/java/com/bumptech/glide/benchmark/BenchmarkMediaStoreData.java","call function: 58:9-58:33","call in function: readCacheFileFully@45-81","callee=java.io.OutputStream.write","basic block: 58:9-58:33"
"Path: /home/sixsquare/codeQL/projects/glide/benchmark/src/androidTest/java/com/bumptech/glide/benchmark/BenchmarkModels.java","call function: 148:11-148:46","call in function: mediaStoreUriFromId@134-172","callee=java.io.OutputStream.write","basic block: 148:11-148:46"
"Path: /home/sixsquare/codeQL/projects/glide/instrumentation/src/androidTest/java/com/bumptech/glide/test/ModelGeneratorRule.java","call function: 50:7-50:20","call in function: writeToFile@46-53","callee=java.io.OutputStream.write","basic block: 50:7-50:20"
"Path: /home/sixsquare/codeQL/projects/glide/integration/sqljournaldiskcache/src/test/java/com/bumptech/glide/integration/sqljournaldiskcache/DiskCacheUtils.java","call function: 22:7-22:21","call in function: writeToFile@20-26","callee=java.io.OutputStream.write","basic block: 22:7-22:21"
"Path: /home/sixsquare/codeQL/projects/glide/library/src/main/java/com/bumptech/glide/load/data/BufferedOutputStream.java","call function: 50:9-50:53","call in function: write@42-64","callee=java.io.OutputStream.write","basic block: 50:9-50:53"
"Path: /home/sixsquare/codeQL/projects/glide/library/src/main/java/com/bumptech/glide/load/data/BufferedOutputStream.java","call function: 74:7-74:33","call in function: flushBuffer@72-77","callee=java.io.OutputStream.write","basic block: 74:7-74:33"
"Path: /home/sixsquare/codeQL/projects/glide/library/src/main/java/com/bumptech/glide/load/model/StreamEncoder.java","call function: 34:9-34:33","call in function: encode@26-53","callee=java.io.OutputStream.write","basic block: 34:9-34:33"
"Path: /home/sixsquare/codeQL/projects/glide/library/src/main/java/com/bumptech/glide/util/ByteBufferUtil.java","call function: 95:7-95:84","call in function: toStream@91-110","callee=java.io.OutputStream.write","basic block: 95:7-95:84"
"Path: /home/sixsquare/codeQL/projects/glide/library/src/main/java/com/bumptech/glide/util/ByteBufferUtil.java","call function: 105:9-105:35","call in function: toStream@91-110","callee=java.io.OutputStream.write","basic block: 105:9-105:35"
"Path: /home/sixsquare/codeQL/projects/glide/library/test/src/test/java/com/bumptech/glide/load/ImageHeaderParserUtilsTest.java","call function: 172:7-172:20","call in function: asFileDescriptor@167-180","callee=java.io.OutputStream.write","basic block: 172:7-172:20"
"Path: /home/sixsquare/codeQL/projects/glide/library/test/src/test/java/com/bumptech/glide/load/data/BufferedOutputStreamFuzzTest.java","call function: 80:11-80:49","call in function: runTest@60-109","callee=java.io.OutputStream.write","basic block: 80:11-80:49"
"Path: /home/sixsquare/codeQL/projects/glide/library/test/src/test/java/com/bumptech/glide/load/data/BufferedOutputStreamTest.java","call function: 777:5-777:98","call in function: close_whenUnderlyingStreamThrows_closesStream@775-788","callee=java.io.OutputStream.write","basic block: 777:5-777:98"
"Path: /home/sixsquare/codeQL/projects/glide/library/test/src/test/java/com/bumptech/glide/load/data/BufferedOutputStreamTest.java","call function: 795:5-795:53","call in function: flush_withZeroBytesWritten_doesNotWriteToStream@791-798","callee=java.io.OutputStream.write","basic block: 795:5-795:53"
"Path: /home/sixsquare/codeQL/projects/glide/library/test/src/test/java/com/bumptech/glide/load/data/BufferedOutputStreamTest.java","call function: 796:5-796:62","call in function: flush_withZeroBytesWritten_doesNotWriteToStream@791-798","callee=java.io.OutputStream.write","basic block: 796:5-796:62"
"Path: /home/sixsquare/codeQL/projects/glide/library/test/src/test/java/com/bumptech/glide/load/data/BufferedOutputStreamTest.java","call function: 797:5-797:82","call in function: flush_withZeroBytesWritten_doesNotWriteToStream@791-798","callee=java.io.OutputStream.write","basic block: 797:5-797:82"
"Path: /home/sixsquare/codeQL/projects/glide/library/test/src/test/java/com/bumptech/glide/tests/Util.java","call function: 73:7-73:21","call in function: writeFile@70-83","callee=java.io.OutputStream.write","basic block: 73:7-73:21"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/disklrucache/src/main/java/com/bumptech/glide/disklrucache/DiskLruCache.java","call function: 361:7-361:25","call in function: rebuildJournal@353-390","callee=java.io.Writer.write","basic block: 361:7-361:25"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/disklrucache/src/main/java/com/bumptech/glide/disklrucache/DiskLruCache.java","call function: 362:7-362:24","call in function: rebuildJournal@353-390","callee=java.io.Writer.write","basic block: 362:7-362:24"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/disklrucache/src/main/java/com/bumptech/glide/disklrucache/DiskLruCache.java","call function: 363:7-363:29","call in function: rebuildJournal@353-390","callee=java.io.Writer.write","basic block: 363:7-363:29"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/disklrucache/src/main/java/com/bumptech/glide/disklrucache/DiskLruCache.java","call function: 364:7-364:24","call in function: rebuildJournal@353-390","callee=java.io.Writer.write","basic block: 364:7-364:24"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/disklrucache/src/main/java/com/bumptech/glide/disklrucache/DiskLruCache.java","call function: 365:7-365:48","call in function: rebuildJournal@353-390","callee=java.io.Writer.write","basic block: 365:7-365:48"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/disklrucache/src/main/java/com/bumptech/glide/disklrucache/DiskLruCache.java","call function: 366:7-366:24","call in function: rebuildJournal@353-390","callee=java.io.Writer.write","basic block: 366:7-366:24"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/disklrucache/src/main/java/com/bumptech/glide/disklrucache/DiskLruCache.java","call function: 367:7-367:48","call in function: rebuildJournal@353-390","callee=java.io.Writer.write","basic block: 367:7-367:48"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/disklrucache/src/main/java/com/bumptech/glide/disklrucache/DiskLruCache.java","call function: 368:7-368:24","call in function: rebuildJournal@353-390","callee=java.io.Writer.write","basic block: 368:7-368:24"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/disklrucache/src/main/java/com/bumptech/glide/disklrucache/DiskLruCache.java","call function: 369:7-369:24","call in function: rebuildJournal@353-390","callee=java.io.Writer.write","basic block: 369:7-369:24"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/disklrucache/src/main/java/com/bumptech/glide/disklrucache/DiskLruCache.java","call function: 373:11-373:54","call in function: rebuildJournal@353-390","callee=java.io.Writer.write","basic block: 373:11-373:54"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/disklrucache/src/main/java/com/bumptech/glide/disklrucache/DiskLruCache.java","call function: 375:11-375:75","call in function: rebuildJournal@353-390","callee=java.io.Writer.write","basic block: 375:11-375:75"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/disklrucache/src/main/java/com/bumptech/glide/disklrucache/DiskLruCache.java","call function: 818:9-818:27","call in function: set@813-822","callee=java.io.Writer.write","basic block: 818:9-818:27"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/disklrucache/src/test/java/com/bumptech/glide/disklrucache/DiskLruCacheTest.java","call function: 286:5-286:71","call in function: openWithTruncatedLineDiscardsThatLine@281-296","callee=java.io.Writer.write","basic block: 286:5-286:71"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/disklrucache/src/test/java/com/bumptech/glide/disklrucache/DiskLruCacheTest.java","call function: 793:5-793:30","call in function: createJournalWithHeader@790-803","callee=java.io.Writer.write","basic block: 793:5-793:30"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/disklrucache/src/test/java/com/bumptech/glide/disklrucache/DiskLruCacheTest.java","call function: 794:5-794:32","call in function: createJournalWithHeader@790-803","callee=java.io.Writer.write","basic block: 794:5-794:32"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/disklrucache/src/test/java/com/bumptech/glide/disklrucache/DiskLruCacheTest.java","call function: 795:5-795:35","call in function: createJournalWithHeader@790-803","callee=java.io.Writer.write","basic block: 795:5-795:35"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/disklrucache/src/test/java/com/bumptech/glide/disklrucache/DiskLruCacheTest.java","call function: 796:5-796:35","call in function: createJournalWithHeader@790-803","callee=java.io.Writer.write","basic block: 796:5-796:35"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/disklrucache/src/test/java/com/bumptech/glide/disklrucache/DiskLruCacheTest.java","call function: 797:5-797:30","call in function: createJournalWithHeader@790-803","callee=java.io.Writer.write","basic block: 797:5-797:30"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/disklrucache/src/test/java/com/bumptech/glide/disklrucache/DiskLruCacheTest.java","call function: 799:7-799:24","call in function: createJournalWithHeader@790-803","callee=java.io.Writer.write","basic block: 799:7-799:24"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/disklrucache/src/test/java/com/bumptech/glide/disklrucache/DiskLruCacheTest.java","call function: 800:7-800:24","call in function: createJournalWithHeader@790-803","callee=java.io.Writer.write","basic block: 800:7-800:24"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/disklrucache/src/test/java/com/bumptech/glide/disklrucache/DiskLruCacheTest.java","call function: 838:5-838:25","call in function: writeFile@836-840","callee=java.io.Writer.write","basic block: 838:5-838:25"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/gif_encoder/src/main/java/com/bumptech/glide/gifencoder/AnimatedGifEncoder.java","call function: 226:13-226:27","call in function: finish@220-246","callee=java.io.OutputStream.write","basic block: 226:13-226:27"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/gif_encoder/src/main/java/com/bumptech/glide/gifencoder/AnimatedGifEncoder.java","call function: 465:9-465:23","call in function: writeGraphicCtrlExt@464-490","callee=java.io.OutputStream.write","basic block: 465:9-465:23"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/gif_encoder/src/main/java/com/bumptech/glide/gifencoder/AnimatedGifEncoder.java","call function: 466:9-466:23","call in function: writeGraphicCtrlExt@464-490","callee=java.io.OutputStream.write","basic block: 466:9-466:23"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/gif_encoder/src/main/java/com/bumptech/glide/gifencoder/AnimatedGifEncoder.java","call function: 467:9-467:20","call in function: writeGraphicCtrlExt@464-490","callee=java.io.OutputStream.write","basic block: 467:9-467:20"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/gif_encoder/src/main/java/com/bumptech/glide/gifencoder/AnimatedGifEncoder.java","call function: 482:9-485:23","call in function: writeGraphicCtrlExt@464-490","callee=java.io.OutputStream.write","basic block: 482:9-485:23"
"Path: /home/sixsquare/codeQL/projects/glide/third_party/gif_encoder/src/main/java/com/bumptech/glide/gifencoder/AnimatedGifEncoder.java","call function: 488:9-488:29","call in function: writeGraphicCtrlExt@464-490","callee=java.io.OutputStream.write","basic block: 488:9-488:29"
