"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/graal/compiler/src/jdk.graal.compiler.processor/src/jdk/graal/compiler/replacements/processor/GeneratedPlugin.java","call function: 253:57-253:84","call in function: apply@253-253","callee=java.lang.String.format","basic block: 253:57-253:84"
"Path: /home/sixsquare/codeQL/projects/graal/compiler/src/jdk.graal.compiler.test/src/jdk/graal/compiler/core/test/CheckGraalInvariants.java","call function: 463:36-463:119","call in function: run@459-465","callee=java.lang.String.format","basic block: 463:36-463:119"
"Path: /home/sixsquare/codeQL/projects/graal/compiler/src/jdk.graal.compiler.test/src/jdk/graal/compiler/core/test/CheckGraalInvariants.java","call function: 507:52-507:136","call in function: run@486-510","callee=java.lang.String.format","basic block: 507:52-507:136"
"Path: /home/sixsquare/codeQL/projects/graal/compiler/src/jdk.graal.compiler.test/src/jdk/graal/compiler/core/test/CheckGraalInvariants.java","call function: 192:42-193:92","call in function: getLibgraalJar@178-196","callee=java.lang.String.format","basic block: 192:42-193:92"
"Path: /home/sixsquare/codeQL/projects/graal/compiler/src/jdk.graal.compiler.test/src/jdk/graal/compiler/core/test/CheckGraalInvariants.java","call function: 436:32-436:83","call in function: runTest@270-556","callee=java.lang.String.format","basic block: 436:32-436:83"
"Path: /home/sixsquare/codeQL/projects/graal/compiler/src/jdk.graal.compiler.test/src/jdk/graal/compiler/core/test/CheckGraalInvariants.java","call function: 440:32-440:107","call in function: runTest@270-556","callee=java.lang.String.format","basic block: 440:32-440:107"
"Path: /home/sixsquare/codeQL/projects/graal/compiler/src/jdk.graal.compiler.test/src/jdk/graal/compiler/core/test/CheckGraalInvariants.java","call function: 473:32-473:115","call in function: runTest@270-556","callee=java.lang.String.format","basic block: 473:32-473:115"
"Path: /home/sixsquare/codeQL/projects/graal/compiler/src/jdk.graal.compiler.test/src/jdk/graal/compiler/core/test/CheckGraalInvariants.java","call function: 685:42-685:143","call in function: checkClass@682-705","callee=java.lang.String.format","basic block: 685:42-685:143"
"Path: /home/sixsquare/codeQL/projects/graal/compiler/src/jdk.graal.compiler.test/src/jdk/graal/compiler/truffle/test/ColdCallTargetDetectionTest.java","call function: 107:87-107:125","call in function: run@72-135","callee=java.lang.String.format","basic block: 107:87-107:125"
"Path: /home/sixsquare/codeQL/projects/graal/compiler/src/jdk.graal.compiler.test/src/jdk/graal/compiler/truffle/test/JFRPartialEvaluationTest.java","call function: 172:48-172:101","call in function: accept@170-176","callee=java.lang.String.format","basic block: 172:48-172:101"
"Path: /home/sixsquare/codeQL/projects/graal/compiler/src/jdk.graal.compiler.test/src/jdk/graal/compiler/truffle/test/JFRPartialEvaluationTest.java","call function: 169:45-169:121","call in function: runInSubprocessWithJFREnabled@160-183","callee=java.lang.String.format","basic block: 169:45-169:121"
"Path: /home/sixsquare/codeQL/projects/graal/compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/graphio/parsing/BinaryReader.java","call function: 126:26-126:70","call in function: get@126-126","callee=java.lang.String.format","basic block: 126:26-126:70"
"Path: /home/sixsquare/codeQL/projects/graal/compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/graphio/parsing/BinaryReader.java","call function: 130:20-130:71","call in function: addDetail@129-131","callee=java.lang.String.format","basic block: 130:20-130:71"
"Path: /home/sixsquare/codeQL/projects/graal/compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/graphio/parsing/BinaryReader.java","call function: 134:20-134:84","call in function: addPreceding@133-135","callee=java.lang.String.format","basic block: 134:20-134:84"
"Path: /home/sixsquare/codeQL/projects/graal/compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/graphio/parsing/BinaryReader.java","call function: 573:24-573:119","call in function: BinaryReader@567-576","callee=java.util.logging.Logger.getLogger","basic block: 573:24-573:119"
"Path: /home/sixsquare/codeQL/projects/graal/compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/graphio/parsing/BinaryReader.java","call function: 918:13-918:190","call in function: parseRoot@883-934","callee=java.util.logging.Logger.log","basic block: 918:13-918:190"
"Path: /home/sixsquare/codeQL/projects/graal/compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/graphio/parsing/BinaryReader.java","call function: 92:39-92:84","call in function: <clinit>@91-91","callee=java.util.logging.Logger.getLogger","basic block: 92:39-92:84"
"Path: /home/sixsquare/codeQL/projects/graal/compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/graphio/parsing/BinaryReader.java","call function: 191:20-191:56","call in function: propertyGraph@190-192","callee=java.lang.String.format","basic block: 191:20-191:56"
"Path: /home/sixsquare/codeQL/projects/graal/compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/graphio/parsing/BinaryReader.java","call function: 195:20-195:92","call in function: unknownObjectType@194-196","callee=java.lang.String.format","basic block: 195:20-195:92"
"Path: /home/sixsquare/codeQL/projects/graal/compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/graphio/parsing/BinaryReader.java","call function: 211:20-211:52","call in function: inProperty@210-212","callee=java.lang.String.format","basic block: 211:20-211:52"
"Path: /home/sixsquare/codeQL/projects/graal/compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/graphio/parsing/BinaryReader.java","call function: 223:20-223:89","call in function: loadingGraphErrorMessage@222-224","callee=java.lang.String.format","basic block: 223:20-223:89"
"Path: /home/sixsquare/codeQL/projects/graal/compiler/src/jdk.graal.compiler/src/jdk/graal/compiler/graphio/parsing/BinaryReader.java","call function: 227:20-227:48","call in function: inBlock@226-228","callee=java.lang.String.format","basic block: 227:20-227:48"
