"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/gson/gson/src/test/java/com/google/gson/functional/ReflectionAccessFilterTest.java","call function: 73:31-73:43","call in function: run@73-73","callee=java.io.File.<init>","basic block: 73:31-73:43"
"Path: /home/sixsquare/codeQL/projects/gson/gson/src/test/java/com/google/gson/integration/OSGiManifestIT.java","call function: 172:29-172:57","call in function: findManifest@166-187","callee=java.net.URL.openStream","basic block: 172:29-172:57"
"Path: /home/sixsquare/codeQL/projects/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java","call function: 140:17-140:37","call in function: getResourceFile@135-145","callee=java.io.File.<init>","basic block: 140:17-140:37"
"Path: /home/sixsquare/codeQL/projects/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java","call function: 141:10-141:22","call in function: getResourceFile@135-145","callee=java.io.File.isFile","basic block: 141:10-141:22"
"Path: /home/sixsquare/codeQL/projects/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java","call function: 148:28-148:82","call in function: resourceToString@147-161","callee=java.util.zip.ZipFile.<init>","basic block: 148:28-148:82"
"Path: /home/sixsquare/codeQL/projects/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java","call function: 149:27-149:52","call in function: resourceToString@147-161","callee=java.util.zip.ZipFile.getEntry","basic block: 149:27-149:52"
"Path: /home/sixsquare/codeQL/projects/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java","call function: 151:33-151:64","call in function: resourceToString@147-161","callee=java.util.zip.ZipFile.getInputStream","basic block: 151:33-151:64"
"Path: /home/sixsquare/codeQL/projects/gson/test-shrinker/src/test/java/com/google/gson/it/ShrinkingIT.java","call function: 47:51-47:89","call in function: <clinit>@45-45","callee=java.nio.file.Paths.get","basic block: 47:51-47:89"
"Path: /home/sixsquare/codeQL/projects/gson/test-shrinker/src/test/java/com/google/gson/it/ShrinkingIT.java","call function: 48:45-48:77","call in function: <clinit>@45-45","callee=java.nio.file.Paths.get","basic block: 48:45-48:77"
"Path: /home/sixsquare/codeQL/projects/gson/test-shrinker/src/test/java/com/google/gson/it/ShrinkingIT.java","call function: 59:10-59:39","call in function: verifyJarExists@58-62","callee=java.nio.file.Files.isRegularFile","basic block: 59:10-59:39"
