"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava-tests/test/com/google/common/base/EnumsTest.java","call function: 210:20-210:75","call in function: parseJavaClassPath@203-217","callee=java.net.URL.<init>","basic block: 210:20-210:75"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava-tests/test/com/google/common/base/FinalizableReferenceQueueClassLoaderUnloadingTest.java","call function: 154:20-154:75","call in function: parseJavaClassPath@147-161","callee=java.net.URL.<init>","basic block: 154:20-154:75"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava-tests/test/com/google/common/io/IoTestCase.java","call function: 160:22-160:37","call in function: copy@159-174","callee=java.net.URL.openStream","basic block: 160:22-160:37"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava-tests/test/com/google/common/reflect/ClassPathTest.java","call function: 77:16-77:33","call in function: testClassPathEntries_urlClassLoader_noParent@76-82","callee=java.net.URL.<init>","basic block: 77:16-77:33"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava-tests/test/com/google/common/reflect/ClassPathTest.java","call function: 78:16-78:33","call in function: testClassPathEntries_urlClassLoader_noParent@76-82","callee=java.net.URL.<init>","basic block: 78:16-78:33"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava-tests/test/com/google/common/reflect/ClassPathTest.java","call function: 86:16-86:33","call in function: testClassPathEntries_urlClassLoader_withParent@85-93","callee=java.net.URL.<init>","basic block: 86:16-86:33"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava-tests/test/com/google/common/reflect/ClassPathTest.java","call function: 87:16-87:33","call in function: testClassPathEntries_urlClassLoader_withParent@85-93","callee=java.net.URL.<init>","basic block: 87:16-87:33"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava-tests/test/com/google/common/reflect/ClassPathTest.java","call function: 97:15-97:32","call in function: testClassPathEntries_duplicateUri_parentWins@96-101","callee=java.net.URL.<init>","basic block: 97:15-97:32"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava-tests/test/com/google/common/reflect/ClassPathTest.java","call function: 110:15-110:32","call in function: testClassPathEntries_notURLClassLoader_withParent@109-114","callee=java.net.URL.<init>","basic block: 110:15-110:32"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava-tests/test/com/google/common/reflect/ClassPathTest.java","call function: 118:16-118:33","call in function: testClassPathEntries_notURLClassLoader_withParentAndGrandParent@117-124","callee=java.net.URL.<init>","basic block: 118:16-118:33"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava-tests/test/com/google/common/reflect/ClassPathTest.java","call function: 119:16-119:33","call in function: testClassPathEntries_notURLClassLoader_withParentAndGrandParent@117-124","callee=java.net.URL.<init>","basic block: 119:16-119:33"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava-tests/test/com/google/common/reflect/ClassPathTest.java","call function: 128:15-128:32","call in function: testClassPathEntries_notURLClassLoader_withGrandParent@127-133","callee=java.net.URL.<init>","basic block: 128:15-128:32"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava-tests/test/com/google/common/reflect/ClassPathTest.java","call function: 138:15-138:59","call in function: testClassPathEntries_urlClassLoader_pathWithSpace@137-142","callee=java.net.URL.<init>","basic block: 138:15-138:59"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava-tests/test/com/google/common/reflect/ClassPathTest.java","call function: 147:15-147:63","call in function: testClassPathEntries_urlClassLoader_pathWithEscapedSpace@146-151","callee=java.net.URL.<init>","basic block: 147:15-147:63"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava-tests/test/com/google/common/reflect/ClassPathTest.java","call function: 155:33-155:81","call in function: testToFile@154-159","callee=java.net.URL.<init>","basic block: 155:33-155:81"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava-tests/test/com/google/common/reflect/ClassPathTest.java","call function: 157:33-157:94","call in function: testToFile@154-159","callee=java.net.URL.<init>","basic block: 157:33-157:94"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava-tests/test/com/google/common/reflect/ClassPathTest.java","call function: 164:33-164:96","call in function: testToFile_androidIncompatible@163-170","callee=java.net.URL.<init>","basic block: 164:33-164:96"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava-tests/test/com/google/common/reflect/ClassPathTest.java","call function: 166:33-166:96","call in function: testToFile_androidIncompatible@163-170","callee=java.net.URL.<init>","basic block: 166:33-166:96"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava-tests/test/com/google/common/reflect/ClassPathTest.java","call function: 168:33-168:70","call in function: testToFile_androidIncompatible@163-170","callee=java.net.URL.<init>","basic block: 168:33-168:70"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava-tests/test/com/google/common/reflect/ClassPathTest.java","call function: 392:41-392:84","call in function: testGetClassPathUrls@370-405","callee=java.net.URL.<init>","basic block: 392:41-392:84"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava-tests/test/com/google/common/reflect/ClassPathTest.java","call function: 398:41-398:86","call in function: testGetClassPathUrls@370-405","callee=java.net.URL.<init>","basic block: 398:41-398:86"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava-tests/test/com/google/common/util/concurrent/ClassPathUtil.java","call function: 46:20-46:75","call in function: parseJavaClassPath@39-55","callee=java.net.URL.<init>","basic block: 46:20-46:75"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava/src/com/google/common/base/FinalizableReferenceQueue.java","call function: 364:14-364:45","call in function: getBaseUrl@350-365","callee=java.net.URL.<init>","basic block: 364:14-364:45"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava/src/com/google/common/io/Resources.java","call function: 69:14-69:29","call in function: openStream@68-70","callee=java.net.URL.openStream","basic block: 69:14-69:29"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava/src/com/google/common/reflect/ClassPath.java","call function: 644:20-644:75","call in function: parseJavaClassPath@637-651","callee=java.net.URL.<init>","basic block: 644:20-644:75"
"Path: /home/sixsquare/codeQL/projects/guava/android/guava/src/com/google/common/reflect/ClassPath.java","call function: 661:12-661:49","call in function: getClassPathEntry@660-662","callee=java.net.URL.<init>","basic block: 661:12-661:49"
