"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/incubator-seata/core/src/main/java/org/apache/seata/core/rpc/netty/http/RequestParseUtils.java","call function: 150:13-150:76","call in function: parseBody@95-153","callee=org.slf4j.Logger.warn","basic block: 150:13-150:76"
"Path: /home/sixsquare/codeQL/projects/incubator-seata/core/src/main/java/org/apache/seata/core/rpc/netty/http/RequestParseUtils.java","call function: 183:13-183:74","call in function: parseBody@155-186","callee=org.slf4j.Logger.warn","basic block: 183:13-183:74"
"Path: /home/sixsquare/codeQL/projects/incubator-seata/core/src/main/java/org/apache/seata/core/rpc/netty/http/RequestParseUtils.java","call function: 46:42-46:89","call in function: <clinit>@44-44","callee=org.slf4j.LoggerFactory.getLogger","basic block: 46:42-46:89"
"Path: /home/sixsquare/codeQL/projects/incubator-seata/core/src/main/java/org/apache/seata/core/rpc/netty/http/RequestParseUtils.java","call function: 209:13-209:65","call in function: decodeComponent@205-212","callee=org.slf4j.Logger.warn","basic block: 209:13-209:65"
"Path: /home/sixsquare/codeQL/projects/incubator-seata/discovery/seata-discovery-custom/src/main/java/org/apache/seata/discovery/registry/custom/CustomRegistryProvider.java","call function: 41:48-41:113","call in function: CustomRegistryProvider@35-44","callee=java.lang.String.format","basic block: 41:48-41:113"
"Path: /home/sixsquare/codeQL/projects/incubator-seata/core/src/main/java/org/apache/seata/core/rpc/netty/AbstractNettyRemotingClient.java","call function: 128:25-128:83","call in function: run@124-130","callee=org.slf4j.Logger.warn","basic block: 128:25-128:83"
"Path: /home/sixsquare/codeQL/projects/incubator-seata/core/src/main/java/org/apache/seata/core/rpc/netty/AbstractNettyRemotingClient.java","call function: 180:17-183:35","call in function: sendSyncRequest@161-217","callee=org.slf4j.Logger.error","basic block: 180:17-183:35"
"Path: /home/sixsquare/codeQL/projects/incubator-seata/core/src/main/java/org/apache/seata/core/rpc/netty/AbstractNettyRemotingClient.java","call function: 187:17-187:71","call in function: sendSyncRequest@161-217","callee=org.slf4j.Logger.debug","basic block: 187:17-187:71"
"Path: /home/sixsquare/codeQL/projects/incubator-seata/core/src/main/java/org/apache/seata/core/rpc/netty/AbstractNettyRemotingClient.java","call function: 202:17-206:45","call in function: sendSyncRequest@161-217","callee=org.slf4j.Logger.error","basic block: 202:17-206:45"
"Path: /home/sixsquare/codeQL/projects/incubator-seata/core/src/main/java/org/apache/seata/core/rpc/netty/AbstractNettyRemotingClient.java","call function: 222:13-222:75","call in function: sendSyncRequest@220-227","callee=org.slf4j.Logger.warn","basic block: 222:13-222:75"
