"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/interviews/company/apple/ReverseWordsInAString.java","call function: 8:26-8:47","call in function: reverseWords@7-15","callee=java.lang.String.split","basic block: 8:26-8:47"
"Path: /home/sixsquare/codeQL/projects/interviews/company/google/BinaryWatch.java","call function: 28:34-28:63","call in function: readBinaryWatch@19-34","callee=java.lang.String.format","basic block: 28:34-28:63"
"Path: /home/sixsquare/codeQL/projects/interviews/uva/AddingReversedNumbers.java","call function: 42:19-42:40","call in function: main@41-59","callee=java.util.Scanner.<init>","basic block: 42:19-42:40"
"Path: /home/sixsquare/codeQL/projects/interviews/uva/AddingReversedNumbers.java","call function: 56:23-56:60","call in function: main@41-59","callee=java.lang.String.replaceFirst","basic block: 56:23-56:60"
"Path: /home/sixsquare/codeQL/projects/interviews/uva/Ants.java","call function: 39:22-39:43","call in function: main@36-93","callee=java.util.Scanner.<init>","basic block: 39:22-39:43"
"Path: /home/sixsquare/codeQL/projects/interviews/uva/ArchaeologistsDilemma.java","call function: 43:19-43:40","call in function: main@42-59","callee=java.util.Scanner.<init>","basic block: 43:19-43:40"
"Path: /home/sixsquare/codeQL/projects/interviews/uva/AverageSpeed.java","call function: 39:19-39:40","call in function: main@36-62","callee=java.util.Scanner.<init>","basic block: 39:19-39:40"
"Path: /home/sixsquare/codeQL/projects/interviews/uva/AverageSpeed.java","call function: 40:21-40:36","call in function: main@36-62","callee=java.util.Scanner.nextLine","basic block: 40:21-40:36"
"Path: /home/sixsquare/codeQL/projects/interviews/uva/AverageSpeed.java","call function: 45:21-45:39","call in function: main@36-62","callee=java.lang.String.split","basic block: 45:21-45:39"
"Path: /home/sixsquare/codeQL/projects/interviews/uva/AverageSpeed.java","call function: 46:20-46:38","call in function: main@36-62","callee=java.lang.String.split","basic block: 46:20-46:38"
"Path: /home/sixsquare/codeQL/projects/interviews/uva/AverageSpeed.java","call function: 52:20-52:37","call in function: main@36-62","callee=java.lang.String.split","basic block: 52:20-52:37"
"Path: /home/sixsquare/codeQL/projects/interviews/uva/AverageSpeed.java","call function: 59:15-59:30","call in function: main@36-62","callee=java.util.Scanner.nextLine","basic block: 59:15-59:30"
