"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 199:4-199:40","call in function: printOptions@174-228","callee=java.lang.StringBuilder.append","basic block: 199:4-199:40"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 199:4-199:19","call in function: printOptions@174-228","callee=java.lang.StringBuilder.append","basic block: 199:4-199:19"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 202:5-202:37","call in function: printOptions@174-228","callee=java.lang.StringBuilder.append","basic block: 202:5-202:37"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 202:5-202:19","call in function: printOptions@174-228","callee=java.lang.StringBuilder.append","basic block: 202:5-202:19"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 208:5-208:37","call in function: printOptions@174-228","callee=java.lang.StringBuilder.append","basic block: 208:5-208:37"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 208:5-208:20","call in function: printOptions@174-228","callee=java.lang.StringBuilder.append","basic block: 208:5-208:20"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 210:6-210:21","call in function: printOptions@174-228","callee=java.lang.StringBuilder.append","basic block: 210:6-210:21"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 212:6-212:25","call in function: printOptions@174-228","callee=java.lang.StringBuilder.append","basic block: 212:6-212:25"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 215:5-215:40","call in function: printOptions@174-228","callee=java.lang.StringBuilder.append","basic block: 215:5-215:40"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 215:5-215:20","call in function: printOptions@174-228","callee=java.lang.StringBuilder.append","basic block: 215:5-215:20"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 222:6-222:51","call in function: printOptions@174-228","callee=java.lang.StringBuilder.append","basic block: 222:6-222:51"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 222:6-222:30","call in function: printOptions@174-228","callee=java.lang.StringBuilder.append","basic block: 222:6-222:30"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 271:4-271:18","call in function: addSpaces@269-273","callee=java.lang.StringBuilder.append","basic block: 271:4-271:18"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 304:3-304:20","call in function: appendPlugin@299-320","callee=java.lang.StringBuilder.append","basic block: 304:3-304:20"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 305:3-305:87","call in function: appendPlugin@299-320","callee=java.lang.StringBuilder.append","basic block: 305:3-305:87"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 305:3-305:51","call in function: appendPlugin@299-320","callee=java.lang.StringBuilder.append","basic block: 305:3-305:51"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 305:3-305:38","call in function: appendPlugin@299-320","callee=java.lang.StringBuilder.append","basic block: 305:3-305:38"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 308:4-308:43","call in function: appendPlugin@299-320","callee=java.lang.StringBuilder.append","basic block: 308:4-308:43"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 308:4-308:23","call in function: appendPlugin@299-320","callee=java.lang.StringBuilder.append","basic block: 308:4-308:23"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 310:4-310:46","call in function: appendPlugin@299-320","callee=java.lang.StringBuilder.append","basic block: 310:4-310:46"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 310:4-310:19","call in function: appendPlugin@299-320","callee=java.lang.StringBuilder.append","basic block: 310:4-310:19"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 312:5-312:50","call in function: appendPlugin@299-320","callee=java.lang.StringBuilder.append","basic block: 312:5-312:50"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 312:5-312:28","call in function: appendPlugin@299-320","callee=java.lang.StringBuilder.append","basic block: 312:5-312:28"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 315:5-315:57","call in function: appendPlugin@299-320","callee=java.lang.StringBuilder.append","basic block: 315:5-315:57"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 315:5-315:29","call in function: appendPlugin@299-320","callee=java.lang.StringBuilder.append","basic block: 315:5-315:29"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 317:4-317:31","call in function: appendPlugin@299-320","callee=java.lang.StringBuilder.append","basic block: 317:4-317:31"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-cli/src/main/java/jadx/cli/JCommanderWrapper.java","call function: 317:4-317:19","call in function: appendPlugin@299-320","callee=java.lang.StringBuilder.append","basic block: 317:4-317:19"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-core/src/main/java/jadx/api/ResourceFile.java","call function: 61:3-61:73","call in function: setAlias@59-100","callee=java.lang.StringBuilder.append","basic block: 61:3-61:73"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-core/src/main/java/jadx/api/ResourceFile.java","call function: 61:3-61:47","call in function: setAlias@59-100","callee=java.lang.StringBuilder.append","basic block: 61:3-61:47"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-core/src/main/java/jadx/api/ResourceFile.java","call function: 61:3-61:19","call in function: setAlias@59-100","callee=java.lang.StringBuilder.append","basic block: 61:3-61:19"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-core/src/main/java/jadx/api/ResourceFile.java","call function: 62:3-62:43","call in function: setAlias@59-100","callee=java.lang.StringBuilder.append","basic block: 62:3-62:43"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-core/src/main/java/jadx/api/ResourceFile.java","call function: 62:3-62:16","call in function: setAlias@59-100","callee=java.lang.StringBuilder.append","basic block: 62:3-62:16"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-core/src/main/java/jadx/api/ResourceFile.java","call function: 84:6-84:29","call in function: setAlias@59-100","callee=java.lang.StringBuilder.append","basic block: 84:6-84:29"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-core/src/main/java/jadx/api/ResourceFile.java","call function: 86:6-86:36","call in function: setAlias@59-100","callee=java.lang.StringBuilder.append","basic block: 86:6-86:36"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-core/src/main/java/jadx/api/ResourceFile.java","call function: 91:4-91:34","call in function: setAlias@59-100","callee=java.lang.StringBuilder.append","basic block: 91:4-91:34"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-core/src/main/java/jadx/api/impl/AnnotatedCodeWriter.java","call function: 35:4-35:62","call in function: addMultiLine@33-42","callee=java.lang.StringBuilder.append","basic block: 35:4-35:62"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-core/src/main/java/jadx/api/impl/AnnotatedCodeWriter.java","call function: 39:4-39:18","call in function: addMultiLine@33-42","callee=java.lang.StringBuilder.append","basic block: 39:4-39:18"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-core/src/main/java/jadx/api/impl/AnnotatedCodeWriter.java","call function: 46:3-46:17","call in function: add@45-49","callee=java.lang.StringBuilder.append","basic block: 46:3-46:17"
"Path: /home/sixsquare/codeQL/projects/jadx/jadx-core/src/main/java/jadx/api/impl/AnnotatedCodeWriter.java","call function: 53:3-53:15","call in function: add@52-56","callee=java.lang.StringBuilder.append","basic block: 53:3-53:15"
