"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/java-design-patterns/dynamic-proxy/src/main/java/com/iluwatar/dynamicproxy/tinyrestclient/JsonUtil.java","call function: 69:14-69:48","call in function: jsonToObject@67-74","callee=com.fasterxml.jackson.databind.ObjectMapper.readValue","basic block: 69:14-69:48"
"Path: /home/sixsquare/codeQL/projects/java-design-patterns/dynamic-proxy/src/main/java/com/iluwatar/dynamicproxy/tinyrestclient/JsonUtil.java","call function: 88:14-88:68","call in function: jsonToList@84-93","callee=com.fasterxml.jackson.databind.ObjectReader.readValue","basic block: 88:14-88:68"
"Path: /home/sixsquare/codeQL/projects/java-design-patterns/serialized-entity/src/main/java/com/iluwatar/serializedentity/CountrySchemaSql.java","call function: 75:34-75:61","call in function: insertCountry@70-88","callee=java.io.ObjectOutputStream.<init>","basic block: 75:34-75:61"
"Path: /home/sixsquare/codeQL/projects/java-design-patterns/serialized-entity/src/main/java/com/iluwatar/serializedentity/CountrySchemaSql.java","call function: 77:7-77:30","call in function: insertCountry@70-88","callee=java.io.ObjectOutputStream.writeObject","basic block: 77:7-77:30"
"Path: /home/sixsquare/codeQL/projects/java-design-patterns/serialized-entity/src/main/java/com/iluwatar/serializedentity/CountrySchemaSql.java","call function: 111:35-111:61","call in function: selectCountry@99-121","callee=java.io.ObjectInputStream.<init>","basic block: 111:35-111:61"
"Path: /home/sixsquare/codeQL/projects/java-design-patterns/serialized-entity/src/main/java/com/iluwatar/serializedentity/CountrySchemaSql.java","call function: 112:31-112:46","call in function: selectCountry@99-121","callee=java.io.ObjectInputStream.readObject","basic block: 112:31-112:46"
"Path: /home/sixsquare/codeQL/projects/java-design-patterns/serialized-entity/src/test/java/com/iluwatar/serializedentity/CountryTest.java","call function: 69:11-69:68","call in function: testSerializable@64-95","callee=java.io.ObjectOutputStream.<init>","basic block: 69:11-69:68"
"Path: /home/sixsquare/codeQL/projects/java-design-patterns/serialized-entity/src/test/java/com/iluwatar/serializedentity/CountryTest.java","call function: 70:7-70:45","call in function: testSerializable@64-95","callee=java.io.ObjectOutputStream.writeObject","basic block: 70:7-70:45"
"Path: /home/sixsquare/codeQL/projects/java-design-patterns/serialized-entity/src/test/java/com/iluwatar/serializedentity/CountryTest.java","call function: 79:11-79:66","call in function: testSerializable@64-95","callee=java.io.ObjectInputStream.<init>","basic block: 79:11-79:66"
"Path: /home/sixsquare/codeQL/projects/java-design-patterns/serialized-entity/src/test/java/com/iluwatar/serializedentity/CountryTest.java","call function: 80:35-80:64","call in function: testSerializable@64-95","callee=java.io.ObjectInputStream.readObject","basic block: 80:35-80:64"
"Path: /home/sixsquare/codeQL/projects/java-design-patterns/serialized-lob/src/main/java/com/iluwatar/slob/serializers/BlobSerializer.java","call function: 59:30-59:57","call in function: serialize@57-63","callee=java.io.ObjectOutputStream.<init>","basic block: 59:30-59:57"
"Path: /home/sixsquare/codeQL/projects/java-design-patterns/serialized-lob/src/main/java/com/iluwatar/slob/serializers/BlobSerializer.java","call function: 60:5-60:32","call in function: serialize@57-63","callee=java.io.ObjectOutputStream.writeObject","basic block: 60:5-60:32"
"Path: /home/sixsquare/codeQL/projects/java-design-patterns/serialized-lob/src/main/java/com/iluwatar/slob/serializers/BlobSerializer.java","call function: 78:27-78:52","call in function: deSerialize@75-82","callee=java.io.ObjectInputStream.<init>","basic block: 78:27-78:52"
"Path: /home/sixsquare/codeQL/projects/java-design-patterns/tolerant-reader/src/main/java/com/iluwatar/tolerantreader/RainbowFishSerializer.java","call function: 61:22-61:52","call in function: writeV1@48-64","callee=java.io.ObjectOutputStream.<init>","basic block: 61:22-61:52"
"Path: /home/sixsquare/codeQL/projects/java-design-patterns/tolerant-reader/src/main/java/com/iluwatar/tolerantreader/RainbowFishSerializer.java","call function: 62:7-62:29","call in function: writeV1@48-64","callee=java.io.ObjectOutputStream.writeObject","basic block: 62:7-62:29"
"Path: /home/sixsquare/codeQL/projects/java-design-patterns/tolerant-reader/src/main/java/com/iluwatar/tolerantreader/RainbowFishSerializer.java","call function: 86:22-86:52","call in function: writeV2@67-89","callee=java.io.ObjectOutputStream.<init>","basic block: 86:22-86:52"
"Path: /home/sixsquare/codeQL/projects/java-design-patterns/tolerant-reader/src/main/java/com/iluwatar/tolerantreader/RainbowFishSerializer.java","call function: 87:7-87:29","call in function: writeV2@67-89","callee=java.io.ObjectOutputStream.writeObject","basic block: 87:7-87:29"
"Path: /home/sixsquare/codeQL/projects/java-design-patterns/tolerant-reader/src/main/java/com/iluwatar/tolerantreader/RainbowFishSerializer.java","call function: 96:21-96:49","call in function: readV1@92-105","callee=java.io.ObjectInputStream.<init>","basic block: 96:21-96:49"
"Path: /home/sixsquare/codeQL/projects/java-design-patterns/tolerant-reader/src/main/java/com/iluwatar/tolerantreader/RainbowFishSerializer.java","call function: 97:35-97:52","call in function: readV1@92-105","callee=java.io.ObjectInputStream.readObject","basic block: 97:35-97:52"
