"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/jenkins/war/src/main/java/executable/Main.java","call function: 122:25-129:56","call in function: verifyJavaVersion@106-151","callee=java.lang.String.format","basic block: 122:25-129:56"
"Path: /home/sixsquare/codeQL/projects/jenkins/war/src/main/java/executable/Main.java","call function: 132:25-139:56","call in function: verifyJavaVersion@106-151","callee=java.lang.String.format","basic block: 132:25-139:56"
"Path: /home/sixsquare/codeQL/projects/jenkins/war/src/main/java/executable/Main.java","call function: 143:21-149:52","call in function: verifyJavaVersion@106-151","callee=java.lang.String.format","basic block: 143:21-149:52"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/CLI.java","call function: 182:17-182:113","call in function: _main@116-319","callee=java.util.logging.Logger.info","basic block: 182:17-182:113"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/CLI.java","call function: 226:34-226:53","call in function: _main@116-319","callee=java.util.logging.Logger.getLogger","basic block: 226:34-226:53"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/CLI.java","call function: 229:114-229:148","call in function: _main@116-319","callee=java.util.logging.Logger.getLogger","basic block: 229:114-229:148"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/CLI.java","call function: 244:13-244:70","call in function: _main@116-319","callee=java.util.logging.Logger.warning","basic block: 244:13-244:70"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/CLI.java","call function: 269:9-269:59","call in function: _main@116-319","callee=java.util.logging.Logger.log","basic block: 269:9-269:59"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/CLI.java","call function: 272:13-272:68","call in function: _main@116-319","callee=java.util.logging.Logger.warning","basic block: 272:13-272:68"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/CLI.java","call function: 278:17-278:64","call in function: _main@116-319","callee=java.util.logging.Logger.warning","basic block: 278:17-278:64"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/CLI.java","call function: 288:13-288:70","call in function: _main@116-319","callee=java.util.logging.Logger.warning","basic block: 288:13-288:70"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/CLI.java","call function: 292:13-292:66","call in function: _main@116-319","callee=java.util.logging.Logger.warning","basic block: 292:13-292:66"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/CLI.java","call function: 296:13-296:70","call in function: _main@116-319","callee=java.util.logging.Logger.warning","basic block: 296:13-296:70"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/CLI.java","call function: 402:21-402:54","call in function: onMessage@398-404","callee=java.util.logging.Logger.log","basic block: 402:21-402:54"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/CLI.java","call function: 564:34-564:70","call in function: <clinit>@75-75","callee=java.util.logging.Logger.getLogger","basic block: 564:34-564:70"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/CLI.java","call function: 338:9-338:95","call in function: webSocketConnection@337-408","callee=java.util.logging.Logger.fine","basic block: 338:9-338:95"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/CLI.java","call function: 412:9-412:86","call in function: plainHttpConnection@410-445","callee=java.util.logging.Logger.log","basic block: 412:9-412:86"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/CLI.java","call function: 433:29-433:55","call in function: run@429-440","callee=java.util.logging.Logger.fine","basic block: 433:29-433:55"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/CLI.java","call function: 438:25-438:58","call in function: run@429-440","callee=java.util.logging.Logger.log","basic block: 438:25-438:58"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/CLI.java","call function: 479:25-479:58","call in function: run@465-481","callee=java.util.logging.Logger.log","basic block: 479:25-479:58"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/FullDuplexHttpStream.java","call function: 63:9-63:49","call in function: FullDuplexHttpStream@48-94","callee=java.util.logging.Logger.fine","basic block: 63:9-63:49"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/FullDuplexHttpStream.java","call function: 78:9-78:48","call in function: FullDuplexHttpStream@48-94","callee=java.util.logging.Logger.fine","basic block: 78:9-78:48"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/FullDuplexHttpStream.java","call function: 81:9-81:47","call in function: FullDuplexHttpStream@48-94","callee=java.util.logging.Logger.fine","basic block: 81:9-81:47"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/FullDuplexHttpStream.java","call function: 93:9-93:46","call in function: FullDuplexHttpStream@48-94","callee=java.util.logging.Logger.fine","basic block: 93:9-93:46"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/FullDuplexHttpStream.java","call function: 119:34-119:87","call in function: <clinit>@19-19","callee=java.util.logging.Logger.getLogger","basic block: 119:34-119:87"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/FullDuplexHttpStream.java","call function: 113:13-113:79","call in function: tryToResolveRedirects@102-116","callee=java.util.logging.Logger.log","basic block: 113:13-113:79"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/PlainCLIProtocol.java","call function: 127:21-127:50","call in function: run@124-166","callee=java.util.logging.Logger.finest","basic block: 127:21-127:50"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/PlainCLIProtocol.java","call function: 138:21-138:66","call in function: run@124-166","callee=java.util.logging.Logger.finest","basic block: 138:21-138:66"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/PlainCLIProtocol.java","call function: 143:25-143:58","call in function: run@124-166","callee=java.util.logging.Logger.log","basic block: 143:25-143:58"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/PlainCLIProtocol.java","call function: 149:29-149:85","call in function: run@124-166","callee=java.util.logging.Logger.warning","basic block: 149:29-149:85"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/PlainCLIProtocol.java","call function: 155:17-155:47","call in function: run@124-166","callee=java.util.logging.Logger.log","basic block: 155:17-155:47"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/PlainCLIProtocol.java","call function: 157:17-157:96","call in function: run@124-166","callee=java.util.logging.Logger.log","basic block: 157:17-157:96"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/PlainCLIProtocol.java","call function: 160:17-160:47","call in function: run@124-166","callee=java.util.logging.Logger.log","basic block: 160:17-160:47"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/PlainCLIProtocol.java","call function: 162:17-162:50","call in function: run@124-166","callee=java.util.logging.Logger.log","basic block: 162:17-162:50"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/PlainCLIProtocol.java","call function: 195:13-195:60","call in function: handle@186-199","callee=java.util.logging.Logger.finest","basic block: 195:13-195:60"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/PlainCLIProtocol.java","call function: 52:34-52:83","call in function: <clinit>@50-50","callee=java.util.logging.Logger.getLogger","basic block: 52:34-52:83"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/PrivateKeyProvider.java","call function: 96:17-96:60","call in function: readFromDefaultLocations@82-101","callee=java.util.logging.Logger.log","basic block: 96:17-96:60"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/PrivateKeyProvider.java","call function: 159:42-159:93","call in function: <clinit>@58-58","callee=java.util.logging.Logger.getLogger","basic block: 159:42-159:93"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/SSHCLI.java","call function: 64:9-64:55","call in function: sshConnection@63-130","callee=java.util.logging.Logger.getLogger","basic block: 64:9-64:55"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/SSHCLI.java","call function: 71:13-71:80","call in function: sshConnection@63-130","callee=java.util.logging.Logger.warning","basic block: 71:13-71:80"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/SSHCLI.java","call function: 75:9-75:79","call in function: sshConnection@63-130","callee=java.util.logging.Logger.log","basic block: 75:9-75:79"
"Path: /home/sixsquare/codeQL/projects/jenkins/cli/src/main/java/hudson/cli/SSHCLI.java","call function: 104:21-104:102","call in function: sshConnection@63-130","callee=java.util.logging.Logger.log","basic block: 104:21-104:102"
