"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/kestra/jdbc/src/main/java/io/kestra/jdbc/runner/JdbcExecutor.java","call function: 713:50-713:221","call in function: accept@711-726","callee=java.lang.String.format","basic block: 713:50-713:221"
"Path: /home/sixsquare/codeQL/projects/kestra/cli/src/main/java/io/kestra/cli/AbstractCommand.java","call function: 134:44-134:80","call in function: message@132-136","callee=java.text.MessageFormat.format","basic block: 134:44-134:80"
"Path: /home/sixsquare/codeQL/projects/kestra/cli/src/main/java/io/kestra/cli/commands/plugins/PluginSearchCommand.java","call function: 136:9-136:22","call in function: pad@134-141","callee=java.lang.StringBuilder.append","basic block: 136:9-136:22"
"Path: /home/sixsquare/codeQL/projects/kestra/cli/src/main/java/io/kestra/cli/commands/plugins/PluginSearchCommand.java","call function: 138:13-138:28","call in function: pad@134-141","callee=java.lang.StringBuilder.append","basic block: 138:13-138:28"
"Path: /home/sixsquare/codeQL/projects/kestra/script/src/main/java/io/kestra/plugin/scripts/runner/docker/Docker.java","call function: 548:33-549:53","call in function: onNext@539-562","callee=java.lang.StringBuilder.append","basic block: 548:33-549:53"
"Path: /home/sixsquare/codeQL/projects/kestra/script/src/main/java/io/kestra/plugin/scripts/runner/docker/Docker.java","call function: 559:33-560:74","call in function: onNext@539-562","callee=java.lang.StringBuilder.append","basic block: 559:33-560:74"
"Path: /home/sixsquare/codeQL/projects/kestra/webserver/src/main/java/io/kestra/webserver/utils/filepreview/DefaultFileRender.java","call function: 35:13-35:39","call in function: renderContent@27-47","callee=java.lang.StringBuilder.append","basic block: 35:13-35:39"
"Path: /home/sixsquare/codeQL/projects/kestra/webserver/src/main/java/io/kestra/webserver/utils/filepreview/DefaultFileRender.java","call function: 38:17-38:43","call in function: renderContent@27-47","callee=java.lang.StringBuilder.append","basic block: 38:17-38:43"
"Path: /home/sixsquare/codeQL/projects/kestra/webserver/src/main/java/io/kestra/webserver/controllers/api/TriggerController.java","call function: 280:65-280:136","call in function: updateTrigger@274-307","callee=java.lang.String.format","basic block: 280:65-280:136"
"Path: /home/sixsquare/codeQL/projects/kestra/webserver/src/main/java/io/kestra/webserver/controllers/api/TriggerController.java","call function: 284:65-284:157","call in function: updateTrigger@274-307","callee=java.lang.String.format","basic block: 284:65-284:157"
"Path: /home/sixsquare/codeQL/projects/kestra/webserver/src/main/java/io/kestra/webserver/controllers/api/FlowController.java","call function: 379:21-379:79","call in function: apply@378-384","callee=java.lang.String.format","basic block: 379:21-379:79"
"Path: /home/sixsquare/codeQL/projects/kestra/core/src/main/java/io/kestra/plugin/core/namespace/DownloadFiles.java","call function: 120:34-120:68","call in function: apply@117-123","callee=java.lang.String.format","basic block: 120:34-120:68"
"Path: /home/sixsquare/codeQL/projects/kestra/core/src/main/java/io/kestra/plugin/core/namespace/DeleteFiles.java","call function: 123:34-123:75","call in function: apply@121-131","callee=java.lang.String.format","basic block: 123:34-123:75"
"Path: /home/sixsquare/codeQL/projects/kestra/core/src/main/java/io/kestra/plugin/core/flow/Subflow.java","call function: 270:26-270:205","call in function: createSubflowExecutionResult@200-278","callee=java.lang.String.format","basic block: 270:26-270:205"
"Path: /home/sixsquare/codeQL/projects/kestra/core/src/main/java/io/kestra/plugin/core/flow/Subflow.java","call function: 273:26-273:207","call in function: createSubflowExecutionResult@200-278","callee=java.lang.String.format","basic block: 273:26-273:207"
"Path: /home/sixsquare/codeQL/projects/kestra/core/src/main/java/io/kestra/plugin/core/storage/FilterItems.java","call function: 125:78-129:33","call in function: run@95-158","callee=java.lang.String.format","basic block: 125:78-129:33"
"Path: /home/sixsquare/codeQL/projects/kestra/core/src/main/java/io/kestra/core/storages/kv/InternalKVStore.java","call function: 77:40-78:108","call in function: put@73-96","callee=java.lang.String.format","basic block: 77:40-78:108"
"Path: /home/sixsquare/codeQL/projects/kestra/core/src/main/java/io/kestra/core/storages/StorageInterfaceFactory.java","call function: 87:46-88:85","call in function: make@47-116","callee=java.lang.String.format","basic block: 87:46-88:85"
"Path: /home/sixsquare/codeQL/projects/kestra/core/src/main/java/io/kestra/core/storages/StorageInterfaceFactory.java","call function: 97:46-98:105","call in function: make@47-116","callee=java.lang.String.format","basic block: 97:46-98:105"
"Path: /home/sixsquare/codeQL/projects/kestra/core/src/main/java/io/kestra/core/storages/StorageInterfaceFactory.java","call function: 103:46-104:96","call in function: make@47-116","callee=java.lang.String.format","basic block: 103:46-104:96"
"Path: /home/sixsquare/codeQL/projects/kestra/core/src/main/java/io/kestra/core/storages/StorageInterfaceFactory.java","call function: 111:46-112:89","call in function: make@47-116","callee=java.lang.String.format","basic block: 111:46-112:89"
"Path: /home/sixsquare/codeQL/projects/kestra/core/src/main/java/io/kestra/core/storages/StorageContext.java","call function: 177:22-182:13","call in function: getCacheURI@172-194","callee=java.lang.String.format","basic block: 177:22-182:13"
"Path: /home/sixsquare/codeQL/projects/kestra/core/src/main/java/io/kestra/core/storages/StorageContext.java","call function: 185:22-191:13","call in function: getCacheURI@172-194","callee=java.lang.String.format","basic block: 185:22-191:13"
"Path: /home/sixsquare/codeQL/projects/kestra/core/src/main/java/io/kestra/core/storages/StorageContext.java","call function: 235:26-235:106","call in function: getFlowStorageURI@233-240","callee=java.lang.String.format","basic block: 235:26-235:106"
"Path: /home/sixsquare/codeQL/projects/kestra/core/src/main/java/io/kestra/core/storages/StorageContext.java","call function: 263:26-267:13","call in function: getExecutionStorageURI@257-272","callee=java.lang.String.format","basic block: 263:26-267:13"
"Path: /home/sixsquare/codeQL/projects/kestra/core/src/main/java/io/kestra/core/storages/StorageContext.java","call function: 293:16-293:87","call in function: namespaceFilePrefix@292-294","callee=java.lang.String.format","basic block: 293:16-293:87"
"Path: /home/sixsquare/codeQL/projects/kestra/core/src/main/java/io/kestra/core/storages/StorageContext.java","call function: 298:16-298:75","call in function: kvPrefix@297-299","callee=java.lang.String.format","basic block: 298:16-298:75"
"Path: /home/sixsquare/codeQL/projects/kestra/core/src/main/java/io/kestra/core/storages/StorageContext.java","call function: 330:30-337:17","call in function: getContextStorageURI@328-342","callee=java.lang.String.format","basic block: 330:30-337:17"
"Path: /home/sixsquare/codeQL/projects/kestra/core/src/main/java/io/kestra/core/storages/StorageContext.java","call function: 377:33-382:17","call in function: getContextStorageURI@375-387","callee=java.lang.String.format","basic block: 377:33-382:17"
