"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/keycloak/adapters/saml/core/src/main/java/org/keycloak/adapters/saml/SamlUtil.java","call function: 101:13-101:65","call in function: validateSamlSession@99-124","callee=org.jboss.logging.Logger.debug","basic block: 101:13-101:65"
"Path: /home/sixsquare/codeQL/projects/keycloak/adapters/saml/core/src/main/java/org/keycloak/adapters/saml/SamlUtil.java","call function: 106:13-106:70","call in function: validateSamlSession@99-124","callee=org.jboss.logging.Logger.debug","basic block: 106:13-106:70"
"Path: /home/sixsquare/codeQL/projects/keycloak/adapters/saml/core/src/main/java/org/keycloak/adapters/saml/SamlUtil.java","call function: 40:35-40:66","call in function: <clinit>@38-38","callee=org.jboss.logging.Logger.getLogger","basic block: 40:35-40:66"
"Path: /home/sixsquare/codeQL/projects/keycloak/adapters/saml/core/src/main/java/org/keycloak/adapters/saml/profile/AbstractSamlAuthenticationHandler.java","call function: 152:13-152:50","call in function: doHandle@142-156","callee=org.jboss.logging.Logger.debug","basic block: 152:13-152:50"
"Path: /home/sixsquare/codeQL/projects/keycloak/adapters/saml/core/src/main/java/org/keycloak/adapters/saml/profile/AbstractSamlAuthenticationHandler.java","call function: 183:13-183:52","call in function: handleSamlRequest@167-212","callee=org.jboss.logging.Logger.error","basic block: 183:13-183:52"
"Path: /home/sixsquare/codeQL/projects/keycloak/adapters/saml/core/src/main/java/org/keycloak/adapters/saml/profile/AbstractSamlAuthenticationHandler.java","call function: 188:13-188:52","call in function: handleSamlRequest@167-212","callee=org.jboss.logging.Logger.error","basic block: 188:13-188:52"
"Path: /home/sixsquare/codeQL/projects/keycloak/adapters/saml/core/src/main/java/org/keycloak/adapters/saml/profile/AbstractSamlAuthenticationHandler.java","call function: 192:13-192:117","call in function: handleSamlRequest@167-212","callee=org.jboss.logging.Logger.error","basic block: 192:13-192:117"
"Path: /home/sixsquare/codeQL/projects/keycloak/adapters/saml/core/src/main/java/org/keycloak/adapters/saml/profile/AbstractSamlAuthenticationHandler.java","call function: 201:21-201:75","call in function: handleSamlRequest@167-212","callee=org.jboss.logging.Logger.error","basic block: 201:21-201:75"
"Path: /home/sixsquare/codeQL/projects/keycloak/adapters/saml/core/src/main/java/org/keycloak/adapters/saml/profile/AbstractSamlAuthenticationHandler.java","call function: 209:13-209:50","call in function: handleSamlRequest@167-212","callee=org.jboss.logging.Logger.error","basic block: 209:13-209:50"
"Path: /home/sixsquare/codeQL/projects/keycloak/adapters/saml/core/src/main/java/org/keycloak/adapters/saml/profile/AbstractSamlAuthenticationHandler.java","call function: 231:13-231:52","call in function: handleSamlResponse@216-299","callee=org.jboss.logging.Logger.error","basic block: 231:13-231:52"
"Path: /home/sixsquare/codeQL/projects/keycloak/adapters/saml/core/src/main/java/org/keycloak/adapters/saml/profile/AbstractSamlAuthenticationHandler.java","call function: 237:13-237:52","call in function: handleSamlResponse@216-299","callee=org.jboss.logging.Logger.error","basic block: 237:13-237:52"
"Path: /home/sixsquare/codeQL/projects/keycloak/adapters/saml/core/src/main/java/org/keycloak/adapters/saml/profile/AbstractSamlAuthenticationHandler.java","call function: 241:13-241:139","call in function: handleSamlResponse@216-299","callee=org.jboss.logging.Logger.error","basic block: 241:13-241:139"
"Path: /home/sixsquare/codeQL/projects/keycloak/adapters/saml/core/src/main/java/org/keycloak/adapters/saml/profile/AbstractSamlAuthenticationHandler.java","call function: 251:25-251:80","call in function: handleSamlResponse@216-299","callee=org.jboss.logging.Logger.error","basic block: 251:25-251:80"
"Path: /home/sixsquare/codeQL/projects/keycloak/adapters/saml/core/src/main/java/org/keycloak/adapters/saml/profile/AbstractSamlAuthenticationHandler.java","call function: 268:29-268:84","call in function: handleSamlResponse@216-299","callee=org.jboss.logging.Logger.error","basic block: 268:29-268:84"
"Path: /home/sixsquare/codeQL/projects/keycloak/adapters/saml/core/src/main/java/org/keycloak/adapters/saml/profile/AbstractSamlAuthenticationHandler.java","call function: 283:25-283:123","call in function: handleSamlResponse@216-299","callee=org.jboss.logging.Logger.debug","basic block: 283:25-283:123"
"Path: /home/sixsquare/codeQL/projects/keycloak/adapters/saml/core/src/main/java/org/keycloak/adapters/saml/profile/AbstractSamlAuthenticationHandler.java","call function: 293:13-294:124","call in function: handleSamlResponse@216-299","callee=org.jboss.logging.Logger.warn","basic block: 293:13-294:124"
"Path: /home/sixsquare/codeQL/projects/keycloak/adapters/saml/core/src/main/java/org/keycloak/adapters/saml/profile/AbstractSamlAuthenticationHandler.java","call function: 361:13-363:88","call in function: handleLoginResponse@359-510","callee=org.jboss.logging.Logger.warn","basic block: 361:13-363:88"
"Path: /home/sixsquare/codeQL/projects/keycloak/adapters/saml/core/src/main/java/org/keycloak/adapters/saml/profile/AbstractSamlAuthenticationHandler.java","call function: 392:13-392:75","call in function: handleLoginResponse@359-510","callee=org.jboss.logging.Logger.error","basic block: 392:13-392:75"
"Path: /home/sixsquare/codeQL/projects/keycloak/adapters/saml/core/src/main/java/org/keycloak/adapters/saml/profile/AbstractSamlAuthenticationHandler.java","call function: 401:21-401:74","call in function: handleLoginResponse@359-510","callee=org.jboss.logging.Logger.error","basic block: 401:21-401:74"
"Path: /home/sixsquare/codeQL/projects/keycloak/adapters/saml/core/src/main/java/org/keycloak/adapters/saml/profile/AbstractSamlAuthenticationHandler.java","call function: 405:17-405:93","call in function: handleLoginResponse@359-510","callee=org.jboss.logging.Logger.error","basic block: 405:17-405:93"
"Path: /home/sixsquare/codeQL/projects/keycloak/adapters/saml/core/src/main/java/org/keycloak/adapters/saml/profile/AbstractSamlAuthenticationHandler.java","call function: 505:13-505:49","call in function: handleLoginResponse@359-510","callee=org.jboss.logging.Logger.debug","basic block: 505:13-505:49"
"Path: /home/sixsquare/codeQL/projects/keycloak/adapters/saml/core/src/main/java/org/keycloak/adapters/saml/profile/AbstractSamlAuthenticationHandler.java","call function: 507:9-507:40","call in function: handleLoginResponse@359-510","callee=org.jboss.logging.Logger.debug","basic block: 507:9-507:40"
"Path: /home/sixsquare/codeQL/projects/keycloak/adapters/saml/core/src/main/java/org/keycloak/adapters/saml/profile/AbstractSamlAuthenticationHandler.java","call function: 651:13-651:55","call in function: verifySSL@649-655","callee=org.jboss.logging.Logger.warn","basic block: 651:13-651:55"
"Path: /home/sixsquare/codeQL/projects/keycloak/adapters/saml/core/src/main/java/org/keycloak/adapters/saml/profile/AbstractSamlAuthenticationHandler.java","call function: 100:35-100:92","call in function: <clinit>@98-98","callee=org.jboss.logging.Logger.getLogger","basic block: 100:35-100:92"
"Path: /home/sixsquare/codeQL/projects/keycloak/adapters/saml/core/src/main/java/org/keycloak/adapters/saml/profile/AbstractSamlAuthenticationHandler.java","call function: 566:13-566:62","call in function: getAssertionFromResponseNoException@562-569","callee=org.jboss.logging.Logger.warn","basic block: 566:13-566:62"
